iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-15 12:10:57,0.0,9.6094,60.0,0.1602,0.0
1,15360,train,2026-05-15 12:11:17,0.0,0.0791,60.0,0.0013,0.0
2,30720,train,2026-05-15 12:11:50,0.0,0.0567,60.0,0.0009,0.0
3,46080,train,2026-05-15 12:12:23,0.0,0.0647,60.0,0.0011,0.0
4,61440,train,2026-05-15 12:12:56,0.0,0.0525,60.0,0.0009,0.0
5,76800,train,2026-05-15 12:13:29,0.0,0.0813,60.0,0.0014,0.0
6,92160,train,2026-05-15 12:14:02,0.0,0.1346,60.0,0.0022,0.0
7,107520,train,2026-05-15 12:14:35,0.0,0.2567,60.0,0.0043,0.0
8,122880,train,2026-05-15 12:15:08,0.0,0.3664,60.0,0.0061,0.0
9,138240,train,2026-05-15 12:15:41,0.0,0.3616,60.0,0.006,0.0
10,153600,train,2026-05-15 12:16:15,0.0,0.4166,60.0,0.0069,0.0
11,168960,train,2026-05-15 12:16:48,0.0,0.6124,60.0,0.0102,0.0
12,184320,train,2026-05-15 12:17:22,0.0,0.6827,60.0,0.0114,0.0
13,199680,train,2026-05-15 12:17:55,0.0039,0.7247,60.0,0.0121,0.0
14,215040,train,2026-05-15 12:18:28,0.0,0.9412,60.0,0.0157,0.0
15,230400,train,2026-05-15 12:19:02,0.0,1.0144,60.0,0.0169,0.0
16,245760,train,2026-05-15 12:19:36,0.0,1.2015,60.0,0.02,0.0
17,261120,train,2026-05-15 12:20:09,0.0,1.3512,60.0,0.0225,0.0
18,276480,train,2026-05-15 12:20:43,0.0,1.2887,60.0,0.0215,0.0
19,291840,train,2026-05-15 12:21:16,0.0,1.4214,60.0,0.0237,0.0
20,307200,train,2026-05-15 12:21:50,0.0,1.4383,60.0,0.024,0.0
21,322560,train,2026-05-15 12:22:24,0.0039,1.3904,60.0,0.0232,0.0
22,337920,train,2026-05-15 12:22:57,0.0,1.3883,60.0,0.0231,0.0
23,353280,train,2026-05-15 12:23:31,0.0,1.4628,60.0,0.0244,0.0
24,368640,train,2026-05-15 12:24:05,0.0,1.2424,60.0,0.0207,0.0
25,384000,train,2026-05-15 12:24:38,0.0,1.4788,60.0,0.0246,0.0
26,399360,train,2026-05-15 12:25:12,0.0039,1.5108,60.0,0.0252,0.0
27,414720,train,2026-05-15 12:25:46,0.0,1.3887,60.0,0.0231,0.0
28,430080,train,2026-05-15 12:26:19,0.0,1.4819,60.0,0.0247,0.0
29,445440,train,2026-05-15 12:26:53,0.0,1.4643,60.0,0.0244,0.0
30,460800,train,2026-05-15 12:27:27,0.0039,1.772,60.0,0.0295,0.0
31,476160,train,2026-05-15 12:28:00,0.0,1.5284,60.0,0.0255,0.0
32,491520,train,2026-05-15 12:28:34,0.0,1.4031,60.0,0.0234,0.0
33,506880,train,2026-05-15 12:29:08,0.0,1.6233,60.0,0.0271,0.0
34,522240,train,2026-05-15 12:29:42,0.0,1.3556,60.0,0.0226,0.0
35,537600,train,2026-05-15 12:30:15,0.0,1.3318,60.0,0.0222,0.0
36,552960,train,2026-05-15 12:30:49,0.0039,1.5817,60.0,0.0264,0.0
37,568320,train,2026-05-15 12:31:23,0.0,1.3861,60.0,0.0231,0.0
38,583680,train,2026-05-15 12:31:57,0.0,1.3821,60.0,0.023,0.0
39,599040,train,2026-05-15 12:32:30,0.0039,1.6917,60.0,0.0282,0.0
40,614400,train,2026-05-15 12:33:04,0.0,1.5079,60.0,0.0251,0.0
41,629760,train,2026-05-15 12:33:38,0.0,1.4072,60.0,0.0235,0.0
42,645120,train,2026-05-15 12:34:11,0.0,1.6309,60.0,0.0272,0.0
43,660480,train,2026-05-15 12:34:45,0.0078,1.6104,60.0,0.0268,0.0
44,675840,train,2026-05-15 12:35:19,0.0,1.478,60.0,0.0246,0.0
45,691200,train,2026-05-15 12:35:53,0.0,1.5273,60.0,0.0255,0.0
46,706560,train,2026-05-15 12:36:26,0.0039,1.566,60.0,0.0261,0.0
47,721920,train,2026-05-15 12:37:00,0.0039,1.4961,60.0,0.0249,0.0
48,737280,train,2026-05-15 12:37:34,0.0078,1.3609,60.0,0.0227,0.0
49,737280,eval,2026-05-15 12:39:20,0.1719,5.0075,60.0,0.0835,0.0312
49,752640,train,2026-05-15 12:39:41,0.0,1.4237,60.0,0.0237,0.0
50,768000,train,2026-05-15 12:40:15,0.0117,1.6228,60.0,0.027,0.0
51,783360,train,2026-05-15 12:40:48,0.0,1.4235,60.0,0.0237,0.0
52,798720,train,2026-05-15 12:41:22,0.0,1.4237,60.0,0.0237,0.0
53,814080,train,2026-05-15 12:41:56,0.0,1.4827,60.0,0.0247,0.0
54,829440,train,2026-05-15 12:42:29,0.0,1.4881,60.0,0.0248,0.0
55,844800,train,2026-05-15 12:43:03,0.0,1.2075,60.0,0.0201,0.0
56,860160,train,2026-05-15 12:43:37,0.0078,1.4931,60.0,0.0249,0.0
57,875520,train,2026-05-15 12:44:11,0.0,1.4643,60.0,0.0244,0.0
58,890880,train,2026-05-15 12:44:45,0.0,1.2646,60.0,0.0211,0.0
59,906240,train,2026-05-15 12:45:18,0.0,1.3512,60.0,0.0225,0.0
60,921600,train,2026-05-15 12:45:52,0.0,1.2994,60.0,0.0217,0.0
61,936960,train,2026-05-15 12:46:26,0.0,1.1905,60.0,0.0198,0.0
