iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-07 16:59:10,0.0,9.9269,60.0,0.1654,0.0
1,15360,train,2026-05-07 16:59:27,0.0,0.0736,60.0,0.0012,0.0
2,30720,train,2026-05-07 16:59:54,0.0,0.0672,60.0,0.0011,0.0
3,46080,train,2026-05-07 17:00:10,0.0,0.1133,60.0,0.0019,0.0
4,61440,train,2026-05-07 17:00:26,0.0,0.1974,60.0,0.0033,0.0
5,76800,train,2026-05-07 17:00:42,0.0,0.3152,60.0,0.0053,0.0
6,92160,train,2026-05-07 17:00:58,0.0,0.3419,60.0,0.0057,0.0
7,107520,train,2026-05-07 17:01:14,0.0,0.4513,60.0,0.0075,0.0
8,122880,train,2026-05-07 17:01:31,0.0,0.5043,60.0,0.0084,0.0
9,138240,train,2026-05-07 17:01:47,0.0,0.7694,60.0,0.0128,0.0
10,153600,train,2026-05-07 17:02:03,0.0,0.8233,60.0,0.0137,0.0
11,168960,train,2026-05-07 17:02:20,0.0,0.9525,60.0,0.0159,0.0
12,184320,train,2026-05-07 17:02:36,0.0039,1.2356,60.0,0.0206,0.0
13,199680,train,2026-05-07 17:02:52,0.0,1.2677,60.0,0.0211,0.0
14,215040,train,2026-05-07 17:03:09,0.0039,1.1758,60.0,0.0196,0.0
15,230400,train,2026-05-07 17:03:25,0.0,1.3619,60.0,0.0227,0.0
16,245760,train,2026-05-07 17:03:42,0.0,1.6291,60.0,0.0272,0.0
17,261120,train,2026-05-07 17:03:58,0.0,1.3353,60.0,0.0223,0.0
18,276480,train,2026-05-07 17:04:15,0.0039,1.4109,60.0,0.0235,0.0
19,291840,train,2026-05-07 17:04:31,0.0,1.4688,60.0,0.0245,0.0
20,307200,train,2026-05-07 17:04:48,0.0039,1.4225,60.0,0.0237,0.0
21,322560,train,2026-05-07 17:05:04,0.0039,1.6544,60.0,0.0276,0.0
22,337920,train,2026-05-07 17:05:20,0.0039,1.6661,60.0,0.0278,0.0
23,353280,train,2026-05-07 17:05:37,0.0,1.6524,60.0,0.0275,0.0
24,368640,train,2026-05-07 17:05:53,0.0,1.5508,60.0,0.0258,0.0
25,384000,train,2026-05-07 17:06:10,0.0,1.6706,60.0,0.0278,0.0
26,399360,train,2026-05-07 17:06:26,0.0039,1.6404,60.0,0.0273,0.0
27,414720,train,2026-05-07 17:06:43,0.0,1.4094,60.0,0.0235,0.0
28,430080,train,2026-05-07 17:06:59,0.0,1.5675,60.0,0.0261,0.0
29,445440,train,2026-05-07 17:07:15,0.0,1.5296,60.0,0.0255,0.0
30,460800,train,2026-05-07 17:07:32,0.0,1.6025,60.0,0.0267,0.0
31,476160,train,2026-05-07 17:07:48,0.0039,1.5787,60.0,0.0263,0.0
32,491520,train,2026-05-07 17:08:05,0.0039,1.7088,60.0,0.0285,0.0
33,506880,train,2026-05-07 17:08:21,0.0,1.6284,60.0,0.0271,0.0
34,522240,train,2026-05-07 17:08:38,0.0,1.6036,60.0,0.0267,0.0
35,537600,train,2026-05-07 17:08:54,0.0,1.6973,60.0,0.0283,0.0
36,552960,train,2026-05-07 17:09:11,0.0,1.5353,60.0,0.0256,0.0
37,568320,train,2026-05-07 17:09:27,0.0,1.3453,60.0,0.0224,0.0
38,583680,train,2026-05-07 17:09:43,0.0039,1.5617,60.0,0.026,0.0
39,599040,train,2026-05-07 17:10:00,0.0,1.6354,60.0,0.0273,0.0
40,614400,train,2026-05-07 17:10:16,0.0,1.6968,60.0,0.0283,0.0
41,629760,train,2026-05-07 17:10:32,0.0,1.5903,60.0,0.0265,0.0
42,645120,train,2026-05-07 17:10:49,0.0039,1.5651,60.0,0.0261,0.0039
43,660480,train,2026-05-07 17:11:05,0.0,1.5884,60.0,0.0265,0.0
44,675840,train,2026-05-07 17:11:22,0.0,1.4283,60.0,0.0238,0.0
45,691200,train,2026-05-07 17:11:38,0.0,1.4321,60.0,0.0239,0.0
46,706560,train,2026-05-07 17:11:54,0.0039,1.3956,60.0,0.0233,0.0
47,721920,train,2026-05-07 17:12:11,0.0,1.4892,60.0,0.0248,0.0
48,737280,train,2026-05-07 17:12:27,0.0039,1.7405,60.0,0.029,0.0
49,737280,eval,2026-05-07 17:13:58,0.0,4.6552,60.0,0.0776,0.0
49,752640,train,2026-05-07 17:14:12,0.0,1.565,60.0,0.0261,0.0
50,768000,train,2026-05-07 17:14:29,0.0,1.506,60.0,0.0251,0.0
51,783360,train,2026-05-07 17:14:45,0.0,1.3474,60.0,0.0225,0.0
52,798720,train,2026-05-07 17:15:01,0.0,1.4312,60.0,0.0239,0.0
53,814080,train,2026-05-07 17:15:18,0.0,1.0738,60.0,0.0179,0.0
54,829440,train,2026-05-07 17:15:34,0.0039,1.2321,60.0,0.0205,0.0
55,844800,train,2026-05-07 17:15:50,0.0,1.2641,60.0,0.0211,0.0
56,860160,train,2026-05-07 17:16:06,0.0,1.2048,60.0,0.0201,0.0
57,875520,train,2026-05-07 17:16:22,0.0,1.4137,60.0,0.0236,0.0
58,890880,train,2026-05-07 17:16:39,0.0,1.4205,60.0,0.0237,0.0
59,906240,train,2026-05-07 17:16:55,0.0,1.1763,60.0,0.0196,0.0
60,921600,train,2026-05-07 17:17:11,0.0,1.4138,60.0,0.0236,0.0
61,936960,train,2026-05-07 17:17:28,0.0,1.2731,60.0,0.0212,0.0
62,952320,train,2026-05-07 17:17:44,0.0,1.3953,60.0,0.0233,0.0
63,967680,train,2026-05-07 17:18:00,0.0039,1.3269,60.0,0.0221,0.0
64,983040,train,2026-05-07 17:18:16,0.0,1.4184,60.0,0.0236,0.0
65,998400,train,2026-05-07 17:18:33,0.0039,1.4248,60.0,0.0237,0.0
66,1013760,train,2026-05-07 17:18:49,0.0,1.6372,60.0,0.0273,0.0
67,1029120,train,2026-05-07 17:19:05,0.0,1.6505,60.0,0.0275,0.0
68,1044480,train,2026-05-07 17:19:22,0.0,1.4775,60.0,0.0246,0.0
69,1059840,train,2026-05-07 17:19:38,0.0,1.5594,60.0,0.026,0.0
70,1075200,train,2026-05-07 17:19:55,0.0,1.412,60.0,0.0235,0.0
71,1090560,train,2026-05-07 17:20:11,0.0,1.8124,60.0,0.0302,0.0
72,1105920,train,2026-05-07 17:20:28,0.0,1.9397,60.0,0.0323,0.0
73,1121280,train,2026-05-07 17:20:44,0.0,1.7234,60.0,0.0287,0.0
74,1136640,train,2026-05-07 17:21:00,0.0,1.5094,60.0,0.0252,0.0
75,1152000,train,2026-05-07 17:21:17,0.0,1.7662,60.0,0.0294,0.0
76,1167360,train,2026-05-07 17:21:33,0.0,1.8102,60.0,0.0302,0.0
77,1182720,train,2026-05-07 17:21:50,0.0,1.5446,60.0,0.0257,0.0
78,1198080,train,2026-05-07 17:22:06,0.0,1.5053,60.0,0.0251,0.0
79,1213440,train,2026-05-07 17:22:23,0.0,1.7165,60.0,0.0286,0.0
80,1228800,train,2026-05-07 17:22:39,0.0,1.7466,60.0,0.0291,0.0
81,1244160,train,2026-05-07 17:22:56,0.0,1.6854,60.0,0.0281,0.0
82,1259520,train,2026-05-07 17:23:12,0.0,1.7817,60.0,0.0297,0.0
83,1274880,train,2026-05-07 17:23:28,0.0039,1.8337,60.0,0.0306,0.0
84,1290240,train,2026-05-07 17:23:45,0.0,1.6356,60.0,0.0273,0.0
85,1305600,train,2026-05-07 17:24:01,0.0,1.6683,60.0,0.0278,0.0
86,1320960,train,2026-05-07 17:24:18,0.0,1.7637,60.0,0.0294,0.0
87,1336320,train,2026-05-07 17:24:34,0.0,1.8767,60.0,0.0313,0.0
88,1351680,train,2026-05-07 17:24:51,0.0,1.8272,60.0,0.0305,0.0
89,1367040,train,2026-05-07 17:25:07,0.0,1.6763,60.0,0.0279,0.0
90,1382400,train,2026-05-07 17:25:24,0.0,1.7286,60.0,0.0288,0.0
91,1397760,train,2026-05-07 17:25:40,0.0,1.7599,60.0,0.0293,0.0
92,1413120,train,2026-05-07 17:25:57,0.0,1.8737,60.0,0.0312,0.0
93,1428480,train,2026-05-07 17:26:13,0.0,1.9602,60.0,0.0327,0.0
94,1443840,train,2026-05-07 17:26:30,0.0039,1.8061,60.0,0.0301,0.0
95,1459200,train,2026-05-07 17:26:46,0.0039,1.6398,60.0,0.0273,0.0
96,1474560,train,2026-05-07 17:27:02,0.0,1.9054,60.0,0.0318,0.0
97,1474560,eval,2026-05-07 17:28:35,0.0,2.5823,60.0,0.043,0.0
97,1489920,train,2026-05-07 17:28:50,0.0,1.7801,60.0,0.0297,0.0
98,1505280,train,2026-05-07 17:29:07,0.0039,1.7098,60.0,0.0285,0.0
99,1520640,train,2026-05-07 17:29:23,0.0,1.7525,60.0,0.0292,0.0
100,1536000,train,2026-05-07 17:29:40,0.0039,1.8087,60.0,0.0301,0.0
101,1551360,train,2026-05-07 17:29:56,0.0,1.727,60.0,0.0288,0.0
102,1566720,train,2026-05-07 17:30:13,0.0,1.6172,60.0,0.027,0.0
103,1582080,train,2026-05-07 17:30:29,0.0,1.7633,60.0,0.0294,0.0
104,1597440,train,2026-05-07 17:30:46,0.0,1.6663,60.0,0.0278,0.0
105,1612800,train,2026-05-07 17:31:02,0.0,1.6149,60.0,0.0269,0.0
106,1628160,train,2026-05-07 17:31:19,0.0,1.769,60.0,0.0295,0.0
107,1643520,train,2026-05-07 17:31:35,0.0039,1.8256,60.0,0.0304,0.0
108,1658880,train,2026-05-07 17:31:52,0.0,1.8835,60.0,0.0314,0.0
109,1674240,train,2026-05-07 17:32:08,0.0,1.681,60.0,0.028,0.0
110,1689600,train,2026-05-07 17:32:25,0.0,1.6644,60.0,0.0277,0.0
111,1704960,train,2026-05-07 17:32:41,0.0039,1.7904,60.0,0.0298,0.0
