iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-16 15:59:05,0.0,9.8497,60.0,0.1642,0.0
1,15360,train,2026-05-16 15:59:35,0.0,0.0743,60.0,0.0012,0.0
2,30720,train,2026-05-16 16:00:05,0.0,0.059,60.0,0.001,0.0
3,46080,train,2026-05-16 16:00:36,0.0,0.0441,60.0,0.0007,0.0
4,61440,train,2026-05-16 16:01:07,0.0,0.0276,60.0,0.0005,0.0
5,76800,train,2026-05-16 16:01:38,0.0,0.0258,60.0,0.0004,0.0
6,92160,train,2026-05-16 16:02:09,0.0,0.0227,60.0,0.0004,0.0
7,107520,train,2026-05-16 16:02:39,0.0,0.0214,60.0,0.0004,0.0
8,122880,train,2026-05-16 16:03:10,0.0,0.02,60.0,0.0003,0.0
9,138240,train,2026-05-16 16:03:41,0.0,0.0196,60.0,0.0003,0.0
10,153600,train,2026-05-16 16:04:12,0.0,0.0191,60.0,0.0003,0.0
11,168960,train,2026-05-16 16:04:43,0.0,0.0222,60.0,0.0004,0.0
12,184320,train,2026-05-16 16:05:13,0.0,0.0204,60.0,0.0003,0.0
13,199680,train,2026-05-16 16:05:44,0.0,0.0193,60.0,0.0003,0.0
14,215040,train,2026-05-16 16:06:15,0.0,0.0165,60.0,0.0003,0.0
15,230400,train,2026-05-16 16:06:46,0.0,0.0193,60.0,0.0003,0.0
16,245760,train,2026-05-16 16:07:16,0.0,0.019,60.0,0.0003,0.0
17,261120,train,2026-05-16 16:07:47,0.0,0.0198,60.0,0.0003,0.0
18,276480,train,2026-05-16 16:08:18,0.0,0.0186,60.0,0.0003,0.0
19,291840,train,2026-05-16 16:08:49,0.0,0.0211,60.0,0.0004,0.0
20,307200,train,2026-05-16 16:09:19,0.0,0.0188,60.0,0.0003,0.0
21,322560,train,2026-05-16 16:09:50,0.0,0.0165,60.0,0.0003,0.0
22,337920,train,2026-05-16 16:10:21,0.0,0.0178,60.0,0.0003,0.0
23,353280,train,2026-05-16 16:10:51,0.0,0.0223,60.0,0.0004,0.0
24,368640,train,2026-05-16 16:11:22,0.0,0.0198,60.0,0.0003,0.0
25,384000,train,2026-05-16 16:11:53,0.0,0.0273,60.0,0.0005,0.0
26,399360,train,2026-05-16 16:12:24,0.0,0.0205,60.0,0.0003,0.0
27,414720,train,2026-05-16 16:12:54,0.0,0.0212,60.0,0.0004,0.0
28,430080,train,2026-05-16 16:13:25,0.0,0.034,60.0,0.0006,0.0
29,445440,train,2026-05-16 16:13:56,0.0,0.0311,60.0,0.0005,0.0
30,460800,train,2026-05-16 16:14:27,0.0,0.0574,60.0,0.001,0.0
31,476160,train,2026-05-16 16:14:57,0.0,0.0815,60.0,0.0014,0.0
32,491520,train,2026-05-16 16:15:28,0.0,0.208,60.0,0.0035,0.0
33,506880,train,2026-05-16 16:15:59,0.0,0.2728,60.0,0.0045,0.0
34,522240,train,2026-05-16 16:16:30,0.0,0.379,60.0,0.0063,0.0
35,537600,train,2026-05-16 16:17:02,0.0,0.5471,60.0,0.0091,0.0
36,552960,train,2026-05-16 16:17:33,0.0,0.7647,60.0,0.0127,0.0
37,568320,train,2026-05-16 16:18:04,0.0,0.8595,60.0,0.0143,0.0
38,583680,train,2026-05-16 16:18:35,0.0,0.9684,60.0,0.0161,0.0
39,599040,train,2026-05-16 16:19:06,0.0,0.8956,60.0,0.0149,0.0
40,614400,train,2026-05-16 16:19:38,0.0,1.0349,60.0,0.0172,0.0
41,629760,train,2026-05-16 16:20:09,0.0,1.2149,60.0,0.0202,0.0
42,645120,train,2026-05-16 16:20:40,0.0039,1.1778,60.0,0.0196,0.0
43,660480,train,2026-05-16 16:21:12,0.0,1.254,60.0,0.0209,0.0
44,675840,train,2026-05-16 16:21:43,0.0,1.3859,60.0,0.0231,0.0
45,691200,train,2026-05-16 16:22:14,0.0039,1.4521,60.0,0.0242,0.0
46,706560,train,2026-05-16 16:22:45,0.0039,1.7481,60.0,0.0291,0.0
47,721920,train,2026-05-16 16:23:17,0.0,1.5653,60.0,0.0261,0.0
