iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-16 06:28:26,0.0,8.8273,60.0,0.1471,0.0
1,15360,train,2026-05-16 06:28:47,0.0,0.0795,60.0,0.0013,0.0
2,30720,train,2026-05-16 06:29:20,0.0,0.0791,60.0,0.0013,0.0
3,46080,train,2026-05-16 06:29:53,0.0,0.0912,60.0,0.0015,0.0
4,61440,train,2026-05-16 06:30:27,0.0,0.1007,60.0,0.0017,0.0
5,76800,train,2026-05-16 06:31:00,0.0,0.1351,60.0,0.0023,0.0
6,92160,train,2026-05-16 06:31:34,0.0,0.1025,60.0,0.0017,0.0
7,107520,train,2026-05-16 06:32:08,0.0,0.1453,60.0,0.0024,0.0
8,122880,train,2026-05-16 06:32:41,0.0,0.1793,60.0,0.003,0.0
9,138240,train,2026-05-16 06:33:15,0.0,0.2082,60.0,0.0035,0.0
10,153600,train,2026-05-16 06:33:49,0.0,0.2832,60.0,0.0047,0.0
11,168960,train,2026-05-16 06:34:23,0.0,0.4352,60.0,0.0073,0.0
12,184320,train,2026-05-16 06:34:57,0.0,0.664,60.0,0.0111,0.0
13,199680,train,2026-05-16 06:35:31,0.0,0.847,60.0,0.0141,0.0
14,215040,train,2026-05-16 06:36:05,0.0,1.0031,60.0,0.0167,0.0
15,230400,train,2026-05-16 06:36:39,0.0,1.0375,60.0,0.0173,0.0
16,245760,train,2026-05-16 06:37:14,0.0078,1.2257,60.0,0.0204,0.0
17,261120,train,2026-05-16 06:37:48,0.0,1.2731,60.0,0.0212,0.0
18,276480,train,2026-05-16 06:38:22,0.0,1.1478,60.0,0.0191,0.0
19,291840,train,2026-05-16 06:38:56,0.0039,1.3022,60.0,0.0217,0.0
20,307200,train,2026-05-16 06:39:30,0.0,1.2008,60.0,0.02,0.0
21,322560,train,2026-05-16 06:40:04,0.0039,1.3258,60.0,0.0221,0.0
22,337920,train,2026-05-16 06:40:38,0.0,1.2962,60.0,0.0216,0.0
23,353280,train,2026-05-16 06:41:12,0.0,1.4147,60.0,0.0236,0.0
