iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-09 17:13:41,0.0,9.9282,60.0,0.1655,0.0
1,15360,train,2026-06-09 17:14:24,0.0,0.0713,60.0,0.0012,0.0
2,30720,train,2026-06-09 17:15:11,0.0,0.0685,60.0,0.0011,0.0
3,46080,train,2026-06-09 17:15:55,0.0,0.0653,60.0,0.0011,0.0
4,61440,train,2026-06-09 17:16:40,0.0,0.1065,60.0,0.0018,0.0
5,76800,train,2026-06-09 17:17:24,0.0,0.1488,60.0,0.0025,0.0
6,92160,train,2026-06-09 17:18:09,0.0,0.2254,60.0,0.0038,0.0
7,107520,train,2026-06-09 17:18:53,0.0,0.3725,60.0,0.0062,0.0
8,122880,train,2026-06-09 17:19:38,0.0,0.4323,60.0,0.0072,0.0
9,138240,train,2026-06-09 17:20:23,0.0,0.5092,60.0,0.0085,0.0
10,153600,train,2026-06-09 17:21:08,0.0,0.7801,60.0,0.013,0.0
11,168960,train,2026-06-09 17:21:53,0.0,0.8909,60.0,0.0148,0.0
12,184320,train,2026-06-09 17:22:38,0.0,1.1221,60.0,0.0187,0.0
13,199680,train,2026-06-09 17:23:23,0.0,1.1245,60.0,0.0187,0.0
14,215040,train,2026-06-09 17:24:08,0.0039,1.1292,60.0,0.0188,0.0
15,230400,train,2026-06-09 17:24:53,0.0,1.3814,60.0,0.023,0.0
16,245760,train,2026-06-09 17:25:38,0.0,1.2194,60.0,0.0203,0.0
17,261120,train,2026-06-09 17:26:23,0.0,1.3163,60.0,0.0219,0.0
18,276480,train,2026-06-09 17:27:07,0.0039,1.2657,60.0,0.0211,0.0
19,291840,train,2026-06-09 17:27:52,0.0,1.1631,60.0,0.0194,0.0
20,307200,train,2026-06-09 17:28:37,0.0039,1.329,60.0,0.0222,0.0
21,322560,train,2026-06-09 17:29:22,0.0039,1.1556,60.0,0.0193,0.0
22,337920,train,2026-06-09 17:30:07,0.0,1.4586,60.0,0.0243,0.0
23,353280,train,2026-06-09 17:30:52,0.0,1.3881,60.0,0.0231,0.0
24,368640,train,2026-06-09 17:31:37,0.0,1.2713,60.0,0.0212,0.0
25,384000,train,2026-06-09 17:32:22,0.0039,1.6319,60.0,0.0272,0.0
26,399360,train,2026-06-09 17:33:07,0.0039,1.5371,60.0,0.0256,0.0
27,414720,train,2026-06-09 17:33:52,0.0,1.4468,60.0,0.0241,0.0
28,430080,train,2026-06-09 17:34:37,0.0,1.4566,60.0,0.0243,0.0
29,445440,train,2026-06-09 17:35:21,0.0,1.2221,60.0,0.0204,0.0
30,460800,train,2026-06-09 17:36:06,0.0,1.6087,60.0,0.0268,0.0
31,476160,train,2026-06-09 17:36:51,0.0039,1.5333,60.0,0.0256,0.0
32,491520,train,2026-06-09 17:37:36,0.0,1.5484,60.0,0.0258,0.0
33,506880,train,2026-06-09 17:38:21,0.0039,1.1869,60.0,0.0198,0.0
34,522240,train,2026-06-09 17:39:06,0.0,1.4669,60.0,0.0244,0.0
35,537600,train,2026-06-09 17:39:51,0.0039,1.5581,60.0,0.026,0.0
36,552960,train,2026-06-09 17:40:36,0.0,1.4646,60.0,0.0244,0.0
37,568320,train,2026-06-09 17:41:21,0.0,1.6107,60.0,0.0268,0.0
38,583680,train,2026-06-09 17:42:06,0.0039,1.4768,60.0,0.0246,0.0
39,599040,train,2026-06-09 17:42:51,0.0,1.6872,60.0,0.0281,0.0
40,614400,train,2026-06-09 17:43:35,0.0,1.5464,60.0,0.0258,0.0
41,629760,train,2026-06-09 17:44:20,0.0,1.7803,60.0,0.0297,0.0
42,645120,train,2026-06-09 17:45:05,0.0039,1.658,60.0,0.0276,0.0
43,660480,train,2026-06-09 17:45:50,0.0117,1.5616,60.0,0.026,0.0
44,675840,train,2026-06-09 17:46:35,0.0,1.6474,60.0,0.0275,0.0
45,691200,train,2026-06-09 17:47:20,0.0039,1.6182,60.0,0.027,0.0
46,706560,train,2026-06-09 17:48:05,0.0,1.768,60.0,0.0295,0.0
47,721920,train,2026-06-09 17:48:50,0.0039,1.7023,60.0,0.0284,0.0
48,737280,train,2026-06-09 17:49:35,0.0078,1.7335,60.0,0.0289,0.0
49,737280,eval,2026-06-09 17:51:32,0.2188,4.8116,60.0,0.0802,0.1354
49,752640,train,2026-06-09 17:52:16,0.0,1.4356,60.0,0.0239,0.0
50,768000,train,2026-06-09 17:53:06,0.0,1.7412,60.0,0.029,0.0
51,783360,train,2026-06-09 17:53:52,0.0,1.5448,60.0,0.0257,0.0
52,798720,train,2026-06-09 17:54:37,0.0,1.6086,60.0,0.0268,0.0
53,814080,train,2026-06-09 17:55:22,0.0,1.5948,60.0,0.0266,0.0
54,829440,train,2026-06-09 17:56:07,0.0,1.7093,60.0,0.0285,0.0
55,844800,train,2026-06-09 17:56:52,0.0,1.5901,60.0,0.0265,0.0
56,860160,train,2026-06-09 17:57:37,0.0078,1.6459,60.0,0.0274,0.0
57,875520,train,2026-06-09 17:58:22,0.0,1.7337,60.0,0.0289,0.0
58,890880,train,2026-06-09 17:59:07,0.0,1.5696,60.0,0.0262,0.0
59,906240,train,2026-06-09 17:59:52,0.0,1.6805,60.0,0.028,0.0
60,921600,train,2026-06-09 18:00:37,0.0,1.4657,60.0,0.0244,0.0
61,936960,train,2026-06-09 18:01:22,0.0,1.8109,60.0,0.0302,0.0
62,952320,train,2026-06-09 18:02:08,0.0117,1.6021,60.0,0.0267,0.0
63,967680,train,2026-06-09 18:02:53,0.0039,1.4938,60.0,0.0249,0.0
64,983040,train,2026-06-09 18:03:38,0.0,1.4662,60.0,0.0244,0.0
65,998400,train,2026-06-09 18:04:23,0.0,1.663,60.0,0.0277,0.0
66,1013760,train,2026-06-09 18:05:08,0.0,1.6781,60.0,0.028,0.0
67,1029120,train,2026-06-09 18:05:53,0.0039,1.6089,60.0,0.0268,0.0
68,1044480,train,2026-06-09 18:06:38,0.0,1.6019,60.0,0.0267,0.0
69,1059840,train,2026-06-09 18:07:23,0.0,1.4737,60.0,0.0246,0.0
70,1075200,train,2026-06-09 18:08:08,0.0,1.445,60.0,0.0241,0.0
71,1090560,train,2026-06-09 18:08:56,0.0,1.4272,60.0,0.0238,0.0
72,1105920,train,2026-06-09 18:09:41,0.0,1.6532,60.0,0.0276,0.0
73,1121280,train,2026-06-09 18:10:26,0.0,1.7269,60.0,0.0288,0.0
74,1136640,train,2026-06-09 18:11:11,0.0,1.5609,60.0,0.026,0.0
75,1152000,train,2026-06-09 18:11:56,0.0,1.7116,60.0,0.0285,0.0
76,1167360,train,2026-06-09 18:12:41,0.0,1.5061,60.0,0.0251,0.0
77,1182720,train,2026-06-09 18:13:26,0.0,1.7187,60.0,0.0286,0.0
78,1198080,train,2026-06-09 18:14:11,0.0039,1.5964,60.0,0.0266,0.0
79,1213440,train,2026-06-09 18:14:56,0.0,1.8252,60.0,0.0304,0.0
80,1228800,train,2026-06-09 18:15:41,0.0,1.8384,60.0,0.0306,0.0
81,1244160,train,2026-06-09 18:16:27,0.0,1.6042,60.0,0.0267,0.0
82,1259520,train,2026-06-09 18:17:12,0.0,1.7418,60.0,0.029,0.0
83,1274880,train,2026-06-09 18:17:57,0.0039,1.5402,60.0,0.0257,0.0
84,1290240,train,2026-06-09 18:18:42,0.0039,1.7525,60.0,0.0292,0.0
85,1305600,train,2026-06-09 18:19:27,0.0,1.5132,60.0,0.0252,0.0
86,1320960,train,2026-06-09 18:20:12,0.0039,1.6683,60.0,0.0278,0.0
87,1336320,train,2026-06-09 18:20:57,0.0,1.6951,60.0,0.0283,0.0
88,1351680,train,2026-06-09 18:21:42,0.0,1.8202,60.0,0.0303,0.0
89,1367040,train,2026-06-09 18:22:27,0.0039,1.7247,60.0,0.0287,0.0
