iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-24 15:42:57,0.0,9.9028,60.0,0.165,0.0
1,15360,train,2026-05-24 15:43:26,0.0,0.0739,60.0,0.0012,0.0
2,30720,train,2026-05-24 15:43:53,0.0,0.1186,60.0,0.002,0.0
3,46080,train,2026-05-24 15:44:20,0.0,0.1983,60.0,0.0033,0.0
4,61440,train,2026-05-24 15:44:45,0.0,0.2829,60.0,0.0047,0.0
5,76800,train,2026-05-24 15:45:09,0.0,0.3975,60.0,0.0066,0.0
6,92160,train,2026-05-24 15:45:34,0.0,0.496,60.0,0.0083,0.0
7,107520,train,2026-05-24 15:45:58,0.0,0.6836,60.0,0.0114,0.0
8,122880,train,2026-05-24 15:46:23,0.0,0.6816,60.0,0.0114,0.0
9,138240,train,2026-05-24 15:46:47,0.0,0.8081,60.0,0.0135,0.0
10,153600,train,2026-05-24 15:47:12,0.0,0.8434,60.0,0.0141,0.0
11,168960,train,2026-05-24 15:47:36,0.0,0.993,60.0,0.0165,0.0
12,184320,train,2026-05-24 15:48:00,0.0039,1.1263,60.0,0.0188,0.0
13,199680,train,2026-05-24 15:48:25,0.0039,1.2424,60.0,0.0207,0.0
14,215040,train,2026-05-24 15:48:50,0.0,1.1508,60.0,0.0192,0.0
15,230400,train,2026-05-24 15:49:14,0.0,1.1389,60.0,0.019,0.0
16,245760,train,2026-05-24 15:49:39,0.0039,1.2769,60.0,0.0213,0.0
17,261120,train,2026-05-24 15:50:03,0.0,1.4835,60.0,0.0247,0.0
18,276480,train,2026-05-24 15:50:27,0.0,1.284,60.0,0.0214,0.0
19,291840,train,2026-05-24 15:50:51,0.0039,1.5527,60.0,0.0259,0.0
20,307200,train,2026-05-24 15:51:16,0.0039,1.3603,60.0,0.0227,0.0
21,322560,train,2026-05-24 15:51:40,0.0,1.3106,60.0,0.0218,0.0
22,337920,train,2026-05-24 15:52:04,0.0,1.5229,60.0,0.0254,0.0
23,353280,train,2026-05-24 15:52:28,0.0,1.3373,60.0,0.0223,0.0
24,368640,train,2026-05-24 15:52:52,0.0,1.4286,60.0,0.0238,0.0
25,384000,train,2026-05-24 15:53:16,0.0,1.49,60.0,0.0248,0.0
26,399360,train,2026-05-24 15:53:39,0.0,1.7099,60.0,0.0285,0.0
27,414720,train,2026-05-24 15:54:03,0.0,1.7596,60.0,0.0293,0.0
28,430080,train,2026-05-24 15:54:27,0.0,1.5748,60.0,0.0262,0.0
29,445440,train,2026-05-24 15:54:51,0.0039,1.4578,60.0,0.0243,0.0
30,460800,train,2026-05-24 15:55:15,0.0,1.4955,60.0,0.0249,0.0
31,476160,train,2026-05-24 15:55:39,0.0,1.6491,60.0,0.0275,0.0
32,491520,train,2026-05-24 15:56:03,0.0,1.5777,60.0,0.0263,0.0
33,506880,train,2026-05-24 15:56:27,0.0039,1.5728,60.0,0.0262,0.0
34,522240,train,2026-05-24 15:56:51,0.0,1.4578,60.0,0.0243,0.0
35,537600,train,2026-05-24 15:57:15,0.0,1.3936,60.0,0.0232,0.0
36,552960,train,2026-05-24 15:57:39,0.0039,1.6247,60.0,0.0271,0.0
37,568320,train,2026-05-24 15:58:03,0.0,1.9812,60.0,0.033,0.0
38,583680,train,2026-05-24 15:58:27,0.0,1.511,60.0,0.0252,0.0
39,599040,train,2026-05-24 15:58:51,0.0,1.4707,60.0,0.0245,0.0
40,614400,train,2026-05-24 15:59:15,0.0039,1.4201,60.0,0.0237,0.0
