iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-24 15:50:51,0.0,9.9134,60.0,0.1652,0.0
1,15360,train,2026-05-24 15:51:20,0.0,0.0785,60.0,0.0013,0.0
2,30720,train,2026-05-24 15:51:48,0.0,0.1219,60.0,0.002,0.0
3,46080,train,2026-05-24 15:52:15,0.0,0.2166,60.0,0.0036,0.0
4,61440,train,2026-05-24 15:52:42,0.0,0.2816,60.0,0.0047,0.0
5,76800,train,2026-05-24 15:53:07,0.0,0.4275,60.0,0.0071,0.0
6,92160,train,2026-05-24 15:53:32,0.0,0.6119,60.0,0.0102,0.0
7,107520,train,2026-05-24 15:53:56,0.0,0.9205,60.0,0.0153,0.0
8,122880,train,2026-05-24 15:54:21,0.0,0.8951,60.0,0.0149,0.0
9,138240,train,2026-05-24 15:54:45,0.0,0.9639,60.0,0.0161,0.0
10,153600,train,2026-05-24 15:55:10,0.0,1.0699,60.0,0.0178,0.0
11,168960,train,2026-05-24 15:55:35,0.0,1.1708,60.0,0.0195,0.0
12,184320,train,2026-05-24 15:56:00,0.0,1.2499,60.0,0.0208,0.0
13,199680,train,2026-05-24 15:56:24,0.0,1.2951,60.0,0.0216,0.0
14,215040,train,2026-05-24 15:56:48,0.0,1.2965,60.0,0.0216,0.0
15,230400,train,2026-05-24 15:57:13,0.0,1.1966,60.0,0.0199,0.0
16,245760,train,2026-05-24 15:57:37,0.0,1.1661,60.0,0.0194,0.0
17,261120,train,2026-05-24 15:58:01,0.0,1.3587,60.0,0.0226,0.0
18,276480,train,2026-05-24 15:58:25,0.0,1.2853,60.0,0.0214,0.0
19,291840,train,2026-05-24 15:58:49,0.0,1.3547,60.0,0.0226,0.0
20,307200,train,2026-05-24 15:59:13,0.0,1.2933,60.0,0.0216,0.0
21,322560,train,2026-05-24 15:59:37,0.0039,1.3801,60.0,0.023,0.0
22,337920,train,2026-05-24 16:00:01,0.0,1.3998,60.0,0.0233,0.0
23,353280,train,2026-05-24 16:00:26,0.0,1.4594,60.0,0.0243,0.0
24,368640,train,2026-05-24 16:00:50,0.0,1.3248,60.0,0.0221,0.0
25,384000,train,2026-05-24 16:01:14,0.0,1.5171,60.0,0.0253,0.0
26,399360,train,2026-05-24 16:01:38,0.0,1.5187,60.0,0.0253,0.0
27,414720,train,2026-05-24 16:02:02,0.0,1.3808,60.0,0.023,0.0
28,430080,train,2026-05-24 16:02:26,0.0039,1.4272,60.0,0.0238,0.0
29,445440,train,2026-05-24 16:02:50,0.0,1.424,60.0,0.0237,0.0
30,460800,train,2026-05-24 16:03:14,0.0,1.7289,60.0,0.0288,0.0
31,476160,train,2026-05-24 16:03:39,0.0039,1.6544,60.0,0.0276,0.0
32,491520,train,2026-05-24 16:04:03,0.0039,1.4987,60.0,0.025,0.0
33,506880,train,2026-05-24 16:04:27,0.0,1.3744,60.0,0.0229,0.0
