iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-25 00:23:21,0.0,9.9029,60.0,0.165,0.0
1,15360,train,2026-05-25 00:23:49,0.0,0.0737,60.0,0.0012,0.0
2,30720,train,2026-05-25 00:24:16,0.0,0.1274,60.0,0.0021,0.0
3,46080,train,2026-05-25 00:24:42,0.0,0.1997,60.0,0.0033,0.0
4,61440,train,2026-05-25 00:25:08,0.0,0.2568,60.0,0.0043,0.0
5,76800,train,2026-05-25 00:25:32,0.0,0.3638,60.0,0.0061,0.0
6,92160,train,2026-05-25 00:25:57,0.0,0.4258,60.0,0.0071,0.0
7,107520,train,2026-05-25 00:26:21,0.0,0.5263,60.0,0.0088,0.0
8,122880,train,2026-05-25 00:26:45,0.0,0.5383,60.0,0.009,0.0
9,138240,train,2026-05-25 00:27:10,0.0,0.8579,60.0,0.0143,0.0
10,153600,train,2026-05-25 00:27:34,0.0,0.9205,60.0,0.0153,0.0
11,168960,train,2026-05-25 00:27:58,0.0039,1.1735,60.0,0.0196,0.0
12,184320,train,2026-05-25 00:28:22,0.0,1.2956,60.0,0.0216,0.0
13,199680,train,2026-05-25 00:28:46,0.0,1.372,60.0,0.0229,0.0
14,215040,train,2026-05-25 00:29:11,0.0,1.3982,60.0,0.0233,0.0
15,230400,train,2026-05-25 00:29:35,0.0,1.2746,60.0,0.0212,0.0
16,245760,train,2026-05-25 00:29:59,0.0,1.4444,60.0,0.0241,0.0
17,261120,train,2026-05-25 00:30:23,0.0,1.3687,60.0,0.0228,0.0
18,276480,train,2026-05-25 00:30:47,0.0039,1.291,60.0,0.0215,0.0
19,291840,train,2026-05-25 00:31:12,0.0039,1.6121,60.0,0.0269,0.0
20,307200,train,2026-05-25 00:31:36,0.0039,1.3517,60.0,0.0225,0.0
21,322560,train,2026-05-25 00:32:00,0.0,1.3315,60.0,0.0222,0.0
22,337920,train,2026-05-25 00:32:24,0.0,1.5154,60.0,0.0253,0.0
23,353280,train,2026-05-25 00:32:48,0.0039,1.3515,60.0,0.0225,0.0
24,368640,train,2026-05-25 00:33:13,0.0,1.4737,60.0,0.0246,0.0
25,384000,train,2026-05-25 00:33:37,0.0,1.4917,60.0,0.0249,0.0
26,399360,train,2026-05-25 00:34:01,0.0,1.7732,60.0,0.0296,0.0
27,414720,train,2026-05-25 00:34:25,0.0039,1.8159,60.0,0.0303,0.0
28,430080,train,2026-05-25 00:34:49,0.0,1.698,60.0,0.0283,0.0
29,445440,train,2026-05-25 00:35:13,0.0,1.5154,60.0,0.0253,0.0
30,460800,train,2026-05-25 00:35:38,0.0,1.5407,60.0,0.0257,0.0
31,476160,train,2026-05-25 00:36:02,0.0,1.8527,60.0,0.0309,0.0
32,491520,train,2026-05-25 00:36:26,0.0039,1.6984,60.0,0.0283,0.0
33,506880,train,2026-05-25 00:36:50,0.0039,1.6857,60.0,0.0281,0.0
34,522240,train,2026-05-25 00:37:15,0.0,1.5967,60.0,0.0266,0.0
35,537600,train,2026-05-25 00:37:39,0.0039,1.5372,60.0,0.0256,0.0
36,552960,train,2026-05-25 00:38:03,0.0,1.6549,60.0,0.0276,0.0
37,568320,train,2026-05-25 00:38:27,0.0078,1.9809,60.0,0.033,0.0
38,583680,train,2026-05-25 00:38:51,0.0039,1.7027,60.0,0.0284,0.0
39,599040,train,2026-05-25 00:39:15,0.0,1.571,60.0,0.0262,0.0
40,614400,train,2026-05-25 00:39:39,0.0039,1.4749,60.0,0.0246,0.0
41,629760,train,2026-05-25 00:40:03,0.0,1.5213,60.0,0.0254,0.0
42,645120,train,2026-05-25 00:40:27,0.0039,1.7186,60.0,0.0286,0.0
43,660480,train,2026-05-25 00:40:51,0.0,1.5552,60.0,0.0259,0.0
44,675840,train,2026-05-25 00:41:16,0.0039,1.8776,60.0,0.0313,0.0
45,691200,train,2026-05-25 00:41:40,0.0078,1.8505,60.0,0.0308,0.0
46,706560,train,2026-05-25 00:42:04,0.0039,2.0095,60.0,0.0335,0.0
47,721920,train,2026-05-25 00:42:28,0.0039,1.4635,60.0,0.0244,0.0
48,737280,train,2026-05-25 00:42:52,0.0039,1.5818,60.0,0.0264,0.0
49,737280,eval,2026-05-25 00:44:28,0.3125,7.691,60.0,0.1282,0.0938
49,752640,train,2026-05-25 00:44:52,0.0,1.773,60.0,0.0296,0.0
50,768000,train,2026-05-25 00:45:16,0.0039,1.7714,60.0,0.0295,0.0
51,783360,train,2026-05-25 00:45:40,0.0,1.601,60.0,0.0267,0.0
52,798720,train,2026-05-25 00:46:04,0.0,1.7748,60.0,0.0296,0.0
53,814080,train,2026-05-25 00:46:28,0.0117,1.8604,60.0,0.031,0.0
54,829440,train,2026-05-25 00:46:52,0.0039,1.9721,60.0,0.0329,0.0
55,844800,train,2026-05-25 00:47:16,0.0039,1.6243,60.0,0.0271,0.0
56,860160,train,2026-05-25 00:47:40,0.0039,1.9194,60.0,0.032,0.0
57,875520,train,2026-05-25 00:48:04,0.0,1.7955,60.0,0.0299,0.0
58,890880,train,2026-05-25 00:48:28,0.0039,2.047,60.0,0.0341,0.0
59,906240,train,2026-05-25 00:48:53,0.0,2.3173,60.0,0.0386,0.0
60,921600,train,2026-05-25 00:49:17,0.0,2.0645,60.0,0.0344,0.0
61,936960,train,2026-05-25 00:49:41,0.0,1.8326,60.0,0.0305,0.0
62,952320,train,2026-05-25 00:50:05,0.0,1.9313,60.0,0.0322,0.0
63,967680,train,2026-05-25 00:50:29,0.0039,1.9777,60.0,0.033,0.0
64,983040,train,2026-05-25 00:50:53,0.0039,1.9009,60.0,0.0317,0.0
