iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-03 06:47:04,0.0,9.9245,60.0,0.1654,0.0
1,15360,train,2026-07-03 06:47:44,0.0,0.0783,60.0,0.0013,0.0
2,30720,train,2026-07-03 06:48:24,0.0,0.1066,60.0,0.0018,0.0
3,46080,train,2026-07-03 06:49:05,0.0,0.1865,60.0,0.0031,0.0
4,61440,train,2026-07-03 06:49:45,0.0,0.2381,60.0,0.004,0.0
5,76800,train,2026-07-03 06:50:26,0.0,0.3856,60.0,0.0064,0.0
6,92160,train,2026-07-03 06:51:07,0.0,0.4746,60.0,0.0079,0.0
7,107520,train,2026-07-03 06:51:47,0.0,0.6575,60.0,0.011,0.0
8,122880,train,2026-07-03 06:52:28,0.0039,0.8627,60.0,0.0144,0.0
9,138240,train,2026-07-03 06:53:09,0.0,0.8907,60.0,0.0148,0.0
10,153600,train,2026-07-03 06:53:50,0.0,0.9559,60.0,0.0159,0.0
11,168960,train,2026-07-03 06:54:31,0.0,1.2345,60.0,0.0206,0.0
12,184320,train,2026-07-03 06:55:12,0.0,1.1829,60.0,0.0197,0.0
13,199680,train,2026-07-03 06:55:53,0.0,1.3447,60.0,0.0224,0.0
14,215040,train,2026-07-03 06:56:34,0.0,1.322,60.0,0.022,0.0
15,230400,train,2026-07-03 06:57:15,0.0,1.4412,60.0,0.024,0.0
16,245760,train,2026-07-03 06:57:56,0.0,1.3304,60.0,0.0222,0.0
17,261120,train,2026-07-03 06:58:37,0.0,1.3801,60.0,0.023,0.0
18,276480,train,2026-07-03 06:59:18,0.0039,1.4235,60.0,0.0237,0.0
19,291840,train,2026-07-03 06:59:59,0.0039,1.5435,60.0,0.0257,0.0
20,307200,train,2026-07-03 07:00:40,0.0039,1.4901,60.0,0.0248,0.0
21,322560,train,2026-07-03 07:01:21,0.0,1.5961,60.0,0.0266,0.0
22,337920,train,2026-07-03 07:02:02,0.0,1.4339,60.0,0.0239,0.0
23,353280,train,2026-07-03 07:02:43,0.0039,1.6488,60.0,0.0275,0.0
24,368640,train,2026-07-03 07:03:24,0.0,1.6163,60.0,0.0269,0.0
25,368640,eval,2026-07-03 07:05:15,0.1458,2.8077,60.0,0.0468,0.0104
25,384000,train,2026-07-03 07:05:55,0.0,1.6054,60.0,0.0268,0.0
26,399360,train,2026-07-03 07:06:36,0.0,1.6276,60.0,0.0271,0.0
27,414720,train,2026-07-03 07:07:17,0.0,1.6704,60.0,0.0278,0.0
28,430080,train,2026-07-03 07:07:58,0.0078,1.59,60.0,0.0265,0.0
29,445440,train,2026-07-03 07:08:39,0.0,1.4139,60.0,0.0236,0.0
30,460800,train,2026-07-03 07:09:20,0.0,1.4623,60.0,0.0244,0.0
31,476160,train,2026-07-03 07:10:01,0.0,1.5604,60.0,0.026,0.0
32,491520,train,2026-07-03 07:10:42,0.0,1.6454,60.0,0.0274,0.0
33,506880,train,2026-07-03 07:11:23,0.0039,1.8743,60.0,0.0312,0.0
34,522240,train,2026-07-03 07:12:04,0.0,1.8233,60.0,0.0304,0.0
35,537600,train,2026-07-03 07:12:45,0.0,1.5483,60.0,0.0258,0.0
36,552960,train,2026-07-03 07:13:26,0.0,1.5806,60.0,0.0263,0.0
37,568320,train,2026-07-03 07:14:07,0.0039,1.5229,60.0,0.0254,0.0039
38,583680,train,2026-07-03 07:14:48,0.0,1.8407,60.0,0.0307,0.0
39,599040,train,2026-07-03 07:15:29,0.0039,1.8357,60.0,0.0306,0.0
40,614400,train,2026-07-03 07:16:10,0.0,1.8988,60.0,0.0316,0.0
41,629760,train,2026-07-03 07:16:51,0.0,1.7265,60.0,0.0288,0.0
42,645120,train,2026-07-03 07:17:32,0.0,1.8644,60.0,0.0311,0.0
43,660480,train,2026-07-03 07:18:13,0.0,1.6604,60.0,0.0277,0.0
44,675840,train,2026-07-03 07:18:54,0.0,1.5521,60.0,0.0259,0.0
45,691200,train,2026-07-03 07:19:35,0.0,1.5756,60.0,0.0263,0.0
46,706560,train,2026-07-03 07:20:16,0.0039,1.673,60.0,0.0279,0.0
47,721920,train,2026-07-03 07:20:57,0.0,1.5777,60.0,0.0263,0.0
48,737280,train,2026-07-03 07:21:38,0.0,1.7432,60.0,0.0291,0.0
49,737280,eval,2026-07-03 07:23:30,0.2604,6.991,60.0,0.1165,0.1042
49,752640,train,2026-07-03 07:24:10,0.0,1.7946,60.0,0.0299,0.0
50,768000,train,2026-07-03 07:24:51,0.0039,1.7219,60.0,0.0287,0.0
51,783360,train,2026-07-03 07:25:32,0.0,1.3971,60.0,0.0233,0.0
52,798720,train,2026-07-03 07:26:12,0.0,1.4843,60.0,0.0247,0.0
53,814080,train,2026-07-03 07:26:53,0.0,1.7249,60.0,0.0287,0.0
54,829440,train,2026-07-03 07:27:34,0.0039,1.8656,60.0,0.0311,0.0
55,844800,train,2026-07-03 07:28:15,0.0,1.8214,60.0,0.0304,0.0
56,860160,train,2026-07-03 07:28:56,0.0,1.8684,60.0,0.0311,0.0
57,875520,train,2026-07-03 07:29:37,0.0039,1.8724,60.0,0.0312,0.0
58,890880,train,2026-07-03 07:30:18,0.0,1.7609,60.0,0.0293,0.0
59,906240,train,2026-07-03 07:30:59,0.0,1.9677,60.0,0.0328,0.0
60,921600,train,2026-07-03 07:31:40,0.0,1.8144,60.0,0.0302,0.0
61,936960,train,2026-07-03 07:32:20,0.0,1.6824,60.0,0.028,0.0
62,952320,train,2026-07-03 07:33:01,0.0039,1.8216,60.0,0.0304,0.0
63,967680,train,2026-07-03 07:33:42,0.0,1.5717,60.0,0.0262,0.0
64,983040,train,2026-07-03 07:34:23,0.0039,1.7594,60.0,0.0293,0.0
65,998400,train,2026-07-03 07:35:04,0.0,1.7605,60.0,0.0293,0.0
66,1013760,train,2026-07-03 07:35:45,0.0039,1.6295,60.0,0.0272,0.0
67,1029120,train,2026-07-03 07:36:26,0.0,1.8356,60.0,0.0306,0.0
68,1044480,train,2026-07-03 07:37:07,0.0039,1.9069,60.0,0.0318,0.0
69,1059840,train,2026-07-03 07:37:48,0.0195,2.0371,60.0,0.034,0.0
70,1075200,train,2026-07-03 07:38:29,0.0,1.578,60.0,0.0263,0.0
71,1090560,train,2026-07-03 07:39:10,0.0,1.7015,60.0,0.0284,0.0
72,1105920,train,2026-07-03 07:39:50,0.0,1.6587,60.0,0.0276,0.0
73,1105920,eval,2026-07-03 07:41:40,0.3542,5.9655,60.0,0.0994,0.0781
73,1121280,train,2026-07-03 07:42:20,0.0078,1.8246,60.0,0.0304,0.0
74,1136640,train,2026-07-03 07:43:01,0.0039,1.6544,60.0,0.0276,0.0
75,1152000,train,2026-07-03 07:43:41,0.0039,1.7473,60.0,0.0291,0.0
76,1167360,train,2026-07-03 07:44:22,0.0039,1.6865,60.0,0.0281,0.0
77,1182720,train,2026-07-03 07:45:03,0.0,1.7165,60.0,0.0286,0.0
78,1198080,train,2026-07-03 07:45:45,0.0,1.6501,60.0,0.0275,0.0
79,1213440,train,2026-07-03 07:46:25,0.0039,1.6962,60.0,0.0283,0.0
80,1228800,train,2026-07-03 07:47:06,0.0,1.7921,60.0,0.0299,0.0
81,1244160,train,2026-07-03 07:47:47,0.0,1.6874,60.0,0.0281,0.0
82,1259520,train,2026-07-03 07:48:29,0.0078,1.9132,60.0,0.0319,0.0
83,1274880,train,2026-07-03 07:49:09,0.0,1.7619,60.0,0.0294,0.0
84,1290240,train,2026-07-03 07:49:50,0.0,1.7373,60.0,0.029,0.0
85,1305600,train,2026-07-03 07:50:31,0.0078,1.6312,60.0,0.0272,0.0
86,1320960,train,2026-07-03 07:51:13,0.0,1.9531,60.0,0.0326,0.0
87,1336320,train,2026-07-03 07:51:54,0.0078,1.7234,60.0,0.0287,0.0
88,1351680,train,2026-07-03 07:52:35,0.0,1.5289,60.0,0.0255,0.0
89,1367040,train,2026-07-03 07:53:15,0.0117,2.045,60.0,0.0341,0.0
90,1382400,train,2026-07-03 07:53:56,0.0039,1.5847,60.0,0.0264,0.0
91,1397760,train,2026-07-03 07:54:37,0.0,1.6735,60.0,0.0279,0.0
92,1413120,train,2026-07-03 07:55:18,0.0039,1.6524,60.0,0.0275,0.0
93,1428480,train,2026-07-03 07:55:59,0.0039,1.8445,60.0,0.0307,0.0
94,1443840,train,2026-07-03 07:56:40,0.0,1.467,60.0,0.0244,0.0
95,1459200,train,2026-07-03 07:57:21,0.0,1.6291,60.0,0.0272,0.0
96,1474560,train,2026-07-03 07:58:02,0.0039,1.625,60.0,0.0271,0.0
