iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-06-18 00:12:59,0.0,9.9245,60.0,0.1654,0.0
1,15360,train,2026-06-18 00:13:39,0.0,0.0783,60.0,0.0013,0.0
2,30720,train,2026-06-18 00:14:20,0.0,0.1066,60.0,0.0018,0.0
3,46080,train,2026-06-18 00:15:01,0.0,0.1855,60.0,0.0031,0.0
4,61440,train,2026-06-18 00:15:42,0.0,0.2384,60.0,0.004,0.0
5,76800,train,2026-06-18 00:16:23,0.0,0.3902,60.0,0.0065,0.0
6,92160,train,2026-06-18 00:17:04,0.0,0.4985,60.0,0.0083,0.0
7,107520,train,2026-06-18 00:17:45,0.0,0.6229,60.0,0.0104,0.0
8,122880,train,2026-06-18 00:18:29,0.0,0.8071,60.0,0.0135,0.0
9,138240,train,2026-06-18 00:19:10,0.0039,0.851,60.0,0.0142,0.0
10,153600,train,2026-06-18 00:19:51,0.0039,0.9409,60.0,0.0157,0.0
11,168960,train,2026-06-18 00:20:33,0.0039,1.3167,60.0,0.0219,0.0
12,184320,train,2026-06-18 00:21:14,0.0039,1.2902,60.0,0.0215,0.0
13,199680,train,2026-06-18 00:21:56,0.0,1.388,60.0,0.0231,0.0
14,215040,train,2026-06-18 00:22:37,0.0,1.3549,60.0,0.0226,0.0
15,230400,train,2026-06-18 00:23:19,0.0,1.594,60.0,0.0266,0.0
16,245760,train,2026-06-18 00:24:00,0.0039,1.3744,60.0,0.0229,0.0
17,261120,train,2026-06-18 00:24:42,0.0039,1.4605,60.0,0.0243,0.0
18,276480,train,2026-06-18 00:25:23,0.0,1.4303,60.0,0.0238,0.0
19,291840,train,2026-06-18 00:26:05,0.0,1.5474,60.0,0.0258,0.0
20,307200,train,2026-06-18 00:26:46,0.0039,1.4938,60.0,0.0249,0.0
21,322560,train,2026-06-18 00:27:28,0.0,1.6175,60.0,0.027,0.0
22,337920,train,2026-06-18 00:28:09,0.0,1.4353,60.0,0.0239,0.0
23,353280,train,2026-06-18 00:28:51,0.0039,1.7057,60.0,0.0284,0.0
24,368640,train,2026-06-18 00:29:32,0.0039,1.5744,60.0,0.0262,0.0
25,384000,train,2026-06-18 00:30:13,0.0,1.578,60.0,0.0263,0.0
26,399360,train,2026-06-18 00:30:55,0.0039,1.533,60.0,0.0255,0.0
27,414720,train,2026-06-18 00:31:37,0.0,1.5066,60.0,0.0251,0.0
28,430080,train,2026-06-18 00:32:18,0.0,1.6069,60.0,0.0268,0.0
29,445440,train,2026-06-18 00:33:00,0.0117,1.5417,60.0,0.0257,0.0
30,460800,train,2026-06-18 00:33:41,0.0039,1.7739,60.0,0.0296,0.0
31,476160,train,2026-06-18 00:34:23,0.0,1.5688,60.0,0.0261,0.0
32,491520,train,2026-06-18 00:35:04,0.0039,1.7113,60.0,0.0285,0.0
33,506880,train,2026-06-18 00:35:46,0.0,1.5799,60.0,0.0263,0.0
34,522240,train,2026-06-18 00:36:27,0.0,1.8929,60.0,0.0315,0.0
35,537600,train,2026-06-18 00:37:09,0.0,1.6195,60.0,0.027,0.0
36,552960,train,2026-06-18 00:37:51,0.0039,1.5769,60.0,0.0263,0.0
37,568320,train,2026-06-18 00:38:32,0.0,1.8923,60.0,0.0315,0.0
38,583680,train,2026-06-18 00:39:14,0.0039,1.8476,60.0,0.0308,0.0
39,599040,train,2026-06-18 00:39:55,0.0,1.7071,60.0,0.0285,0.0
40,614400,train,2026-06-18 00:40:37,0.0039,1.8055,60.0,0.0301,0.0
41,629760,train,2026-06-18 00:41:18,0.0078,1.6738,60.0,0.0279,0.0
42,645120,train,2026-06-18 00:42:00,0.0039,1.6299,60.0,0.0272,0.0
43,660480,train,2026-06-18 00:42:42,0.0039,1.5641,60.0,0.0261,0.0
44,675840,train,2026-06-18 00:43:23,0.0039,1.5665,60.0,0.0261,0.0
45,691200,train,2026-06-18 00:44:05,0.0,1.6631,60.0,0.0277,0.0
46,706560,train,2026-06-18 00:44:46,0.0,1.6399,60.0,0.0273,0.0
47,721920,train,2026-06-18 00:45:28,0.0,1.5009,60.0,0.025,0.0
48,737280,train,2026-06-18 00:46:09,0.0078,1.6088,60.0,0.0268,0.0
49,737280,eval,2026-06-18 00:48:02,0.3958,5.6942,60.0,0.0949,0.0417
49,752640,train,2026-06-18 00:48:42,0.0039,1.6818,60.0,0.028,0.0
50,768000,train,2026-06-18 00:49:23,0.0078,1.7643,60.0,0.0294,0.0
51,783360,train,2026-06-18 00:50:04,0.0039,1.7366,60.0,0.0289,0.0
52,798720,train,2026-06-18 00:50:46,0.0,1.7213,60.0,0.0287,0.0
53,814080,train,2026-06-18 00:51:27,0.0,1.8606,60.0,0.031,0.0
54,829440,train,2026-06-18 00:52:08,0.0,1.7583,60.0,0.0293,0.0
55,844800,train,2026-06-18 00:52:50,0.0,1.8691,60.0,0.0312,0.0
56,860160,train,2026-06-18 00:53:31,0.0,1.6813,60.0,0.028,0.0
57,875520,train,2026-06-18 00:54:12,0.0039,1.6746,60.0,0.0279,0.0
58,890880,train,2026-06-18 00:54:54,0.0078,1.9253,60.0,0.0321,0.0
59,906240,train,2026-06-18 00:55:35,0.0039,1.7413,60.0,0.029,0.0
60,921600,train,2026-06-18 00:56:16,0.0039,1.7015,60.0,0.0284,0.0
61,936960,train,2026-06-18 00:56:59,0.0,1.5623,60.0,0.026,0.0
62,952320,train,2026-06-18 00:57:41,0.0,1.6036,60.0,0.0267,0.0
63,967680,train,2026-06-18 00:58:22,0.0,1.5575,60.0,0.026,0.0
64,983040,train,2026-06-18 00:59:03,0.0039,1.6446,60.0,0.0274,0.0
65,998400,train,2026-06-18 00:59:44,0.0039,1.5713,60.0,0.0262,0.0
66,1013760,train,2026-06-18 01:00:26,0.0,1.524,60.0,0.0254,0.0
67,1029120,train,2026-06-18 01:01:07,0.0078,1.759,60.0,0.0293,0.0
68,1044480,train,2026-06-18 01:01:48,0.0,1.6216,60.0,0.027,0.0
69,1059840,train,2026-06-18 01:02:30,0.0,1.6669,60.0,0.0278,0.0
70,1075200,train,2026-06-18 01:03:11,0.0078,1.7912,60.0,0.0299,0.0
