iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-05 10:38:24,0.0,9.7859,60.0,0.1631,0.0
1,15360,train,2026-07-05 10:38:45,0.0,0.0727,60.0,0.0012,0.0
2,30720,train,2026-07-05 10:39:43,0.0,0.1179,60.0,0.002,0.0
3,46080,train,2026-07-05 10:40:40,0.0,0.1753,60.0,0.0029,0.0
4,61440,train,2026-07-05 10:41:38,0.0,0.2345,60.0,0.0039,0.0
5,76800,train,2026-07-05 10:42:37,0.0,0.4275,60.0,0.0071,0.0
6,92160,train,2026-07-05 10:43:35,0.0,0.5353,60.0,0.0089,0.0
7,107520,train,2026-07-05 10:44:34,0.0,0.6883,60.0,0.0115,0.0
8,122880,train,2026-07-05 10:45:32,0.0,0.8227,60.0,0.0137,0.0
9,138240,train,2026-07-05 10:46:31,0.0,0.8795,60.0,0.0147,0.0
10,153600,train,2026-07-05 10:47:29,0.0,1.0293,60.0,0.0172,0.0
11,168960,train,2026-07-05 10:48:28,0.0039,1.127,60.0,0.0188,0.0
12,184320,train,2026-07-05 10:49:26,0.0,1.2339,60.0,0.0206,0.0
13,199680,train,2026-07-05 10:50:25,0.0,1.5685,60.0,0.0261,0.0
14,215040,train,2026-07-05 10:51:23,0.0,1.3529,60.0,0.0225,0.0
15,230400,train,2026-07-05 10:52:22,0.0039,1.5302,60.0,0.0255,0.0
16,245760,train,2026-07-05 10:53:21,0.0,1.4461,60.0,0.0241,0.0
17,261120,train,2026-07-05 10:54:20,0.0,1.5676,60.0,0.0261,0.0
18,276480,train,2026-07-05 10:55:18,0.0,1.704,60.0,0.0284,0.0
19,291840,train,2026-07-05 10:56:17,0.0,1.6209,60.0,0.027,0.0
20,307200,train,2026-07-05 10:57:16,0.0,1.5631,60.0,0.0261,0.0
21,322560,train,2026-07-05 10:58:14,0.0039,1.6049,60.0,0.0267,0.0039
22,337920,train,2026-07-05 10:59:13,0.0,1.6254,60.0,0.0271,0.0
23,353280,train,2026-07-05 11:00:11,0.0,1.8223,60.0,0.0304,0.0
24,368640,train,2026-07-05 11:01:11,0.0039,1.791,60.0,0.0299,0.0
25,368640,eval,2026-07-05 11:03:29,0.0729,5.2577,60.0,0.0876,0.026
