iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-15 07:54:27,0.0,9.9436,60.0,0.1657,0.0
1,15360,train,2026-04-15 07:54:43,0.0,0.0841,60.0,0.0014,0.0
2,30720,train,2026-04-15 07:55:00,0.0,0.0685,60.0,0.0011,0.0
3,46080,train,2026-04-15 07:55:17,0.0,0.0464,60.0,0.0008,0.0
4,61440,train,2026-04-15 07:55:33,0.0,0.0671,60.0,0.0011,0.0
5,76800,train,2026-04-15 07:55:50,0.0,0.1075,60.0,0.0018,0.0
6,92160,train,2026-04-15 07:56:07,0.0,0.1393,60.0,0.0023,0.0
7,107520,train,2026-04-15 07:56:24,0.0,0.2097,60.0,0.0035,0.0
8,122880,train,2026-04-15 07:56:41,0.0,0.3251,60.0,0.0054,0.0
9,138240,train,2026-04-15 07:56:58,0.0,0.3496,60.0,0.0058,0.0
10,153600,train,2026-04-15 07:57:16,0.0,0.6202,60.0,0.0103,0.0
11,168960,train,2026-04-15 07:57:33,0.0039,0.7559,60.0,0.0126,0.0
12,184320,train,2026-04-15 07:57:50,0.0,0.9707,60.0,0.0162,0.0
13,199680,train,2026-04-15 07:58:08,0.0039,1.0313,60.0,0.0172,0.0
14,215040,train,2026-04-15 07:58:25,0.0,1.1048,60.0,0.0184,0.0
15,230400,train,2026-04-15 07:58:43,0.0,1.2589,60.0,0.021,0.0
16,245760,train,2026-04-15 07:59:00,0.0,1.392,60.0,0.0232,0.0
17,261120,train,2026-04-15 07:59:18,0.0078,1.3565,60.0,0.0226,0.0
18,276480,train,2026-04-15 07:59:35,0.0,1.2592,60.0,0.021,0.0
19,291840,train,2026-04-15 07:59:53,0.0,1.487,60.0,0.0248,0.0
20,307200,train,2026-04-15 08:00:10,0.0,1.5864,60.0,0.0264,0.0
21,322560,train,2026-04-15 08:00:28,0.0,1.5,60.0,0.025,0.0
22,337920,train,2026-04-15 08:00:45,0.0,1.5551,60.0,0.0259,0.0
23,353280,train,2026-04-15 08:01:03,0.0078,1.7679,60.0,0.0295,0.0
24,368640,train,2026-04-15 08:01:20,0.0,1.8096,60.0,0.0302,0.0
25,384000,train,2026-04-15 08:01:38,0.0039,1.7842,60.0,0.0297,0.0
26,399360,train,2026-04-15 08:01:56,0.0,1.8428,60.0,0.0307,0.0
27,414720,train,2026-04-15 08:02:13,0.0,1.7127,60.0,0.0285,0.0
28,430080,train,2026-04-15 08:02:31,0.0039,1.9551,60.0,0.0326,0.0
29,445440,train,2026-04-15 08:02:49,0.0039,1.8968,60.0,0.0316,0.0
30,460800,train,2026-04-15 08:03:06,0.0,1.9745,60.0,0.0329,0.0
31,476160,train,2026-04-15 08:03:24,0.0,1.7733,60.0,0.0296,0.0
32,491520,train,2026-04-15 08:03:41,0.0,1.8468,60.0,0.0308,0.0
33,506880,train,2026-04-15 08:03:59,0.0039,1.7867,60.0,0.0298,0.0
34,522240,train,2026-04-15 08:04:16,0.0039,1.5663,60.0,0.0261,0.0
35,537600,train,2026-04-15 08:04:34,0.0039,1.8705,60.0,0.0312,0.0039
36,552960,train,2026-04-15 08:04:52,0.0,1.7195,60.0,0.0287,0.0
37,568320,train,2026-04-15 08:05:09,0.0039,1.8549,60.0,0.0309,0.0
38,583680,train,2026-04-15 08:05:27,0.0,1.5607,60.0,0.026,0.0
39,599040,train,2026-04-15 08:05:45,0.0,1.8261,60.0,0.0304,0.0
40,614400,train,2026-04-15 08:06:02,0.0,1.7009,60.0,0.0283,0.0
41,629760,train,2026-04-15 08:06:20,0.0,1.9379,60.0,0.0323,0.0
42,645120,train,2026-04-15 08:06:37,0.0,1.9314,60.0,0.0322,0.0
43,660480,train,2026-04-15 08:06:55,0.0,1.8172,60.0,0.0303,0.0
44,675840,train,2026-04-15 08:07:13,0.0,1.7484,60.0,0.0291,0.0
45,691200,train,2026-04-15 08:07:30,0.0,1.8482,60.0,0.0308,0.0
46,706560,train,2026-04-15 08:07:48,0.0,1.8885,60.0,0.0315,0.0
47,721920,train,2026-04-15 08:08:06,0.0,2.0456,60.0,0.0341,0.0
48,737280,train,2026-04-15 08:08:23,0.0,1.5128,60.0,0.0252,0.0
49,737280,eval,2026-04-15 08:09:57,0.1146,3.0013,60.0,0.05,0.0365
49,752640,train,2026-04-15 08:10:13,0.0,1.8033,60.0,0.0301,0.0
50,768000,train,2026-04-15 08:10:31,0.0,2.0037,60.0,0.0334,0.0
51,783360,train,2026-04-15 08:10:48,0.0,1.8689,60.0,0.0311,0.0
52,798720,train,2026-04-15 08:11:06,0.0,2.0149,60.0,0.0336,0.0
53,814080,train,2026-04-15 08:11:24,0.0,2.0258,60.0,0.0338,0.0
54,829440,train,2026-04-15 08:11:41,0.0,2.0863,60.0,0.0348,0.0
55,844800,train,2026-04-15 08:11:59,0.0,2.2487,60.0,0.0375,0.0
56,860160,train,2026-04-15 08:12:16,0.0039,1.9868,60.0,0.0331,0.0
57,875520,train,2026-04-15 08:12:34,0.0,1.9889,60.0,0.0331,0.0
58,890880,train,2026-04-15 08:12:51,0.0,1.9937,60.0,0.0332,0.0
59,906240,train,2026-04-15 08:13:09,0.0,2.322,60.0,0.0387,0.0
60,921600,train,2026-04-15 08:13:27,0.0,1.8346,60.0,0.0306,0.0
61,936960,train,2026-04-15 08:13:45,0.0,2.1346,60.0,0.0356,0.0
62,952320,train,2026-04-15 08:14:02,0.0,1.9735,60.0,0.0329,0.0
63,967680,train,2026-04-15 08:14:20,0.0,2.1938,60.0,0.0366,0.0
64,983040,train,2026-04-15 08:14:38,0.0,2.2495,60.0,0.0375,0.0
65,998400,train,2026-04-15 08:14:55,0.0,2.0904,60.0,0.0348,0.0
66,1013760,train,2026-04-15 08:15:13,0.0,2.1123,60.0,0.0352,0.0
67,1029120,train,2026-04-15 08:15:30,0.0,2.2234,60.0,0.0371,0.0
68,1044480,train,2026-04-15 08:15:48,0.0,1.8806,60.0,0.0313,0.0
69,1059840,train,2026-04-15 08:16:06,0.0,2.3433,60.0,0.0391,0.0
70,1075200,train,2026-04-15 08:16:23,0.0,2.1708,60.0,0.0362,0.0
71,1090560,train,2026-04-15 08:16:41,0.0,1.9472,60.0,0.0325,0.0
72,1105920,train,2026-04-15 08:16:59,0.0,1.9932,60.0,0.0332,0.0
73,1121280,train,2026-04-15 08:17:16,0.0,2.1244,60.0,0.0354,0.0
74,1136640,train,2026-04-15 08:17:34,0.0,2.1458,60.0,0.0358,0.0
75,1152000,train,2026-04-15 08:17:52,0.0039,2.0171,60.0,0.0336,0.0
76,1167360,train,2026-04-15 08:18:09,0.0,2.1362,60.0,0.0356,0.0
77,1182720,train,2026-04-15 08:18:27,0.0,2.1868,60.0,0.0364,0.0
78,1198080,train,2026-04-15 08:18:45,0.0,2.0622,60.0,0.0344,0.0
79,1213440,train,2026-04-15 08:19:03,0.0,2.1466,60.0,0.0358,0.0
80,1228800,train,2026-04-15 08:19:20,0.0,2.0311,60.0,0.0339,0.0
81,1244160,train,2026-04-15 08:19:38,0.0,2.1754,60.0,0.0363,0.0
82,1259520,train,2026-04-15 08:19:56,0.0039,1.9275,60.0,0.0321,0.0
83,1274880,train,2026-04-15 08:20:13,0.0,2.0319,60.0,0.0339,0.0
84,1290240,train,2026-04-15 08:20:31,0.0,2.1239,60.0,0.0354,0.0
85,1305600,train,2026-04-15 08:20:49,0.0,2.0603,60.0,0.0343,0.0
86,1320960,train,2026-04-15 08:21:07,0.0,2.1316,60.0,0.0355,0.0
87,1336320,train,2026-04-15 08:21:24,0.0,2.127,60.0,0.0355,0.0
88,1351680,train,2026-04-15 08:21:42,0.0,2.1937,60.0,0.0366,0.0
89,1367040,train,2026-04-15 08:22:00,0.0078,2.1966,60.0,0.0366,0.0
90,1382400,train,2026-04-15 08:22:18,0.0,2.1356,60.0,0.0356,0.0
91,1397760,train,2026-04-15 08:22:35,0.0,2.1821,60.0,0.0364,0.0
92,1413120,train,2026-04-15 08:22:53,0.0,2.0929,60.0,0.0349,0.0
93,1428480,train,2026-04-15 08:23:11,0.0078,2.12,60.0,0.0353,0.0
94,1443840,train,2026-04-15 08:23:29,0.0,2.4111,60.0,0.0402,0.0
95,1459200,train,2026-04-15 08:23:46,0.0,2.3134,60.0,0.0386,0.0
96,1474560,train,2026-04-15 08:24:04,0.0039,2.089,60.0,0.0348,0.0
97,1474560,eval,2026-04-15 08:25:38,0.0,2.7095,60.0,0.0452,0.0
97,1489920,train,2026-04-15 08:25:55,0.0,2.1021,60.0,0.035,0.0
98,1505280,train,2026-04-15 08:26:12,0.0039,2.3198,60.0,0.0387,0.0
99,1520640,train,2026-04-15 08:26:30,0.0,2.0576,60.0,0.0343,0.0
100,1536000,train,2026-04-15 08:26:48,0.0039,2.4908,60.0,0.0415,0.0
101,1551360,train,2026-04-15 08:27:05,0.0,2.4271,60.0,0.0405,0.0
102,1566720,train,2026-04-15 08:27:23,0.0039,2.1616,60.0,0.036,0.0
103,1582080,train,2026-04-15 08:27:41,0.0,2.093,60.0,0.0349,0.0
104,1597440,train,2026-04-15 08:27:58,0.0,2.3851,60.0,0.0398,0.0
105,1612800,train,2026-04-15 08:28:16,0.0039,2.0336,60.0,0.0339,0.0
106,1628160,train,2026-04-15 08:28:34,0.0,2.2867,60.0,0.0381,0.0
107,1643520,train,2026-04-15 08:28:51,0.0,2.0309,60.0,0.0338,0.0
