iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-17 09:35:27,0.0,9.8317,60.0,0.1639,0.0
1,15360,train,2026-04-17 09:35:51,0.0,0.0848,60.0,0.0014,0.0
2,30720,train,2026-04-17 09:37:00,0.0,0.1094,60.0,0.0018,0.0
3,46080,train,2026-04-17 09:37:18,0.0,0.2227,60.0,0.0037,0.0
4,61440,train,2026-04-17 09:37:36,0.0,0.2275,60.0,0.0038,0.0
5,76800,train,2026-04-17 09:37:54,0.0,0.3781,60.0,0.0063,0.0
6,92160,train,2026-04-17 09:38:12,0.0,0.4356,60.0,0.0073,0.0
7,107520,train,2026-04-17 09:38:30,0.0,0.5695,60.0,0.0095,0.0
8,122880,train,2026-04-17 09:38:48,0.0,0.6578,60.0,0.011,0.0
9,138240,train,2026-04-17 09:39:06,0.0,0.8809,60.0,0.0147,0.0
10,153600,train,2026-04-17 09:39:24,0.0,1.1104,60.0,0.0185,0.0
11,168960,train,2026-04-17 09:39:42,0.0,1.0624,60.0,0.0177,0.0
12,184320,train,2026-04-17 09:39:59,0.0,1.1754,60.0,0.0196,0.0
13,199680,train,2026-04-17 09:40:17,0.0,1.1093,60.0,0.0185,0.0
14,215040,train,2026-04-17 09:40:36,0.0,1.448,60.0,0.0241,0.0
15,230400,train,2026-04-17 09:40:53,0.0,1.4835,60.0,0.0247,0.0
16,245760,train,2026-04-17 09:41:11,0.0078,1.6208,60.0,0.027,0.0
17,261120,train,2026-04-17 09:41:30,0.0,1.6178,60.0,0.027,0.0
18,276480,train,2026-04-17 09:41:48,0.0,1.5194,60.0,0.0253,0.0
19,291840,train,2026-04-17 09:42:06,0.0,1.5318,60.0,0.0255,0.0
20,307200,train,2026-04-17 09:42:25,0.0,1.7397,60.0,0.029,0.0
21,322560,train,2026-04-17 09:42:43,0.0,1.6728,60.0,0.0279,0.0
22,337920,train,2026-04-17 09:43:02,0.0,1.6355,60.0,0.0273,0.0
23,353280,train,2026-04-17 09:43:20,0.0039,1.899,60.0,0.0316,0.0
24,368640,train,2026-04-17 09:43:38,0.0,1.6957,60.0,0.0283,0.0
25,384000,train,2026-04-17 09:43:56,0.0,1.6681,60.0,0.0278,0.0
26,399360,train,2026-04-17 09:44:14,0.0,1.7839,60.0,0.0297,0.0
27,414720,train,2026-04-17 09:44:32,0.0,1.5095,60.0,0.0252,0.0
28,430080,train,2026-04-17 09:44:50,0.0039,1.4665,60.0,0.0244,0.0
29,445440,train,2026-04-17 09:45:08,0.0,1.4096,60.0,0.0235,0.0
30,460800,train,2026-04-17 09:45:33,0.0039,1.6534,60.0,0.0276,0.0
31,476160,train,2026-04-17 09:45:51,0.0,1.5827,60.0,0.0264,0.0
32,491520,train,2026-04-17 09:46:09,0.0,1.7106,60.0,0.0285,0.0
33,506880,train,2026-04-17 09:46:27,0.0039,2.0186,60.0,0.0336,0.0
34,522240,train,2026-04-17 09:46:46,0.0,1.7142,60.0,0.0286,0.0
35,537600,train,2026-04-17 09:47:04,0.0,1.9656,60.0,0.0328,0.0
36,552960,train,2026-04-17 09:47:22,0.0,2.141,60.0,0.0357,0.0
37,568320,train,2026-04-17 09:47:41,0.0078,1.7791,60.0,0.0297,0.0
38,583680,train,2026-04-17 09:48:00,0.0039,1.8424,60.0,0.0307,0.0
39,599040,train,2026-04-17 09:48:19,0.0078,1.9933,60.0,0.0332,0.0
40,614400,train,2026-04-17 09:48:37,0.0078,1.8897,60.0,0.0315,0.0
41,629760,train,2026-04-17 09:48:56,0.0,2.0498,60.0,0.0342,0.0
42,645120,train,2026-04-17 09:49:14,0.0078,2.1324,60.0,0.0355,0.0
43,660480,train,2026-04-17 09:49:33,0.0039,1.9865,60.0,0.0331,0.0
44,675840,train,2026-04-17 09:49:51,0.0,1.9151,60.0,0.0319,0.0
45,691200,train,2026-04-17 09:50:10,0.0039,2.0036,60.0,0.0334,0.0
46,706560,train,2026-04-17 09:50:28,0.0,2.1299,60.0,0.0355,0.0
47,721920,train,2026-04-17 09:50:47,0.0,1.73,60.0,0.0288,0.0
48,737280,train,2026-04-17 09:51:05,0.0,2.0937,60.0,0.0349,0.0
49,737280,eval,2026-04-17 09:52:49,0.1302,5.1091,60.0,0.0852,0.0104
49,752640,train,2026-04-17 09:53:06,0.0,1.7517,60.0,0.0292,0.0
50,768000,train,2026-04-17 09:53:25,0.0039,1.8992,60.0,0.0317,0.0
51,783360,train,2026-04-17 09:53:43,0.0039,1.9309,60.0,0.0322,0.0
52,798720,train,2026-04-17 09:54:01,0.0,2.1011,60.0,0.035,0.0
53,814080,train,2026-04-17 09:54:20,0.0039,2.0258,60.0,0.0338,0.0
54,829440,train,2026-04-17 09:54:38,0.0,2.1506,60.0,0.0358,0.0
55,844800,train,2026-04-17 09:54:57,0.0,2.0282,60.0,0.0338,0.0
56,860160,train,2026-04-17 09:55:15,0.0039,2.0867,60.0,0.0348,0.0
57,875520,train,2026-04-17 09:55:34,0.0,2.0502,60.0,0.0342,0.0
58,890880,train,2026-04-17 09:55:52,0.0,1.8319,60.0,0.0305,0.0
59,906240,train,2026-04-17 09:56:10,0.0,1.9905,60.0,0.0332,0.0
60,921600,train,2026-04-17 09:56:29,0.0039,1.8433,60.0,0.0307,0.0
61,936960,train,2026-04-17 09:56:47,0.0,1.7701,60.0,0.0295,0.0
62,952320,train,2026-04-17 09:57:05,0.0039,1.8978,60.0,0.0316,0.0
63,967680,train,2026-04-17 09:57:24,0.0,1.7053,60.0,0.0284,0.0
