iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-16 02:20:55,0.0,9.9872,60.0,0.1665,0.0
1,15360,train,2026-04-16 02:21:13,0.0,0.0718,60.0,0.0012,0.0
2,30720,train,2026-04-16 02:21:39,0.0,0.1131,60.0,0.0019,0.0
3,46080,train,2026-04-16 02:21:56,0.0,0.1903,60.0,0.0032,0.0
4,61440,train,2026-04-16 02:22:14,0.0,0.2828,60.0,0.0047,0.0
5,76800,train,2026-04-16 02:22:32,0.0,0.4409,60.0,0.0073,0.0
6,92160,train,2026-04-16 02:22:50,0.0,0.5336,60.0,0.0089,0.0
7,107520,train,2026-04-16 02:23:07,0.0,0.5738,60.0,0.0096,0.0
8,122880,train,2026-04-16 02:23:25,0.0,0.7951,60.0,0.0133,0.0
9,138240,train,2026-04-16 02:23:43,0.0,0.8218,60.0,0.0137,0.0
10,153600,train,2026-04-16 02:24:01,0.0,0.8907,60.0,0.0148,0.0
11,168960,train,2026-04-16 02:24:19,0.0,1.0605,60.0,0.0177,0.0
12,184320,train,2026-04-16 02:24:37,0.0,1.0911,60.0,0.0182,0.0
13,199680,train,2026-04-16 02:24:55,0.0039,1.4408,60.0,0.024,0.0
14,215040,train,2026-04-16 02:25:13,0.0,1.2638,60.0,0.0211,0.0
15,230400,train,2026-04-16 02:25:31,0.0078,1.4951,60.0,0.0249,0.0
16,245760,train,2026-04-16 02:25:49,0.0,1.4449,60.0,0.0241,0.0
17,261120,train,2026-04-16 02:26:07,0.0039,1.3901,60.0,0.0232,0.0
18,276480,train,2026-04-16 02:26:26,0.0,1.5339,60.0,0.0256,0.0
19,291840,train,2026-04-16 02:26:44,0.0,1.4565,60.0,0.0243,0.0
20,307200,train,2026-04-16 02:27:02,0.0,1.4805,60.0,0.0247,0.0
21,322560,train,2026-04-16 02:27:20,0.0,1.4077,60.0,0.0235,0.0
22,337920,train,2026-04-16 02:27:38,0.0,1.385,60.0,0.0231,0.0
23,353280,train,2026-04-16 02:27:56,0.0039,1.5533,60.0,0.0259,0.0
24,368640,train,2026-04-16 02:28:14,0.0039,1.5593,60.0,0.026,0.0
25,384000,train,2026-04-16 02:28:33,0.0,1.5343,60.0,0.0256,0.0
26,399360,train,2026-04-16 02:28:51,0.0,1.6476,60.0,0.0275,0.0
27,414720,train,2026-04-16 02:29:09,0.0,1.6553,60.0,0.0276,0.0
28,430080,train,2026-04-16 02:29:27,0.0,1.6683,60.0,0.0278,0.0
29,445440,train,2026-04-16 02:29:45,0.0,1.5292,60.0,0.0255,0.0
30,460800,train,2026-04-16 02:30:04,0.0,1.6205,60.0,0.027,0.0
31,476160,train,2026-04-16 02:30:22,0.0,1.5549,60.0,0.0259,0.0
