iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-09 18:55:27,0.0,9.9802,60.0,0.1663,0.0
1,15360,train,2026-05-09 18:55:43,0.0,0.0857,60.0,0.0014,0.0
2,30720,train,2026-05-09 18:56:06,0.0,0.1549,60.0,0.0026,0.0
3,46080,train,2026-05-09 18:56:24,0.0,0.3277,60.0,0.0055,0.0
4,61440,train,2026-05-09 18:56:42,0.0,0.3309,60.0,0.0055,0.0
5,76800,train,2026-05-09 18:57:00,0.0,0.438,60.0,0.0073,0.0
6,92160,train,2026-05-09 18:57:18,0.0,0.5249,60.0,0.0087,0.0
7,107520,train,2026-05-09 18:57:36,0.0,0.5687,60.0,0.0095,0.0
8,122880,train,2026-05-09 18:57:54,0.0,0.6565,60.0,0.0109,0.0
9,138240,train,2026-05-09 18:58:13,0.0,0.7885,60.0,0.0131,0.0
10,153600,train,2026-05-09 18:58:35,0.0039,1.0393,60.0,0.0173,0.0
11,168960,train,2026-05-09 18:58:53,0.0,1.0028,60.0,0.0167,0.0
12,184320,train,2026-05-09 18:59:12,0.0,1.1778,60.0,0.0196,0.0
13,199680,train,2026-05-09 18:59:30,0.0,1.1498,60.0,0.0192,0.0
14,215040,train,2026-05-09 18:59:49,0.0039,1.0938,60.0,0.0182,0.0
15,230400,train,2026-05-09 19:00:07,0.0,1.3101,60.0,0.0218,0.0
16,245760,train,2026-05-09 19:00:26,0.0,1.3928,60.0,0.0232,0.0
17,261120,train,2026-05-09 19:00:44,0.0,1.3916,60.0,0.0232,0.0
18,276480,train,2026-05-09 19:01:03,0.0,1.3214,60.0,0.022,0.0
19,291840,train,2026-05-09 19:01:21,0.0,1.4788,60.0,0.0246,0.0
20,307200,train,2026-05-09 19:01:40,0.0,1.4507,60.0,0.0242,0.0
21,322560,train,2026-05-09 19:01:58,0.0,1.4186,60.0,0.0236,0.0
22,337920,train,2026-05-09 19:02:17,0.0039,1.4658,60.0,0.0244,0.0039
23,353280,train,2026-05-09 19:02:35,0.0078,1.6171,60.0,0.027,0.0
24,368640,train,2026-05-09 19:02:54,0.0039,1.637,60.0,0.0273,0.0
25,384000,train,2026-05-09 19:03:13,0.0039,1.4546,60.0,0.0242,0.0
26,399360,train,2026-05-09 19:03:31,0.0,1.7504,60.0,0.0292,0.0
27,414720,train,2026-05-09 19:03:50,0.0,1.6663,60.0,0.0278,0.0
28,430080,train,2026-05-09 19:04:08,0.0078,1.6083,60.0,0.0268,0.0
29,445440,train,2026-05-09 19:04:27,0.0039,1.6662,60.0,0.0278,0.0
30,460800,train,2026-05-09 19:04:46,0.0039,1.64,60.0,0.0273,0.0
31,476160,train,2026-05-09 19:05:04,0.0039,1.6245,60.0,0.0271,0.0
32,491520,train,2026-05-09 19:05:23,0.0,1.7206,60.0,0.0287,0.0
