iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-09 21:55:02,0.0,9.8156,60.0,0.1636,0.0
1,15360,train,2026-05-09 21:55:18,0.0,0.0849,60.0,0.0014,0.0
2,30720,train,2026-05-09 21:55:36,0.0,0.1004,60.0,0.0017,0.0
3,46080,train,2026-05-09 21:55:53,0.0,0.0886,60.0,0.0015,0.0
4,61440,train,2026-05-09 21:56:10,0.0,0.1595,60.0,0.0027,0.0
5,76800,train,2026-05-09 21:56:28,0.0,0.2106,60.0,0.0035,0.0
6,92160,train,2026-05-09 21:56:45,0.0,0.2412,60.0,0.004,0.0
7,107520,train,2026-05-09 21:57:03,0.0,0.3613,60.0,0.006,0.0
8,122880,train,2026-05-09 21:57:20,0.0,0.4602,60.0,0.0077,0.0
9,138240,train,2026-05-09 21:57:38,0.0,0.5484,60.0,0.0091,0.0
10,153600,train,2026-05-09 21:57:55,0.0,0.9573,60.0,0.016,0.0
11,168960,train,2026-05-09 21:58:13,0.0,0.9103,60.0,0.0152,0.0
12,184320,train,2026-05-09 21:58:31,0.0039,1.097,60.0,0.0183,0.0
13,199680,train,2026-05-09 21:58:49,0.0,1.1815,60.0,0.0197,0.0
14,215040,train,2026-05-09 21:59:07,0.0,1.4431,60.0,0.0241,0.0
15,230400,train,2026-05-09 21:59:24,0.0,1.475,60.0,0.0246,0.0
16,245760,train,2026-05-09 21:59:42,0.0,1.6078,60.0,0.0268,0.0
17,261120,train,2026-05-09 22:00:00,0.0039,1.6219,60.0,0.027,0.0
18,276480,train,2026-05-09 22:00:18,0.0117,1.8374,60.0,0.0306,0.0
19,291840,train,2026-05-09 22:00:36,0.0,1.5776,60.0,0.0263,0.0
20,307200,train,2026-05-09 22:00:54,0.0039,1.8667,60.0,0.0311,0.0
21,322560,train,2026-05-09 22:01:12,0.0,1.7783,60.0,0.0296,0.0
22,337920,train,2026-05-09 22:01:30,0.0,1.7965,60.0,0.0299,0.0
23,353280,train,2026-05-09 22:01:48,0.0,1.6448,60.0,0.0274,0.0
24,368640,train,2026-05-09 22:02:06,0.0,1.874,60.0,0.0312,0.0
25,384000,train,2026-05-09 22:02:24,0.0078,1.9621,60.0,0.0327,0.0
26,399360,train,2026-05-09 22:02:41,0.0,1.9076,60.0,0.0318,0.0
27,414720,train,2026-05-09 22:02:59,0.0,1.6904,60.0,0.0282,0.0
28,430080,train,2026-05-09 22:03:17,0.0078,1.8996,60.0,0.0317,0.0
29,445440,train,2026-05-09 22:03:35,0.0039,1.7688,60.0,0.0295,0.0
30,460800,train,2026-05-09 22:03:53,0.0039,1.7452,60.0,0.0291,0.0
31,476160,train,2026-05-09 22:04:11,0.0039,1.7119,60.0,0.0285,0.0
32,491520,train,2026-05-09 22:04:29,0.0,1.5846,60.0,0.0264,0.0
33,506880,train,2026-05-09 22:04:46,0.0,1.5342,60.0,0.0256,0.0
34,522240,train,2026-05-09 22:05:04,0.0,1.735,60.0,0.0289,0.0
35,537600,train,2026-05-09 22:05:22,0.0039,1.8146,60.0,0.0302,0.0
36,552960,train,2026-05-09 22:05:40,0.0039,1.8467,60.0,0.0308,0.0
37,568320,train,2026-05-09 22:05:58,0.0,1.613,60.0,0.0269,0.0
38,583680,train,2026-05-09 22:06:16,0.0039,1.7714,60.0,0.0295,0.0039
39,599040,train,2026-05-09 22:06:34,0.0,1.9372,60.0,0.0323,0.0
40,614400,train,2026-05-09 22:06:52,0.0,1.9823,60.0,0.033,0.0
41,629760,train,2026-05-09 22:07:09,0.0,1.6884,60.0,0.0281,0.0
42,645120,train,2026-05-09 22:07:27,0.0039,1.872,60.0,0.0312,0.0
43,660480,train,2026-05-09 22:07:45,0.0039,1.6761,60.0,0.0279,0.0
44,675840,train,2026-05-09 22:08:03,0.0039,1.8409,60.0,0.0307,0.0
45,691200,train,2026-05-09 22:08:21,0.0039,1.8838,60.0,0.0314,0.0
46,706560,train,2026-05-09 22:08:39,0.0,1.8192,60.0,0.0303,0.0
47,721920,train,2026-05-09 22:08:57,0.0,1.8926,60.0,0.0315,0.0
48,737280,train,2026-05-09 22:09:15,0.0039,2.1637,60.0,0.0361,0.0
49,737280,eval,2026-05-09 22:11:00,0.1094,5.0575,60.0,0.0843,0.0573
49,752640,train,2026-05-09 22:11:16,0.0,2.0264,60.0,0.0338,0.0
50,768000,train,2026-05-09 22:11:34,0.0078,1.9869,60.0,0.0331,0.0
51,783360,train,2026-05-09 22:11:52,0.0,2.2889,60.0,0.0381,0.0
52,798720,train,2026-05-09 22:12:10,0.0039,2.0664,60.0,0.0344,0.0
53,814080,train,2026-05-09 22:12:28,0.0,2.0756,60.0,0.0346,0.0
54,829440,train,2026-05-09 22:12:46,0.0039,2.1001,60.0,0.035,0.0
55,844800,train,2026-05-09 22:13:04,0.0039,1.8068,60.0,0.0301,0.0
56,860160,train,2026-05-09 22:13:22,0.0,1.9951,60.0,0.0333,0.0
57,875520,train,2026-05-09 22:13:40,0.0,1.9328,60.0,0.0322,0.0
58,890880,train,2026-05-09 22:13:58,0.0039,1.9266,60.0,0.0321,0.0
59,906240,train,2026-05-09 22:14:16,0.0039,1.8712,60.0,0.0312,0.0
60,921600,train,2026-05-09 22:14:34,0.0039,1.9949,60.0,0.0332,0.0039
61,936960,train,2026-05-09 22:14:52,0.0039,2.1474,60.0,0.0358,0.0
62,952320,train,2026-05-09 22:15:10,0.0039,2.1087,60.0,0.0351,0.0
63,967680,train,2026-05-09 22:15:28,0.0,1.8484,60.0,0.0308,0.0
64,983040,train,2026-05-09 22:15:47,0.0039,2.2021,60.0,0.0367,0.0
65,998400,train,2026-05-09 22:16:05,0.0,1.8889,60.0,0.0315,0.0
66,1013760,train,2026-05-09 22:16:23,0.0039,1.8959,60.0,0.0316,0.0
67,1029120,train,2026-05-09 22:16:41,0.0078,2.0796,60.0,0.0347,0.0039
68,1044480,train,2026-05-09 22:16:59,0.0,2.133,60.0,0.0355,0.0
69,1059840,train,2026-05-09 22:17:17,0.0039,1.7213,60.0,0.0287,0.0
70,1075200,train,2026-05-09 22:17:35,0.0,1.961,60.0,0.0327,0.0
71,1090560,train,2026-05-09 22:17:53,0.0,2.0943,60.0,0.0349,0.0
72,1105920,train,2026-05-09 22:18:11,0.0039,2.1167,60.0,0.0353,0.0
73,1121280,train,2026-05-09 22:18:29,0.0039,2.1561,60.0,0.0359,0.0
74,1136640,train,2026-05-09 22:18:47,0.0039,2.0789,60.0,0.0346,0.0
75,1152000,train,2026-05-09 22:19:05,0.0,2.0565,60.0,0.0343,0.0
76,1167360,train,2026-05-09 22:19:23,0.0,2.1359,60.0,0.0356,0.0
77,1182720,train,2026-05-09 22:19:41,0.0,1.9137,60.0,0.0319,0.0
78,1198080,train,2026-05-09 22:19:59,0.0,1.9385,60.0,0.0323,0.0
79,1213440,train,2026-05-09 22:20:17,0.0,1.8113,60.0,0.0302,0.0
80,1228800,train,2026-05-09 22:20:35,0.0039,2.1809,60.0,0.0363,0.0
81,1244160,train,2026-05-09 22:20:53,0.0,1.8913,60.0,0.0315,0.0
82,1259520,train,2026-05-09 22:21:11,0.0,2.066,60.0,0.0344,0.0
83,1274880,train,2026-05-09 22:21:29,0.0039,2.0234,60.0,0.0337,0.0
84,1290240,train,2026-05-09 22:21:47,0.0039,2.1196,60.0,0.0353,0.0
85,1305600,train,2026-05-09 22:22:05,0.0039,2.0183,60.0,0.0336,0.0
86,1320960,train,2026-05-09 22:22:23,0.0039,2.1893,60.0,0.0365,0.0039
87,1336320,train,2026-05-09 22:22:41,0.0,1.9333,60.0,0.0322,0.0
88,1351680,train,2026-05-09 22:22:59,0.0,2.0277,60.0,0.0338,0.0
89,1367040,train,2026-05-09 22:23:17,0.0,1.9628,60.0,0.0327,0.0
90,1382400,train,2026-05-09 22:23:35,0.0039,2.2458,60.0,0.0374,0.0
91,1397760,train,2026-05-09 22:23:53,0.0,2.1073,60.0,0.0351,0.0
92,1413120,train,2026-05-09 22:24:11,0.0,1.9857,60.0,0.0331,0.0
93,1428480,train,2026-05-09 22:24:29,0.0,2.0978,60.0,0.035,0.0
94,1443840,train,2026-05-09 22:24:47,0.0,1.9453,60.0,0.0324,0.0
95,1459200,train,2026-05-09 22:25:06,0.0039,2.2097,60.0,0.0368,0.0
96,1474560,train,2026-05-09 22:25:24,0.0039,2.1565,60.0,0.0359,0.0
97,1474560,eval,2026-05-09 22:27:07,0.0417,2.9101,60.0,0.0485,0.0
97,1489920,train,2026-05-09 22:27:24,0.0,2.219,60.0,0.037,0.0
98,1505280,train,2026-05-09 22:27:42,0.0039,2.1095,60.0,0.0352,0.0
99,1520640,train,2026-05-09 22:28:00,0.0039,2.2615,60.0,0.0377,0.0
100,1536000,train,2026-05-09 22:28:18,0.0,2.1399,60.0,0.0357,0.0
101,1551360,train,2026-05-09 22:28:36,0.0,2.085,60.0,0.0348,0.0
102,1566720,train,2026-05-09 22:28:54,0.0,2.1182,60.0,0.0353,0.0
103,1582080,train,2026-05-09 22:29:12,0.0039,2.0131,60.0,0.0336,0.0
104,1597440,train,2026-05-09 22:29:30,0.0,2.1338,60.0,0.0356,0.0
105,1612800,train,2026-05-09 22:29:48,0.0,2.2342,60.0,0.0372,0.0
106,1628160,train,2026-05-09 22:30:06,0.0,2.0111,60.0,0.0335,0.0
107,1643520,train,2026-05-09 22:30:24,0.0,2.1961,60.0,0.0366,0.0
108,1658880,train,2026-05-09 22:30:42,0.0,2.1897,60.0,0.0365,0.0
109,1674240,train,2026-05-09 22:31:00,0.0,2.1892,60.0,0.0365,0.0
110,1689600,train,2026-05-09 22:31:18,0.0,1.8861,60.0,0.0314,0.0
111,1704960,train,2026-05-09 22:31:36,0.0,2.2447,60.0,0.0374,0.0
112,1720320,train,2026-05-09 22:31:54,0.0,2.0823,60.0,0.0347,0.0
113,1735680,train,2026-05-09 22:32:12,0.0,2.2298,60.0,0.0372,0.0
114,1751040,train,2026-05-09 22:32:30,0.0,2.1354,60.0,0.0356,0.0
115,1766400,train,2026-05-09 22:32:48,0.0,2.1887,60.0,0.0365,0.0
116,1781760,train,2026-05-09 22:33:06,0.0,2.1651,60.0,0.0361,0.0
117,1797120,train,2026-05-09 22:33:24,0.0,2.2939,60.0,0.0382,0.0
118,1812480,train,2026-05-09 22:33:42,0.0,2.1206,60.0,0.0353,0.0
119,1827840,train,2026-05-09 22:34:00,0.0,2.2565,60.0,0.0376,0.0
120,1843200,train,2026-05-09 22:34:19,0.0,2.2842,60.0,0.0381,0.0
121,1858560,train,2026-05-09 22:34:37,0.0,2.2181,60.0,0.037,0.0
122,1873920,train,2026-05-09 22:34:55,0.0,2.279,60.0,0.038,0.0
123,1889280,train,2026-05-09 22:35:13,0.0,2.2154,60.0,0.0369,0.0
124,1904640,train,2026-05-09 22:35:31,0.0,2.013,60.0,0.0336,0.0
125,1920000,train,2026-05-09 22:35:49,0.0,2.2648,60.0,0.0377,0.0
126,1935360,train,2026-05-09 22:36:07,0.0,2.1185,60.0,0.0353,0.0
127,1950720,train,2026-05-09 22:36:25,0.0,2.362,60.0,0.0394,0.0
128,1966080,train,2026-05-09 22:36:43,0.0039,2.2069,60.0,0.0368,0.0039
129,1981440,train,2026-05-09 22:37:01,0.0039,2.2867,60.0,0.0381,0.0
130,1996800,train,2026-05-09 22:37:19,0.0,2.3156,60.0,0.0386,0.0
131,2012160,train,2026-05-09 22:37:38,0.0,2.1807,60.0,0.0363,0.0
132,2027520,train,2026-05-09 22:37:56,0.0,1.9256,60.0,0.0321,0.0
133,2042880,train,2026-05-09 22:38:14,0.0,2.1845,60.0,0.0364,0.0
134,2058240,train,2026-05-09 22:38:32,0.0,2.2975,60.0,0.0383,0.0
135,2073600,train,2026-05-09 22:38:50,0.0,2.3597,60.0,0.0393,0.0
136,2088960,train,2026-05-09 22:39:08,0.0,2.21,60.0,0.0368,0.0
137,2104320,train,2026-05-09 22:39:26,0.0,2.2156,60.0,0.0369,0.0
138,2119680,train,2026-05-09 22:39:45,0.0,1.9464,60.0,0.0324,0.0
139,2135040,train,2026-05-09 22:40:03,0.0,2.2318,60.0,0.0372,0.0
140,2150400,train,2026-05-09 22:40:21,0.0,2.3237,60.0,0.0387,0.0
141,2165760,train,2026-05-09 22:40:39,0.0,1.9779,60.0,0.033,0.0
142,2181120,train,2026-05-09 22:40:57,0.0,2.2676,60.0,0.0378,0.0
143,2196480,train,2026-05-09 22:41:15,0.0,2.2406,60.0,0.0373,0.0
144,2211840,train,2026-05-09 22:41:33,0.0,2.2239,60.0,0.0371,0.0
145,2211840,eval,2026-05-09 22:43:18,0.0052,2.3618,60.0,0.0394,0.0
145,2227200,train,2026-05-09 22:43:35,0.0,2.4182,60.0,0.0403,0.0
146,2242560,train,2026-05-09 22:43:53,0.0,2.2401,60.0,0.0373,0.0
147,2257920,train,2026-05-09 22:44:11,0.0078,2.051,60.0,0.0342,0.0078
148,2273280,train,2026-05-09 22:44:29,0.0,2.1962,60.0,0.0366,0.0
149,2288640,train,2026-05-09 22:44:47,0.0039,2.0896,60.0,0.0348,0.0
150,2304000,train,2026-05-09 22:45:05,0.0,2.4562,60.0,0.0409,0.0
151,2319360,train,2026-05-09 22:45:23,0.0039,2.0514,60.0,0.0342,0.0
152,2334720,train,2026-05-09 22:45:41,0.0,2.2006,60.0,0.0367,0.0
153,2350080,train,2026-05-09 22:45:59,0.0,2.3711,60.0,0.0395,0.0
154,2365440,train,2026-05-09 22:46:17,0.0,2.1184,60.0,0.0353,0.0
155,2380800,train,2026-05-09 22:46:35,0.0,1.9481,60.0,0.0325,0.0
156,2396160,train,2026-05-09 22:46:53,0.0,2.2697,60.0,0.0378,0.0
157,2411520,train,2026-05-09 22:47:11,0.0,2.3457,60.0,0.0391,0.0
158,2426880,train,2026-05-09 22:47:29,0.0,2.1854,60.0,0.0364,0.0
159,2442240,train,2026-05-09 22:47:47,0.0,2.1107,60.0,0.0352,0.0
160,2457600,train,2026-05-09 22:48:05,0.0,2.2669,60.0,0.0378,0.0
161,2472960,train,2026-05-09 22:48:23,0.0,2.207,60.0,0.0368,0.0
162,2488320,train,2026-05-09 22:48:41,0.0,2.0966,60.0,0.0349,0.0
163,2503680,train,2026-05-09 22:48:59,0.0,2.1279,60.0,0.0355,0.0
164,2519040,train,2026-05-09 22:49:17,0.0,2.2451,60.0,0.0374,0.0
165,2534400,train,2026-05-09 22:49:35,0.0,2.3563,60.0,0.0393,0.0
166,2549760,train,2026-05-09 22:49:53,0.0,2.2647,60.0,0.0377,0.0
167,2565120,train,2026-05-09 22:50:12,0.0,2.3355,60.0,0.0389,0.0
168,2580480,train,2026-05-09 22:50:30,0.0,2.2842,60.0,0.0381,0.0
169,2595840,train,2026-05-09 22:50:48,0.0,2.3076,60.0,0.0385,0.0
170,2611200,train,2026-05-09 22:51:06,0.0,2.1529,60.0,0.0359,0.0
171,2626560,train,2026-05-09 22:51:24,0.0,2.2774,60.0,0.038,0.0
172,2641920,train,2026-05-09 22:51:42,0.0039,2.1844,60.0,0.0364,0.0
173,2657280,train,2026-05-09 22:52:00,0.0039,2.3948,60.0,0.0399,0.0039
174,2672640,train,2026-05-09 22:52:18,0.0039,2.3283,60.0,0.0388,0.0
175,2688000,train,2026-05-09 22:52:36,0.0,2.3236,60.0,0.0387,0.0
176,2703360,train,2026-05-09 22:52:54,0.0,2.158,60.0,0.036,0.0
177,2718720,train,2026-05-09 22:53:12,0.0,2.213,60.0,0.0369,0.0
178,2734080,train,2026-05-09 22:53:30,0.0,2.0907,60.0,0.0348,0.0
179,2749440,train,2026-05-09 22:53:48,0.0,2.0529,60.0,0.0342,0.0
180,2764800,train,2026-05-09 22:54:06,0.0039,2.368,60.0,0.0395,0.0
181,2780160,train,2026-05-09 22:54:25,0.0039,2.3349,60.0,0.0389,0.0
182,2795520,train,2026-05-09 22:54:43,0.0,2.2441,60.0,0.0374,0.0
183,2810880,train,2026-05-09 22:55:01,0.0,2.2427,60.0,0.0374,0.0
184,2826240,train,2026-05-09 22:55:19,0.0,2.426,60.0,0.0404,0.0
185,2841600,train,2026-05-09 22:55:37,0.0039,2.1487,60.0,0.0358,0.0
186,2856960,train,2026-05-09 22:55:55,0.0,2.0075,60.0,0.0335,0.0
187,2872320,train,2026-05-09 22:56:13,0.0,1.9336,60.0,0.0322,0.0
188,2887680,train,2026-05-09 22:56:31,0.0,2.0049,60.0,0.0334,0.0
189,2903040,train,2026-05-09 22:56:49,0.0,2.25,60.0,0.0375,0.0
190,2918400,train,2026-05-09 22:57:07,0.0,2.217,60.0,0.0369,0.0
191,2933760,train,2026-05-09 22:57:25,0.0,2.106,60.0,0.0351,0.0
192,2949120,train,2026-05-09 22:57:43,0.0,2.0489,60.0,0.0341,0.0
193,2949120,eval,2026-05-09 22:59:30,0.0052,2.1116,60.0,0.0352,0.0052
193,2964480,train,2026-05-09 22:59:46,0.0039,2.1756,60.0,0.0363,0.0039
194,2979840,train,2026-05-09 23:00:04,0.0,2.1571,60.0,0.036,0.0
195,2995200,train,2026-05-09 23:00:22,0.0,2.4754,60.0,0.0413,0.0
196,3010560,train,2026-05-09 23:00:40,0.0,2.0252,60.0,0.0338,0.0
197,3025920,train,2026-05-09 23:00:58,0.0,2.2768,60.0,0.0379,0.0
198,3041280,train,2026-05-09 23:01:16,0.0,2.3676,60.0,0.0395,0.0
199,3056640,train,2026-05-09 23:01:35,0.0,2.0482,60.0,0.0341,0.0
200,3072000,train,2026-05-09 23:01:53,0.0,2.2508,60.0,0.0375,0.0
201,3087360,train,2026-05-09 23:02:11,0.0039,2.1717,60.0,0.0362,0.0
202,3102720,train,2026-05-09 23:02:29,0.0,2.4094,60.0,0.0402,0.0
203,3118080,train,2026-05-09 23:02:47,0.0,2.267,60.0,0.0378,0.0
204,3133440,train,2026-05-09 23:03:05,0.0078,2.4907,60.0,0.0415,0.0039
205,3148800,train,2026-05-09 23:03:23,0.0,2.2462,60.0,0.0374,0.0
206,3164160,train,2026-05-09 23:03:41,0.0,2.2038,60.0,0.0367,0.0
207,3179520,train,2026-05-09 23:03:59,0.0039,2.4036,60.0,0.0401,0.0
208,3194880,train,2026-05-09 23:04:17,0.0,2.2056,60.0,0.0368,0.0
209,3210240,train,2026-05-09 23:04:35,0.0,1.9685,60.0,0.0328,0.0
210,3225600,train,2026-05-09 23:04:54,0.0,2.3616,60.0,0.0394,0.0
211,3240960,train,2026-05-09 23:05:12,0.0,2.3145,60.0,0.0386,0.0
212,3256320,train,2026-05-09 23:05:30,0.0,2.4157,60.0,0.0403,0.0
213,3271680,train,2026-05-09 23:05:48,0.0039,2.312,60.0,0.0385,0.0
214,3287040,train,2026-05-09 23:06:06,0.0,2.3893,60.0,0.0398,0.0
215,3302400,train,2026-05-09 23:06:24,0.0,2.1364,60.0,0.0356,0.0
216,3317760,train,2026-05-09 23:06:42,0.0,2.051,60.0,0.0342,0.0
217,3333120,train,2026-05-09 23:07:00,0.0,2.2028,60.0,0.0367,0.0
218,3348480,train,2026-05-09 23:07:18,0.0,2.2551,60.0,0.0376,0.0
219,3363840,train,2026-05-09 23:07:37,0.0,2.2271,60.0,0.0371,0.0
220,3379200,train,2026-05-09 23:07:55,0.0039,2.207,60.0,0.0368,0.0
221,3394560,train,2026-05-09 23:08:13,0.0039,2.5062,60.0,0.0418,0.0
222,3409920,train,2026-05-09 23:08:31,0.0039,2.1806,60.0,0.0363,0.0
223,3425280,train,2026-05-09 23:08:49,0.0,2.2109,60.0,0.0368,0.0
224,3440640,train,2026-05-09 23:09:07,0.0,2.1824,60.0,0.0364,0.0
225,3456000,train,2026-05-09 23:09:25,0.0,2.3718,60.0,0.0395,0.0
226,3471360,train,2026-05-09 23:09:43,0.0,2.4364,60.0,0.0406,0.0
227,3486720,train,2026-05-09 23:10:01,0.0,2.2163,60.0,0.0369,0.0
228,3502080,train,2026-05-09 23:10:19,0.0,2.2056,60.0,0.0368,0.0
229,3517440,train,2026-05-09 23:10:37,0.0039,2.0476,60.0,0.0341,0.0
230,3532800,train,2026-05-09 23:10:55,0.0,2.207,60.0,0.0368,0.0
231,3548160,train,2026-05-09 23:11:14,0.0,2.3365,60.0,0.0389,0.0
232,3563520,train,2026-05-09 23:11:32,0.0,2.1435,60.0,0.0357,0.0
233,3578880,train,2026-05-09 23:11:50,0.0039,1.9581,60.0,0.0326,0.0
234,3594240,train,2026-05-09 23:12:08,0.0,2.0633,60.0,0.0344,0.0
235,3609600,train,2026-05-09 23:12:26,0.0,2.2215,60.0,0.037,0.0
236,3624960,train,2026-05-09 23:12:45,0.0,2.4132,60.0,0.0402,0.0
237,3640320,train,2026-05-09 23:13:03,0.0,2.3583,60.0,0.0393,0.0
238,3655680,train,2026-05-09 23:13:21,0.0,2.1455,60.0,0.0358,0.0
239,3671040,train,2026-05-09 23:13:39,0.0,1.9166,60.0,0.0319,0.0
240,3686400,train,2026-05-09 23:13:57,0.0,2.3475,60.0,0.0391,0.0
241,3686400,eval,2026-05-09 23:15:44,0.0,2.4891,60.0,0.0415,0.0
241,3701760,train,2026-05-09 23:16:01,0.0,2.018,60.0,0.0336,0.0
242,3717120,train,2026-05-09 23:16:19,0.0,2.0233,60.0,0.0337,0.0
243,3732480,train,2026-05-09 23:16:37,0.0039,2.2354,60.0,0.0373,0.0
244,3747840,train,2026-05-09 23:16:55,0.0,2.0978,60.0,0.035,0.0
245,3763200,train,2026-05-09 23:17:13,0.0,2.1575,60.0,0.036,0.0
246,3778560,train,2026-05-09 23:17:31,0.0,2.1707,60.0,0.0362,0.0
247,3793920,train,2026-05-09 23:17:49,0.0,2.3268,60.0,0.0388,0.0
248,3809280,train,2026-05-09 23:18:07,0.0,2.329,60.0,0.0388,0.0
249,3824640,train,2026-05-09 23:18:25,0.0,2.2627,60.0,0.0377,0.0
250,3840000,train,2026-05-09 23:18:44,0.0,2.2433,60.0,0.0374,0.0
251,3855360,train,2026-05-09 23:19:02,0.0,2.2183,60.0,0.037,0.0
252,3870720,train,2026-05-09 23:19:20,0.0039,2.199,60.0,0.0366,0.0
253,3886080,train,2026-05-09 23:19:38,0.0,2.1507,60.0,0.0358,0.0
254,3901440,train,2026-05-09 23:19:56,0.0,2.4108,60.0,0.0402,0.0
255,3916800,train,2026-05-09 23:20:15,0.0,2.2456,60.0,0.0374,0.0
256,3932160,train,2026-05-09 23:20:33,0.0,2.3743,60.0,0.0396,0.0
257,3947520,train,2026-05-09 23:20:51,0.0,2.2219,60.0,0.037,0.0
258,3962880,train,2026-05-09 23:21:09,0.0,1.996,60.0,0.0333,0.0
259,3978240,train,2026-05-09 23:21:27,0.0,2.1301,60.0,0.0355,0.0
260,3993600,train,2026-05-09 23:21:45,0.0,2.3868,60.0,0.0398,0.0
261,4008960,train,2026-05-09 23:22:04,0.0,2.3761,60.0,0.0396,0.0
262,4024320,train,2026-05-09 23:22:22,0.0039,2.2476,60.0,0.0375,0.0
263,4039680,train,2026-05-09 23:22:40,0.0,2.3316,60.0,0.0389,0.0
264,4055040,train,2026-05-09 23:22:58,0.0,2.3646,60.0,0.0394,0.0
265,4070400,train,2026-05-09 23:23:16,0.0,2.2788,60.0,0.038,0.0
266,4085760,train,2026-05-09 23:23:34,0.0,2.1085,60.0,0.0351,0.0
267,4101120,train,2026-05-09 23:23:52,0.0,2.2821,60.0,0.038,0.0
268,4116480,train,2026-05-09 23:24:11,0.0,2.3901,60.0,0.0398,0.0
269,4131840,train,2026-05-09 23:24:29,0.0,2.0927,60.0,0.0349,0.0
270,4147200,train,2026-05-09 23:24:47,0.0,2.3845,60.0,0.0397,0.0
271,4162560,train,2026-05-09 23:25:05,0.0039,2.3016,60.0,0.0384,0.0
272,4177920,train,2026-05-09 23:25:23,0.0,2.4556,60.0,0.0409,0.0
273,4193280,train,2026-05-09 23:25:41,0.0078,2.3346,60.0,0.0389,0.0
274,4208640,train,2026-05-09 23:25:59,0.0,2.2463,60.0,0.0374,0.0
275,4224000,train,2026-05-09 23:26:18,0.0,2.1968,60.0,0.0366,0.0
276,4239360,train,2026-05-09 23:26:36,0.0,2.308,60.0,0.0385,0.0
277,4254720,train,2026-05-09 23:26:54,0.0,2.1226,60.0,0.0354,0.0
278,4270080,train,2026-05-09 23:27:12,0.0,2.3857,60.0,0.0398,0.0
