iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-10 09:05:24,0.0,9.9333,60.0,0.1656,0.0
1,15360,train,2026-05-10 09:05:53,0.0,0.0691,60.0,0.0012,0.0
2,30720,train,2026-05-10 09:06:22,0.0,0.0981,60.0,0.0016,0.0
3,46080,train,2026-05-10 09:06:50,0.0,0.1363,60.0,0.0023,0.0
4,61440,train,2026-05-10 09:07:17,0.0,0.161,60.0,0.0027,0.0
5,76800,train,2026-05-10 09:07:44,0.0,0.2835,60.0,0.0047,0.0
6,92160,train,2026-05-10 09:08:11,0.0,0.277,60.0,0.0046,0.0
7,107520,train,2026-05-10 09:08:38,0.0,0.4571,60.0,0.0076,0.0
8,122880,train,2026-05-10 09:09:03,0.0,0.4994,60.0,0.0083,0.0
9,138240,train,2026-05-10 09:09:29,0.0,0.6905,60.0,0.0115,0.0
10,153600,train,2026-05-10 09:09:54,0.0,0.6057,60.0,0.0101,0.0
11,168960,train,2026-05-10 09:10:18,0.0,0.8266,60.0,0.0138,0.0
12,184320,train,2026-05-10 09:10:42,0.0,0.8255,60.0,0.0138,0.0
13,199680,train,2026-05-10 09:11:07,0.0039,0.9295,60.0,0.0155,0.0
14,215040,train,2026-05-10 09:11:31,0.0,0.9514,60.0,0.0159,0.0
15,230400,train,2026-05-10 09:11:56,0.0,0.8231,60.0,0.0137,0.0
16,245760,train,2026-05-10 09:12:20,0.0,0.842,60.0,0.014,0.0
17,261120,train,2026-05-10 09:12:44,0.0,1.2026,60.0,0.02,0.0
18,276480,train,2026-05-10 09:13:08,0.0,1.0046,60.0,0.0167,0.0
19,291840,train,2026-05-10 09:13:33,0.0,1.1179,60.0,0.0186,0.0
20,307200,train,2026-05-10 09:13:57,0.0,1.0517,60.0,0.0175,0.0
21,322560,train,2026-05-10 09:14:21,0.0,1.2381,60.0,0.0206,0.0
22,337920,train,2026-05-10 09:14:45,0.0,1.1989,60.0,0.02,0.0
