iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-17 13:36:44,0.0,9.9238,60.0,0.1654,0.0
1,15360,train,2026-04-17 13:36:59,0.0,0.0815,60.0,0.0014,0.0
2,30720,train,2026-04-17 13:37:16,0.0,0.0868,60.0,0.0014,0.0
3,46080,train,2026-04-17 13:37:33,0.0,0.1097,60.0,0.0018,0.0
4,61440,train,2026-04-17 13:37:50,0.0,0.2395,60.0,0.004,0.0
5,76800,train,2026-04-17 13:38:07,0.0,0.3866,60.0,0.0064,0.0
6,92160,train,2026-04-17 13:38:25,0.0,0.5962,60.0,0.0099,0.0
7,107520,train,2026-04-17 13:38:42,0.0,0.682,60.0,0.0114,0.0
8,122880,train,2026-04-17 13:38:59,0.0,0.9116,60.0,0.0152,0.0
9,138240,train,2026-04-17 13:39:17,0.0,1.054,60.0,0.0176,0.0
10,153600,train,2026-04-17 13:39:33,0.0,1.1179,60.0,0.0186,0.0
11,168960,train,2026-04-17 13:39:50,0.0,1.2299,60.0,0.0205,0.0
12,184320,train,2026-04-17 13:40:07,0.0,1.2503,60.0,0.0208,0.0
13,199680,train,2026-04-17 13:40:24,0.0039,1.1783,60.0,0.0196,0.0
14,215040,train,2026-04-17 13:40:41,0.0,1.396,60.0,0.0233,0.0
15,230400,train,2026-04-17 13:40:58,0.0039,1.5555,60.0,0.0259,0.0
16,245760,train,2026-04-17 13:41:15,0.0,1.5688,60.0,0.0261,0.0
17,261120,train,2026-04-17 13:41:35,0.0078,1.6663,60.0,0.0278,0.0
18,276480,train,2026-04-17 13:41:52,0.0,1.5892,60.0,0.0265,0.0
19,291840,train,2026-04-17 13:42:09,0.0,1.3875,60.0,0.0231,0.0
20,307200,train,2026-04-17 13:42:27,0.0,1.3022,60.0,0.0217,0.0
21,322560,train,2026-04-17 13:42:44,0.0,1.7276,60.0,0.0288,0.0
22,337920,train,2026-04-17 13:43:01,0.0,1.5015,60.0,0.025,0.0
23,353280,train,2026-04-17 13:43:18,0.0039,1.5292,60.0,0.0255,0.0
24,368640,train,2026-04-17 13:43:35,0.0039,1.5803,60.0,0.0263,0.0
25,384000,train,2026-04-17 13:43:52,0.0078,1.7037,60.0,0.0284,0.0
26,399360,train,2026-04-17 13:44:09,0.0039,1.7176,60.0,0.0286,0.0
27,414720,train,2026-04-17 13:44:26,0.0,1.6644,60.0,0.0277,0.0
28,430080,train,2026-04-17 13:44:43,0.0,1.5837,60.0,0.0264,0.0
29,445440,train,2026-04-17 13:45:00,0.0,1.7083,60.0,0.0285,0.0
30,460800,train,2026-04-17 13:45:18,0.0,1.9032,60.0,0.0317,0.0
31,476160,train,2026-04-17 13:45:34,0.0078,1.9507,60.0,0.0325,0.0
32,491520,train,2026-04-17 13:45:51,0.0039,1.8578,60.0,0.031,0.0
33,506880,train,2026-04-17 13:46:09,0.0039,1.5927,60.0,0.0265,0.0
34,522240,train,2026-04-17 13:46:28,0.0,1.927,60.0,0.0321,0.0
35,537600,train,2026-04-17 13:46:44,0.0,1.832,60.0,0.0305,0.0
36,552960,train,2026-04-17 13:47:01,0.0078,1.8839,60.0,0.0314,0.0
37,568320,train,2026-04-17 13:47:19,0.0,1.7674,60.0,0.0295,0.0
38,583680,train,2026-04-17 13:47:36,0.0039,1.7231,60.0,0.0287,0.0
39,599040,train,2026-04-17 13:47:53,0.0,1.8241,60.0,0.0304,0.0
40,614400,train,2026-04-17 13:48:10,0.0039,1.681,60.0,0.028,0.0
41,629760,train,2026-04-17 13:48:27,0.0,1.7522,60.0,0.0292,0.0
42,645120,train,2026-04-17 13:48:44,0.0039,1.7001,60.0,0.0283,0.0
43,660480,train,2026-04-17 13:49:01,0.0,1.7652,60.0,0.0294,0.0
44,675840,train,2026-04-17 13:49:18,0.0117,1.9993,60.0,0.0333,0.0
45,691200,train,2026-04-17 13:49:35,0.0039,1.893,60.0,0.0316,0.0
46,706560,train,2026-04-17 13:49:51,0.0,1.8498,60.0,0.0308,0.0
47,721920,train,2026-04-17 13:50:09,0.0039,1.6603,60.0,0.0277,0.0
48,737280,train,2026-04-17 13:50:27,0.0,1.7014,60.0,0.0284,0.0
49,737280,eval,2026-04-17 13:51:59,0.0365,2.8408,60.0,0.0473,0.0
49,752640,train,2026-04-17 13:52:19,0.0,1.8806,60.0,0.0313,0.0
50,768000,train,2026-04-17 13:52:46,0.0039,1.9586,60.0,0.0326,0.0
51,783360,train,2026-04-17 13:53:02,0.0039,1.9212,60.0,0.032,0.0
52,798720,train,2026-04-17 13:53:19,0.0039,1.9037,60.0,0.0317,0.0
53,814080,train,2026-04-17 13:53:36,0.0,1.7548,60.0,0.0292,0.0
54,829440,train,2026-04-17 13:53:53,0.0,1.8289,60.0,0.0305,0.0
55,844800,train,2026-04-17 13:54:10,0.0,1.9183,60.0,0.032,0.0
56,860160,train,2026-04-17 13:54:27,0.0,1.9878,60.0,0.0331,0.0
57,875520,train,2026-04-17 13:54:43,0.0039,2.0296,60.0,0.0338,0.0
58,890880,train,2026-04-17 13:55:00,0.0078,2.1787,60.0,0.0363,0.0
59,906240,train,2026-04-17 13:55:17,0.0,1.9857,60.0,0.0331,0.0
60,921600,train,2026-04-17 13:55:34,0.0,1.9861,60.0,0.0331,0.0
61,936960,train,2026-04-17 13:55:51,0.0039,2.0605,60.0,0.0343,0.0
62,952320,train,2026-04-17 13:56:08,0.0,2.0807,60.0,0.0347,0.0
63,967680,train,2026-04-17 13:56:25,0.0,2.1305,60.0,0.0355,0.0
64,983040,train,2026-04-17 13:56:42,0.0117,2.0208,60.0,0.0337,0.0
65,998400,train,2026-04-17 13:56:59,0.0078,1.8543,60.0,0.0309,0.0
66,1013760,train,2026-04-17 13:57:16,0.0,2.0267,60.0,0.0338,0.0
67,1029120,train,2026-04-17 13:57:33,0.0,1.9594,60.0,0.0327,0.0
68,1044480,train,2026-04-17 13:57:53,0.0,1.9624,60.0,0.0327,0.0
69,1059840,train,2026-04-17 13:58:10,0.0,2.0108,60.0,0.0335,0.0
70,1075200,train,2026-04-17 13:58:27,0.0,2.0268,60.0,0.0338,0.0
71,1090560,train,2026-04-17 13:58:44,0.0,1.7546,60.0,0.0292,0.0
72,1105920,train,2026-04-17 13:59:01,0.0,2.2445,60.0,0.0374,0.0
73,1121280,train,2026-04-17 13:59:19,0.0,1.9529,60.0,0.0325,0.0
74,1136640,train,2026-04-17 13:59:36,0.0,1.8411,60.0,0.0307,0.0
75,1152000,train,2026-04-17 13:59:54,0.0,1.7382,60.0,0.029,0.0
76,1167360,train,2026-04-17 14:00:11,0.0,1.5837,60.0,0.0264,0.0
77,1182720,train,2026-04-17 14:00:28,0.0,1.73,60.0,0.0288,0.0
78,1198080,train,2026-04-17 14:00:45,0.0039,1.5053,60.0,0.0251,0.0
79,1213440,train,2026-04-17 14:01:02,0.0,1.4755,60.0,0.0246,0.0
80,1228800,train,2026-04-17 14:01:19,0.0,1.3333,60.0,0.0222,0.0
81,1244160,train,2026-04-17 14:01:36,0.0,1.2726,60.0,0.0212,0.0
82,1259520,train,2026-04-17 14:01:53,0.0,1.1756,60.0,0.0196,0.0
83,1274880,train,2026-04-17 14:02:10,0.0,1.482,60.0,0.0247,0.0
84,1290240,train,2026-04-17 14:02:27,0.0,1.2247,60.0,0.0204,0.0
85,1305600,train,2026-04-17 14:02:44,0.0,1.5106,60.0,0.0252,0.0
86,1320960,train,2026-04-17 14:03:01,0.0,1.2866,60.0,0.0214,0.0
87,1336320,train,2026-04-17 14:03:17,0.0,1.4931,60.0,0.0249,0.0
88,1351680,train,2026-04-17 14:03:35,0.0,1.157,60.0,0.0193,0.0
89,1367040,train,2026-04-17 14:03:51,0.0,1.3763,60.0,0.0229,0.0
90,1382400,train,2026-04-17 14:04:08,0.0039,1.3585,60.0,0.0226,0.0
91,1397760,train,2026-04-17 14:04:25,0.0039,1.2494,60.0,0.0208,0.0
92,1413120,train,2026-04-17 14:04:42,0.0,1.5898,60.0,0.0265,0.0
93,1428480,train,2026-04-17 14:05:04,0.0,1.5181,60.0,0.0253,0.0
94,1443840,train,2026-04-17 14:05:20,0.0,1.3289,60.0,0.0221,0.0
95,1459200,train,2026-04-17 14:05:49,0.0,1.301,60.0,0.0217,0.0
96,1474560,train,2026-04-17 14:06:05,0.0,1.3565,60.0,0.0226,0.0
97,1474560,eval,2026-04-17 14:07:30,0.0052,5.8062,60.0,0.0968,0.0
97,1489920,train,2026-04-17 14:07:45,0.0,1.2484,60.0,0.0208,0.0
98,1505280,train,2026-04-17 14:08:02,0.0,1.5417,60.0,0.0257,0.0
99,1520640,train,2026-04-17 14:08:19,0.0039,1.3286,60.0,0.0221,0.0
100,1536000,train,2026-04-17 14:08:36,0.0,1.2012,60.0,0.02,0.0
101,1551360,train,2026-04-17 14:08:53,0.0,1.1112,60.0,0.0185,0.0
102,1566720,train,2026-04-17 14:09:10,0.0,1.098,60.0,0.0183,0.0
103,1582080,train,2026-04-17 14:09:26,0.0,1.1326,60.0,0.0189,0.0
104,1597440,train,2026-04-17 14:09:43,0.0,1.1869,60.0,0.0198,0.0
105,1612800,train,2026-04-17 14:10:00,0.0,1.1583,60.0,0.0193,0.0
106,1628160,train,2026-04-17 14:10:16,0.0,1.0001,60.0,0.0167,0.0
107,1643520,train,2026-04-17 14:10:33,0.0,1.2012,60.0,0.02,0.0
108,1658880,train,2026-04-17 14:10:51,0.0,1.0563,60.0,0.0176,0.0
