iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-10 11:50:37,0.0,9.8713,60.0,0.1645,0.0
1,15360,train,2026-05-10 11:50:52,0.0,0.0827,60.0,0.0014,0.0
2,30720,train,2026-05-10 11:51:08,0.0,0.1138,60.0,0.0019,0.0
3,46080,train,2026-05-10 11:51:24,0.0,0.122,60.0,0.002,0.0
4,61440,train,2026-05-10 11:51:40,0.0,0.2191,60.0,0.0037,0.0
5,76800,train,2026-05-10 11:51:56,0.0,0.2739,60.0,0.0046,0.0
6,92160,train,2026-05-10 11:52:13,0.0,0.4044,60.0,0.0067,0.0
7,107520,train,2026-05-10 11:52:29,0.0,0.6254,60.0,0.0104,0.0
8,122880,train,2026-05-10 11:52:46,0.0,0.7034,60.0,0.0117,0.0
9,138240,train,2026-05-10 11:53:02,0.0,0.9943,60.0,0.0166,0.0
10,153600,train,2026-05-10 11:53:19,0.0,1.179,60.0,0.0196,0.0
11,168960,train,2026-05-10 11:53:35,0.0,1.2209,60.0,0.0203,0.0
12,184320,train,2026-05-10 11:53:52,0.0039,1.3476,60.0,0.0225,0.0
13,199680,train,2026-05-10 11:54:08,0.0,1.3148,60.0,0.0219,0.0
14,215040,train,2026-05-10 11:54:25,0.0,1.5263,60.0,0.0254,0.0
15,230400,train,2026-05-10 11:54:41,0.0039,1.5141,60.0,0.0252,0.0
16,245760,train,2026-05-10 11:54:58,0.0,1.4564,60.0,0.0243,0.0
17,261120,train,2026-05-10 11:55:14,0.0,1.7618,60.0,0.0294,0.0
18,276480,train,2026-05-10 11:55:31,0.0,1.6537,60.0,0.0276,0.0
19,291840,train,2026-05-10 11:55:47,0.0039,1.8011,60.0,0.03,0.0
20,307200,train,2026-05-10 11:56:04,0.0,1.5519,60.0,0.0259,0.0
21,322560,train,2026-05-10 11:56:20,0.0,1.5495,60.0,0.0258,0.0
22,337920,train,2026-05-10 11:56:37,0.0039,1.7352,60.0,0.0289,0.0
23,353280,train,2026-05-10 11:56:54,0.0,1.5317,60.0,0.0255,0.0
24,368640,train,2026-05-10 11:57:10,0.0039,1.4549,60.0,0.0242,0.0
25,384000,train,2026-05-10 11:57:27,0.0,1.5148,60.0,0.0252,0.0
26,399360,train,2026-05-10 11:57:43,0.0039,1.7299,60.0,0.0288,0.0
27,414720,train,2026-05-10 11:58:00,0.0,1.7949,60.0,0.0299,0.0
28,430080,train,2026-05-10 11:58:17,0.0039,1.7455,60.0,0.0291,0.0
29,445440,train,2026-05-10 11:58:33,0.0,1.5833,60.0,0.0264,0.0
30,460800,train,2026-05-10 11:58:50,0.0,1.6153,60.0,0.0269,0.0
31,476160,train,2026-05-10 11:59:06,0.0,1.6663,60.0,0.0278,0.0
32,491520,train,2026-05-10 11:59:23,0.0039,1.64,60.0,0.0273,0.0
33,506880,train,2026-05-10 11:59:39,0.0,1.8774,60.0,0.0313,0.0
34,522240,train,2026-05-10 11:59:56,0.0,1.735,60.0,0.0289,0.0
35,537600,train,2026-05-10 12:00:12,0.0,1.6351,60.0,0.0273,0.0
36,552960,train,2026-05-10 12:00:29,0.0,1.6494,60.0,0.0275,0.0
37,568320,train,2026-05-10 12:00:45,0.0,1.7319,60.0,0.0289,0.0
38,583680,train,2026-05-10 12:01:02,0.0,1.6575,60.0,0.0276,0.0
39,599040,train,2026-05-10 12:01:19,0.0039,1.6341,60.0,0.0272,0.0
40,614400,train,2026-05-10 12:01:35,0.0039,2.0871,60.0,0.0348,0.0
41,629760,train,2026-05-10 12:01:52,0.0,1.9303,60.0,0.0322,0.0
42,645120,train,2026-05-10 12:02:08,0.0,2.0305,60.0,0.0338,0.0
43,660480,train,2026-05-10 12:02:25,0.0039,2.1272,60.0,0.0355,0.0
44,675840,train,2026-05-10 12:02:42,0.0,1.9771,60.0,0.033,0.0
45,691200,train,2026-05-10 12:02:58,0.0,1.8257,60.0,0.0304,0.0
46,706560,train,2026-05-10 12:03:15,0.0,1.8696,60.0,0.0312,0.0
47,721920,train,2026-05-10 12:03:32,0.0,2.088,60.0,0.0348,0.0
48,737280,train,2026-05-10 12:03:48,0.0,1.7784,60.0,0.0296,0.0
49,737280,eval,2026-05-10 12:05:23,0.1875,5.0637,60.0,0.0844,0.0573
49,752640,train,2026-05-10 12:05:39,0.0,2.0261,60.0,0.0338,0.0
50,768000,train,2026-05-10 12:05:55,0.0,1.7597,60.0,0.0293,0.0
51,783360,train,2026-05-10 12:06:12,0.0039,2.0165,60.0,0.0336,0.0
52,798720,train,2026-05-10 12:06:28,0.0039,2.1524,60.0,0.0359,0.0
53,814080,train,2026-05-10 12:06:45,0.0078,1.9903,60.0,0.0332,0.0
54,829440,train,2026-05-10 12:07:02,0.0117,1.83,60.0,0.0305,0.0
55,844800,train,2026-05-10 12:07:18,0.0,1.7757,60.0,0.0296,0.0
56,860160,train,2026-05-10 12:07:35,0.0078,1.9817,60.0,0.033,0.0
57,875520,train,2026-05-10 12:07:52,0.0,2.0197,60.0,0.0337,0.0
