iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-16 02:51:07,0.0,10.0128,60.0,0.1669,0.0
1,15360,train,2026-04-16 02:51:22,0.0,0.0803,60.0,0.0013,0.0
2,30720,train,2026-04-16 02:51:39,0.0,0.1447,60.0,0.0024,0.0
3,46080,train,2026-04-16 02:51:55,0.0,0.162,60.0,0.0027,0.0
4,61440,train,2026-04-16 02:52:12,0.0,0.286,60.0,0.0048,0.0
5,76800,train,2026-04-16 02:52:28,0.0,0.3351,60.0,0.0056,0.0
6,92160,train,2026-04-16 02:52:45,0.0,0.553,60.0,0.0092,0.0
7,107520,train,2026-04-16 02:53:02,0.0,0.6178,60.0,0.0103,0.0
8,122880,train,2026-04-16 02:53:19,0.0,0.7604,60.0,0.0127,0.0
9,138240,train,2026-04-16 02:53:36,0.0039,0.8824,60.0,0.0147,0.0
10,153600,train,2026-04-16 02:53:53,0.0,1.0325,60.0,0.0172,0.0
11,168960,train,2026-04-16 02:54:09,0.0,1.2211,60.0,0.0204,0.0
12,184320,train,2026-04-16 02:54:26,0.0078,1.291,60.0,0.0215,0.0
13,199680,train,2026-04-16 02:54:43,0.0,1.3238,60.0,0.0221,0.0
14,215040,train,2026-04-16 02:55:00,0.0,1.392,60.0,0.0232,0.0
15,230400,train,2026-04-16 02:55:17,0.0039,1.3392,60.0,0.0223,0.0
16,245760,train,2026-04-16 02:55:34,0.0,1.39,60.0,0.0232,0.0
17,261120,train,2026-04-16 02:55:51,0.0039,1.5199,60.0,0.0253,0.0
18,276480,train,2026-04-16 02:56:08,0.0,1.4745,60.0,0.0246,0.0
19,291840,train,2026-04-16 02:56:25,0.0,1.484,60.0,0.0247,0.0
20,307200,train,2026-04-16 02:56:41,0.0,1.383,60.0,0.0231,0.0
21,322560,train,2026-04-16 02:56:58,0.0,1.3378,60.0,0.0223,0.0
22,337920,train,2026-04-16 02:57:15,0.0,1.2226,60.0,0.0204,0.0
23,353280,train,2026-04-16 02:57:32,0.0,1.2216,60.0,0.0204,0.0
24,368640,train,2026-04-16 02:57:49,0.0039,1.1713,60.0,0.0195,0.0
25,384000,train,2026-04-16 02:58:06,0.0,1.3795,60.0,0.023,0.0
26,399360,train,2026-04-16 02:58:23,0.0,1.596,60.0,0.0266,0.0
27,414720,train,2026-04-16 02:58:40,0.0039,1.5889,60.0,0.0265,0.0
28,430080,train,2026-04-16 02:58:56,0.0,1.566,60.0,0.0261,0.0
29,445440,train,2026-04-16 02:59:13,0.0,1.4468,60.0,0.0241,0.0
30,460800,train,2026-04-16 02:59:30,0.0,1.417,60.0,0.0236,0.0
31,476160,train,2026-04-16 02:59:47,0.0,1.5114,60.0,0.0252,0.0
32,491520,train,2026-04-16 03:00:04,0.0,1.391,60.0,0.0232,0.0
33,506880,train,2026-04-16 03:00:21,0.0,1.5959,60.0,0.0266,0.0
34,522240,train,2026-04-16 03:00:38,0.0078,1.6482,60.0,0.0275,0.0
35,537600,train,2026-04-16 03:00:55,0.0039,1.5445,60.0,0.0257,0.0
36,552960,train,2026-04-16 03:01:12,0.0117,1.6808,60.0,0.028,0.0
37,568320,train,2026-04-16 03:01:29,0.0039,1.86,60.0,0.031,0.0
38,583680,train,2026-04-16 03:01:46,0.0,1.7186,60.0,0.0286,0.0
39,599040,train,2026-04-16 03:02:02,0.0039,1.6224,60.0,0.027,0.0
40,614400,train,2026-04-16 03:02:19,0.0,1.9706,60.0,0.0328,0.0
41,629760,train,2026-04-16 03:02:36,0.0039,1.9437,60.0,0.0324,0.0
42,645120,train,2026-04-16 03:02:53,0.0,1.9004,60.0,0.0317,0.0
43,660480,train,2026-04-16 03:03:10,0.0,1.9349,60.0,0.0322,0.0
44,675840,train,2026-04-16 03:03:27,0.0039,1.755,60.0,0.0292,0.0
45,691200,train,2026-04-16 03:03:44,0.0039,1.8265,60.0,0.0304,0.0
46,706560,train,2026-04-16 03:04:01,0.0,1.787,60.0,0.0298,0.0
47,721920,train,2026-04-16 03:04:18,0.0039,1.8977,60.0,0.0316,0.0
48,737280,train,2026-04-16 03:04:35,0.0078,1.8181,60.0,0.0303,0.0
49,737280,eval,2026-04-16 03:05:59,0.1927,6.0019,60.0,0.1,0.0208
49,752640,train,2026-04-16 03:06:14,0.0039,1.9901,60.0,0.0332,0.0
50,768000,train,2026-04-16 03:06:31,0.0078,1.6994,60.0,0.0283,0.0
51,783360,train,2026-04-16 03:06:48,0.0039,1.8642,60.0,0.0311,0.0
