iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-10 12:07:34,0.0,9.9572,60.0,0.166,0.0
1,15360,train,2026-05-10 12:07:49,0.0,0.0796,60.0,0.0013,0.0
2,30720,train,2026-05-10 12:08:06,0.0,0.1708,60.0,0.0028,0.0
3,46080,train,2026-05-10 12:08:22,0.0,0.2014,60.0,0.0034,0.0
4,61440,train,2026-05-10 12:08:39,0.0,0.3137,60.0,0.0052,0.0
5,76800,train,2026-05-10 12:08:56,0.0,0.3738,60.0,0.0062,0.0
6,92160,train,2026-05-10 12:09:13,0.0,0.5802,60.0,0.0097,0.0
7,107520,train,2026-05-10 12:09:30,0.0,0.653,60.0,0.0109,0.0
8,122880,train,2026-05-10 12:09:47,0.0,0.8546,60.0,0.0142,0.0
9,138240,train,2026-05-10 12:10:04,0.0,0.9215,60.0,0.0154,0.0
10,153600,train,2026-05-10 12:10:22,0.0,1.0165,60.0,0.0169,0.0
11,168960,train,2026-05-10 12:10:39,0.0,1.1638,60.0,0.0194,0.0
12,184320,train,2026-05-10 12:10:56,0.0078,1.2671,60.0,0.0211,0.0
13,199680,train,2026-05-10 12:11:13,0.0,1.3565,60.0,0.0226,0.0
14,215040,train,2026-05-10 12:11:30,0.0,1.3458,60.0,0.0224,0.0
15,230400,train,2026-05-10 12:11:47,0.0,1.2665,60.0,0.0211,0.0
16,245760,train,2026-05-10 12:12:04,0.0,1.3428,60.0,0.0224,0.0
17,261120,train,2026-05-10 12:12:21,0.0039,1.4743,60.0,0.0246,0.0
18,276480,train,2026-05-10 12:12:38,0.0,1.2491,60.0,0.0208,0.0
19,291840,train,2026-05-10 12:12:55,0.0,1.3238,60.0,0.0221,0.0
20,307200,train,2026-05-10 12:13:12,0.0,1.2989,60.0,0.0216,0.0
21,322560,train,2026-05-10 12:13:29,0.0039,1.2203,60.0,0.0203,0.0
22,337920,train,2026-05-10 12:13:47,0.0,1.1389,60.0,0.019,0.0
23,353280,train,2026-05-10 12:14:04,0.0039,0.9646,60.0,0.0161,0.0
24,368640,train,2026-05-10 12:14:21,0.0,0.9835,60.0,0.0164,0.0
25,384000,train,2026-05-10 12:14:38,0.0,1.0844,60.0,0.0181,0.0
26,399360,train,2026-05-10 12:14:55,0.0039,1.2737,60.0,0.0212,0.0
27,414720,train,2026-05-10 12:15:12,0.0,1.2512,60.0,0.0209,0.0
