iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-05-10 14:17:45,0.0,9.8177,60.0,0.1636,0.0
1,15360,train,2026-05-10 14:18:00,0.0,0.0823,60.0,0.0014,0.0
2,30720,train,2026-05-10 14:18:16,0.0,0.1172,60.0,0.002,0.0
3,46080,train,2026-05-10 14:18:32,0.0,0.1179,60.0,0.002,0.0
4,61440,train,2026-05-10 14:18:48,0.0,0.1847,60.0,0.0031,0.0
5,76800,train,2026-05-10 14:19:04,0.0,0.234,60.0,0.0039,0.0
6,92160,train,2026-05-10 14:19:20,0.0,0.3456,60.0,0.0058,0.0
7,107520,train,2026-05-10 14:19:37,0.0,0.4693,60.0,0.0078,0.0
8,122880,train,2026-05-10 14:19:53,0.0,0.5459,60.0,0.0091,0.0
9,138240,train,2026-05-10 14:20:10,0.0,0.6962,60.0,0.0116,0.0
10,153600,train,2026-05-10 14:20:26,0.0039,0.8713,60.0,0.0145,0.0
11,168960,train,2026-05-10 14:20:43,0.0,1.1112,60.0,0.0185,0.0
12,184320,train,2026-05-10 14:20:59,0.0,1.1948,60.0,0.0199,0.0
13,199680,train,2026-05-10 14:21:15,0.0,1.1798,60.0,0.0197,0.0
14,215040,train,2026-05-10 14:21:32,0.0,1.3586,60.0,0.0226,0.0
15,230400,train,2026-05-10 14:21:48,0.0,1.3288,60.0,0.0221,0.0
16,245760,train,2026-05-10 14:22:05,0.0,1.5326,60.0,0.0255,0.0
17,261120,train,2026-05-10 14:22:22,0.0,1.651,60.0,0.0275,0.0
18,276480,train,2026-05-10 14:22:38,0.0,1.53,60.0,0.0255,0.0
19,291840,train,2026-05-10 14:22:55,0.0,1.5404,60.0,0.0257,0.0
20,307200,train,2026-05-10 14:23:11,0.0,1.6842,60.0,0.0281,0.0
21,322560,train,2026-05-10 14:23:28,0.0039,1.7458,60.0,0.0291,0.0
22,337920,train,2026-05-10 14:23:44,0.0,1.6422,60.0,0.0274,0.0
23,353280,train,2026-05-10 14:24:01,0.0,1.8402,60.0,0.0307,0.0
24,368640,train,2026-05-10 14:24:17,0.0,1.6971,60.0,0.0283,0.0
25,384000,train,2026-05-10 14:24:34,0.0039,1.8615,60.0,0.031,0.0
26,399360,train,2026-05-10 14:24:51,0.0078,1.7411,60.0,0.029,0.0
27,414720,train,2026-05-10 14:25:07,0.0,1.5817,60.0,0.0264,0.0
28,430080,train,2026-05-10 14:25:24,0.0039,1.993,60.0,0.0332,0.0
29,445440,train,2026-05-10 14:25:40,0.0,1.8635,60.0,0.0311,0.0
30,460800,train,2026-05-10 14:25:57,0.0039,1.723,60.0,0.0287,0.0
31,476160,train,2026-05-10 14:26:13,0.0039,1.8239,60.0,0.0304,0.0
32,491520,train,2026-05-10 14:26:30,0.0,1.6087,60.0,0.0268,0.0
33,506880,train,2026-05-10 14:26:47,0.0039,1.7349,60.0,0.0289,0.0
34,522240,train,2026-05-10 14:27:03,0.0,1.9414,60.0,0.0324,0.0
35,537600,train,2026-05-10 14:27:20,0.0,1.8988,60.0,0.0316,0.0
36,552960,train,2026-05-10 14:27:37,0.0,1.9263,60.0,0.0321,0.0
37,568320,train,2026-05-10 14:27:54,0.0,2.0183,60.0,0.0336,0.0
38,583680,train,2026-05-10 14:28:10,0.0,1.9374,60.0,0.0323,0.0
39,599040,train,2026-05-10 14:28:27,0.0039,1.8712,60.0,0.0312,0.0
40,614400,train,2026-05-10 14:28:43,0.0078,2.0968,60.0,0.0349,0.0
41,629760,train,2026-05-10 14:29:00,0.0,1.9401,60.0,0.0323,0.0
42,645120,train,2026-05-10 14:29:16,0.0,1.9623,60.0,0.0327,0.0
43,660480,train,2026-05-10 14:29:33,0.0,2.1023,60.0,0.035,0.0
44,675840,train,2026-05-10 14:29:50,0.0,1.895,60.0,0.0316,0.0
45,691200,train,2026-05-10 14:30:06,0.0039,2.0938,60.0,0.0349,0.0
46,706560,train,2026-05-10 14:30:23,0.0,2.0571,60.0,0.0343,0.0
47,721920,train,2026-05-10 14:30:40,0.0,2.0865,60.0,0.0348,0.0
48,737280,train,2026-05-10 14:30:56,0.0039,1.9697,60.0,0.0328,0.0
49,737280,eval,2026-05-10 14:32:28,0.1302,4.1133,60.0,0.0686,0.0469
49,752640,train,2026-05-10 14:32:43,0.0,2.1559,60.0,0.0359,0.0
50,768000,train,2026-05-10 14:32:59,0.0,1.8208,60.0,0.0303,0.0
51,783360,train,2026-05-10 14:33:16,0.0,2.0351,60.0,0.0339,0.0
52,798720,train,2026-05-10 14:33:32,0.0078,2.3329,60.0,0.0389,0.0039
53,814080,train,2026-05-10 14:33:50,0.0039,2.0112,60.0,0.0335,0.0
54,829440,train,2026-05-10 14:34:06,0.0039,1.9159,60.0,0.0319,0.0
55,844800,train,2026-05-10 14:34:23,0.0039,1.9136,60.0,0.0319,0.0
56,860160,train,2026-05-10 14:34:39,0.0078,2.1908,60.0,0.0365,0.0
57,875520,train,2026-05-10 14:34:56,0.0,2.1992,60.0,0.0367,0.0
58,890880,train,2026-05-10 14:35:13,0.0,2.1613,60.0,0.036,0.0
59,906240,train,2026-05-10 14:35:29,0.0039,1.8912,60.0,0.0315,0.0
60,921600,train,2026-05-10 14:35:46,0.0,2.064,60.0,0.0344,0.0
61,936960,train,2026-05-10 14:36:02,0.0,2.143,60.0,0.0357,0.0
62,952320,train,2026-05-10 14:36:19,0.0039,1.9793,60.0,0.033,0.0
63,967680,train,2026-05-10 14:36:36,0.0039,2.1225,60.0,0.0354,0.0
64,983040,train,2026-05-10 14:36:52,0.0078,2.1834,60.0,0.0364,0.0
65,998400,train,2026-05-10 14:37:09,0.0039,1.9805,60.0,0.033,0.0
66,1013760,train,2026-05-10 14:37:26,0.0,1.8771,60.0,0.0313,0.0
67,1029120,train,2026-05-10 14:37:42,0.0,2.3329,60.0,0.0389,0.0
68,1044480,train,2026-05-10 14:37:59,0.0,2.0567,60.0,0.0343,0.0
69,1059840,train,2026-05-10 14:38:15,0.0,2.1431,60.0,0.0357,0.0
70,1075200,train,2026-05-10 14:38:32,0.0,2.0039,60.0,0.0334,0.0
71,1090560,train,2026-05-10 14:38:49,0.0,2.0969,60.0,0.0349,0.0
72,1105920,train,2026-05-10 14:39:05,0.0078,1.951,60.0,0.0325,0.0
73,1121280,train,2026-05-10 14:39:22,0.0,2.0363,60.0,0.0339,0.0
74,1136640,train,2026-05-10 14:39:39,0.0078,2.1006,60.0,0.035,0.0
75,1152000,train,2026-05-10 14:39:55,0.0039,2.0584,60.0,0.0343,0.0
76,1167360,train,2026-05-10 14:40:12,0.0078,2.1611,60.0,0.036,0.0
77,1182720,train,2026-05-10 14:40:28,0.0,2.0749,60.0,0.0346,0.0
78,1198080,train,2026-05-10 14:40:45,0.0039,1.902,60.0,0.0317,0.0
79,1213440,train,2026-05-10 14:41:01,0.0039,1.9891,60.0,0.0332,0.0
80,1228800,train,2026-05-10 14:41:18,0.0039,2.1367,60.0,0.0356,0.0
81,1244160,train,2026-05-10 14:41:35,0.0,2.1949,60.0,0.0366,0.0
82,1259520,train,2026-05-10 14:41:51,0.0,2.0188,60.0,0.0336,0.0
83,1274880,train,2026-05-10 14:42:08,0.0,1.7426,60.0,0.029,0.0
84,1290240,train,2026-05-10 14:42:24,0.0,2.2813,60.0,0.038,0.0
85,1305600,train,2026-05-10 14:42:41,0.0,2.0747,60.0,0.0346,0.0
86,1320960,train,2026-05-10 14:42:57,0.0,2.3144,60.0,0.0386,0.0
87,1336320,train,2026-05-10 14:43:14,0.0039,1.8976,60.0,0.0316,0.0
88,1351680,train,2026-05-10 14:43:31,0.0039,2.4044,60.0,0.0401,0.0
89,1367040,train,2026-05-10 14:43:47,0.0,2.1052,60.0,0.0351,0.0
90,1382400,train,2026-05-10 14:44:04,0.0,2.1477,60.0,0.0358,0.0
91,1397760,train,2026-05-10 14:44:21,0.0,2.2722,60.0,0.0379,0.0
92,1413120,train,2026-05-10 14:44:37,0.0,1.9468,60.0,0.0324,0.0
93,1428480,train,2026-05-10 14:44:54,0.0039,2.182,60.0,0.0364,0.0
94,1443840,train,2026-05-10 14:45:11,0.0078,2.3436,60.0,0.0391,0.0
95,1459200,train,2026-05-10 14:45:27,0.0,2.3108,60.0,0.0385,0.0
96,1474560,train,2026-05-10 14:45:44,0.0,2.174,60.0,0.0362,0.0
97,1474560,eval,2026-05-10 14:47:16,0.0573,3.8415,60.0,0.064,0.0156
97,1489920,train,2026-05-10 14:47:31,0.0078,2.164,60.0,0.0361,0.0
98,1505280,train,2026-05-10 14:47:47,0.0039,2.2191,60.0,0.037,0.0
99,1520640,train,2026-05-10 14:48:04,0.0,2.0452,60.0,0.0341,0.0
100,1536000,train,2026-05-10 14:48:21,0.0,2.1948,60.0,0.0366,0.0
101,1551360,train,2026-05-10 14:48:37,0.0,2.1865,60.0,0.0364,0.0
102,1566720,train,2026-05-10 14:48:54,0.0,2.0927,60.0,0.0349,0.0
103,1582080,train,2026-05-10 14:49:10,0.0,1.9625,60.0,0.0327,0.0
104,1597440,train,2026-05-10 14:49:27,0.0039,2.2291,60.0,0.0372,0.0
105,1612800,train,2026-05-10 14:49:44,0.0039,2.0066,60.0,0.0334,0.0
106,1628160,train,2026-05-10 14:50:00,0.0,2.2107,60.0,0.0368,0.0
107,1643520,train,2026-05-10 14:50:17,0.0,1.9066,60.0,0.0318,0.0
108,1658880,train,2026-05-10 14:50:34,0.0039,2.0806,60.0,0.0347,0.0
109,1674240,train,2026-05-10 14:50:51,0.0,2.4054,60.0,0.0401,0.0
110,1689600,train,2026-05-10 14:51:07,0.0,2.1972,60.0,0.0366,0.0
111,1704960,train,2026-05-10 14:51:24,0.0,1.9769,60.0,0.0329,0.0
112,1720320,train,2026-05-10 14:51:41,0.0039,2.1367,60.0,0.0356,0.0
113,1735680,train,2026-05-10 14:51:57,0.0039,2.0732,60.0,0.0346,0.0
114,1751040,train,2026-05-10 14:52:14,0.0039,2.1256,60.0,0.0354,0.0
115,1766400,train,2026-05-10 14:52:30,0.0039,2.0564,60.0,0.0343,0.0
116,1781760,train,2026-05-10 14:52:47,0.0078,2.3583,60.0,0.0393,0.0
117,1797120,train,2026-05-10 14:53:04,0.0,2.1328,60.0,0.0355,0.0
118,1812480,train,2026-05-10 14:53:21,0.0039,2.3227,60.0,0.0387,0.0
119,1827840,train,2026-05-10 14:53:37,0.0,2.2258,60.0,0.0371,0.0
