iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-18 19:14:34,0.0,9.8946,60.0,0.1649,0.0
1,15360,train,2026-07-18 19:15:25,0.0,0.0748,60.0,0.0012,0.0
2,30720,train,2026-07-18 19:16:19,0.0,0.0856,60.0,0.0014,0.0
3,46080,train,2026-07-18 19:17:12,0.0,0.1248,60.0,0.0021,0.0
4,61440,train,2026-07-18 19:18:05,0.0,0.2354,60.0,0.0039,0.0
5,76800,train,2026-07-18 19:19:00,0.0,0.354,60.0,0.0059,0.0
6,92160,train,2026-07-18 19:19:54,0.0,0.5038,60.0,0.0084,0.0
7,107520,train,2026-07-18 19:20:48,0.0,0.612,60.0,0.0102,0.0
8,122880,train,2026-07-18 19:21:42,0.0,0.8204,60.0,0.0137,0.0
9,138240,train,2026-07-18 19:22:36,0.0,1.0348,60.0,0.0172,0.0
10,153600,train,2026-07-18 19:23:31,0.0039,1.0871,60.0,0.0181,0.0
11,168960,train,2026-07-18 19:24:25,0.0039,1.1057,60.0,0.0184,0.0
12,184320,train,2026-07-18 19:25:20,0.0078,1.3795,60.0,0.023,0.0
13,199680,train,2026-07-18 19:26:14,0.0,1.3357,60.0,0.0223,0.0
14,215040,train,2026-07-18 19:27:10,0.0039,1.311,60.0,0.0219,0.0
15,230400,train,2026-07-18 19:28:04,0.0,1.3778,60.0,0.023,0.0
16,245760,train,2026-07-18 19:29:00,0.0039,1.553,60.0,0.0259,0.0039
17,261120,train,2026-07-18 19:29:55,0.0039,1.525,60.0,0.0254,0.0
18,276480,train,2026-07-18 19:30:49,0.0039,1.4445,60.0,0.0241,0.0
19,291840,train,2026-07-18 19:31:44,0.0,1.468,60.0,0.0245,0.0
20,307200,train,2026-07-18 19:32:38,0.0039,1.4868,60.0,0.0248,0.0
21,322560,train,2026-07-18 19:33:33,0.0039,1.759,60.0,0.0293,0.0
22,337920,train,2026-07-18 19:34:27,0.0039,1.3482,60.0,0.0225,0.0
23,353280,train,2026-07-18 19:35:22,0.0,1.5993,60.0,0.0267,0.0
24,368640,train,2026-07-18 19:36:17,0.0,1.6822,60.0,0.028,0.0
25,368640,eval,2026-07-18 19:38:34,0.2708,6.7728,60.0,0.1129,0.0677
25,384000,train,2026-07-18 19:39:27,0.0,1.7468,60.0,0.0291,0.0
26,399360,train,2026-07-18 19:40:22,0.0,1.5689,60.0,0.0261,0.0
27,414720,train,2026-07-18 19:41:16,0.0,1.5762,60.0,0.0263,0.0
28,430080,train,2026-07-18 19:42:10,0.0,1.5882,60.0,0.0265,0.0
29,445440,train,2026-07-18 19:43:04,0.0078,1.7701,60.0,0.0295,0.0
30,460800,train,2026-07-18 19:43:58,0.0,1.7099,60.0,0.0285,0.0
31,476160,train,2026-07-18 19:44:52,0.0,1.6583,60.0,0.0276,0.0
32,491520,train,2026-07-18 19:45:46,0.0039,1.6926,60.0,0.0282,0.0
33,506880,train,2026-07-18 19:46:41,0.0,1.5816,60.0,0.0264,0.0
34,522240,train,2026-07-18 19:47:35,0.0,1.6871,60.0,0.0281,0.0
35,537600,train,2026-07-18 19:48:30,0.0,1.7136,60.0,0.0286,0.0
36,552960,train,2026-07-18 19:49:24,0.0039,1.7083,60.0,0.0285,0.0
37,568320,train,2026-07-18 19:50:19,0.0039,1.579,60.0,0.0263,0.0
38,583680,train,2026-07-18 19:51:14,0.0039,1.6104,60.0,0.0268,0.0
39,599040,train,2026-07-18 19:52:10,0.0,1.55,60.0,0.0258,0.0
40,614400,train,2026-07-18 19:53:04,0.0,1.8832,60.0,0.0314,0.0
41,629760,train,2026-07-18 19:53:59,0.0,1.5445,60.0,0.0257,0.0
42,645120,train,2026-07-18 19:54:53,0.0117,1.7387,60.0,0.029,0.0
43,660480,train,2026-07-18 19:55:47,0.0039,1.8008,60.0,0.03,0.0
44,675840,train,2026-07-18 19:56:41,0.0,1.6718,60.0,0.0279,0.0
45,691200,train,2026-07-18 19:57:36,0.0,1.7483,60.0,0.0291,0.0
46,706560,train,2026-07-18 19:58:30,0.0,1.806,60.0,0.0301,0.0
47,721920,train,2026-07-18 19:59:25,0.0,1.6639,60.0,0.0277,0.0
48,737280,train,2026-07-18 20:00:19,0.0,1.8489,60.0,0.0308,0.0
49,737280,eval,2026-07-18 20:02:36,0.2135,5.5203,60.0,0.092,0.0208
49,752640,train,2026-07-18 20:03:29,0.0039,1.9896,60.0,0.0332,0.0
50,768000,train,2026-07-18 20:04:23,0.0078,1.7425,60.0,0.029,0.0
51,783360,train,2026-07-18 20:05:18,0.0,2.0242,60.0,0.0337,0.0
52,798720,train,2026-07-18 20:06:13,0.0,1.7491,60.0,0.0292,0.0
53,814080,train,2026-07-18 20:07:07,0.0039,1.8541,60.0,0.0309,0.0
54,829440,train,2026-07-18 20:08:02,0.0,1.752,60.0,0.0292,0.0
55,844800,train,2026-07-18 20:08:56,0.0078,1.888,60.0,0.0315,0.0
56,860160,train,2026-07-18 20:09:51,0.0,1.6697,60.0,0.0278,0.0
57,875520,train,2026-07-18 20:10:46,0.0,1.868,60.0,0.0311,0.0
58,890880,train,2026-07-18 20:11:40,0.0,1.6581,60.0,0.0276,0.0
59,906240,train,2026-07-18 20:12:35,0.0,1.5966,60.0,0.0266,0.0
60,921600,train,2026-07-18 20:13:29,0.0,1.5685,60.0,0.0261,0.0
61,936960,train,2026-07-18 20:14:24,0.0039,1.6535,60.0,0.0276,0.0
62,952320,train,2026-07-18 20:15:19,0.0039,1.7382,60.0,0.029,0.0
63,967680,train,2026-07-18 20:16:15,0.0,1.7073,60.0,0.0285,0.0
64,983040,train,2026-07-18 20:17:09,0.0,1.5848,60.0,0.0264,0.0
65,998400,train,2026-07-18 20:18:04,0.0078,1.7374,60.0,0.029,0.0
66,1013760,train,2026-07-18 20:18:59,0.0,1.8237,60.0,0.0304,0.0
67,1029120,train,2026-07-18 20:19:53,0.0,1.6919,60.0,0.0282,0.0
68,1044480,train,2026-07-18 20:20:47,0.0039,1.6778,60.0,0.028,0.0
69,1059840,train,2026-07-18 20:21:42,0.0,1.7565,60.0,0.0293,0.0
70,1075200,train,2026-07-18 20:22:37,0.0,1.5528,60.0,0.0259,0.0
71,1090560,train,2026-07-18 20:23:31,0.0117,1.5109,60.0,0.0252,0.0
72,1105920,train,2026-07-18 20:24:26,0.0,1.8283,60.0,0.0305,0.0
73,1105920,eval,2026-07-18 20:26:42,0.2292,5.3313,60.0,0.0889,0.0
73,1121280,train,2026-07-18 20:27:34,0.0,1.7351,60.0,0.0289,0.0
74,1136640,train,2026-07-18 20:28:29,0.0195,1.6189,60.0,0.027,0.0
75,1152000,train,2026-07-18 20:29:23,0.0,1.9439,60.0,0.0324,0.0
