iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-06 20:15:49,0.0,0.0079,90.0,0.0001,0.0
2,23040,train,2026-07-06 20:23:52,0.0,0.017,90.0,0.0002,0.0
3,46080,train,2026-07-06 20:31:58,0.0,0.0145,90.0,0.0002,0.0
5,69120,train,2026-07-06 20:40:07,0.0,0.0116,90.0,0.0001,0.0
6,92160,train,2026-07-06 20:48:15,0.0,0.0212,90.0,0.0002,0.0
8,115200,train,2026-07-06 20:56:36,0.0,0.0376,90.0,0.0004,0.0
9,138240,train,2026-07-06 21:04:52,0.0,0.0646,90.0,0.0007,0.0
11,161280,train,2026-07-06 21:13:10,0.0,0.1173,90.0,0.0013,0.0
12,184320,train,2026-07-06 21:21:32,0.0,0.1423,90.0,0.0016,0.0
14,207360,train,2026-07-06 21:29:58,0.0,0.1787,90.0,0.002,0.0
