iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-05 16:25:30,0.0,0.084,90.0,0.0009,0.0
2,23040,train,2026-07-05 16:26:15,0.0,0.1462,90.0,0.0016,0.0
3,46080,train,2026-07-05 16:27:00,0.0,0.2863,90.0,0.0032,0.0
5,69120,train,2026-07-05 16:28:07,0.0,0.5103,90.0,0.0057,0.0
6,92160,train,2026-07-05 16:28:52,0.0078,1.3765,90.0,0.0153,0.0
8,115200,train,2026-07-05 16:30:00,0.0078,2.0906,90.0,0.0232,0.0
9,138240,train,2026-07-05 16:30:46,0.0234,3.3846,90.0,0.0376,0.0
11,161280,train,2026-07-05 16:31:54,0.0078,3.0169,90.0,0.0335,0.0
12,184320,train,2026-07-05 16:32:40,0.0078,3.4094,90.0,0.0379,0.0
14,207360,train,2026-07-05 16:33:48,0.0078,4.2885,90.0,0.0476,0.0
15,230400,train,2026-07-05 16:34:34,0.0156,4.4865,90.0,0.0499,0.0
17,253440,train,2026-07-05 16:35:42,0.0117,4.3623,90.0,0.0485,0.0
18,276480,train,2026-07-05 16:36:28,0.0195,5.3382,90.0,0.0593,0.0
20,299520,train,2026-07-05 16:37:35,0.0117,4.8382,90.0,0.0538,0.0
21,322560,train,2026-07-05 16:38:21,0.0078,3.9994,90.0,0.0444,0.0
23,345600,train,2026-07-05 16:39:28,0.0078,4.5869,90.0,0.051,0.0
24,368640,train,2026-07-05 16:40:14,0.0078,4.364,90.0,0.0485,0.0
25,368640,eval,2026-07-05 16:42:16,0.2031,15.3548,90.0,0.1706,0.0781
26,391680,train,2026-07-05 16:43:01,0.0039,4.9171,90.0,0.0546,0.0
27,414720,train,2026-07-05 16:43:47,0.0117,5.9984,90.0,0.0666,0.0
29,437760,train,2026-07-05 16:44:54,0.0039,5.3838,90.0,0.0598,0.0
30,460800,train,2026-07-05 16:45:40,0.0078,5.658,90.0,0.0629,0.0
32,483840,train,2026-07-05 16:46:47,0.0195,5.1319,90.0,0.057,0.0
33,506880,train,2026-07-05 16:47:32,0.0156,6.3651,90.0,0.0707,0.0
35,529920,train,2026-07-05 16:48:39,0.0195,5.8504,90.0,0.065,0.0
36,552960,train,2026-07-05 16:49:25,0.0078,5.1276,90.0,0.057,0.0
38,576000,train,2026-07-05 16:50:31,0.0078,6.0582,90.0,0.0673,0.0
39,599040,train,2026-07-05 16:51:17,0.0078,6.0608,90.0,0.0673,0.0
41,622080,train,2026-07-05 16:52:24,0.0156,6.2115,90.0,0.069,0.0
42,645120,train,2026-07-05 16:53:10,0.0156,5.3172,90.0,0.0591,0.0
44,668160,train,2026-07-05 16:54:17,0.0,6.3202,90.0,0.0702,0.0
45,691200,train,2026-07-05 16:55:03,0.0117,6.5487,90.0,0.0728,0.0
47,714240,train,2026-07-05 16:56:10,0.0156,5.2457,90.0,0.0583,0.0
48,737280,train,2026-07-05 16:56:55,0.0117,5.91,90.0,0.0657,0.0039
49,737280,eval,2026-07-05 16:58:57,0.0234,10.0801,90.0,0.112,0.0
50,760320,train,2026-07-05 16:59:42,0.0117,6.5886,90.0,0.0732,0.0
51,783360,train,2026-07-05 17:00:29,0.0195,7.3588,90.0,0.0818,0.0
53,806400,train,2026-07-05 17:01:35,0.0195,5.788,90.0,0.0643,0.0
54,829440,train,2026-07-05 17:02:21,0.0,6.6023,90.0,0.0734,0.0
56,852480,train,2026-07-05 17:03:28,0.0039,6.1909,90.0,0.0688,0.0
57,875520,train,2026-07-05 17:04:14,0.0117,6.5599,90.0,0.0729,0.0
59,898560,train,2026-07-05 17:05:21,0.0156,6.7677,90.0,0.0752,0.0
60,921600,train,2026-07-05 17:06:07,0.0273,6.4956,90.0,0.0722,0.0
62,944640,train,2026-07-05 17:07:13,0.0273,7.0185,90.0,0.078,0.0
63,967680,train,2026-07-05 17:07:59,0.0078,7.0269,90.0,0.0781,0.0
65,990720,train,2026-07-05 17:09:06,0.0078,5.9841,90.0,0.0665,0.0
66,1013760,train,2026-07-05 17:09:51,0.0117,6.779,90.0,0.0753,0.0
68,1036800,train,2026-07-05 17:10:58,0.0195,6.2054,90.0,0.0689,0.0
69,1059840,train,2026-07-05 17:11:44,0.0078,6.3224,90.0,0.0702,0.0
71,1082880,train,2026-07-05 17:12:51,0.0156,7.193,90.0,0.0799,0.0
72,1105920,train,2026-07-05 17:13:36,0.0156,6.4498,90.0,0.0717,0.0
73,1105920,eval,2026-07-05 17:15:38,0.0547,9.7966,90.0,0.1089,0.0469
74,1128960,train,2026-07-05 17:16:23,0.0117,5.818,90.0,0.0646,0.0
75,1152000,train,2026-07-05 17:17:09,0.0195,6.0157,90.0,0.0668,0.0
77,1175040,train,2026-07-05 17:18:16,0.0195,5.454,90.0,0.0606,0.0
78,1198080,train,2026-07-05 17:19:02,0.0039,6.5275,90.0,0.0725,0.0
80,1221120,train,2026-07-05 17:20:08,0.0156,6.7461,90.0,0.075,0.0
81,1244160,train,2026-07-05 17:20:54,0.0078,5.3629,90.0,0.0596,0.0
83,1267200,train,2026-07-05 17:22:01,0.0078,6.7424,90.0,0.0749,0.0
84,1290240,train,2026-07-05 17:22:47,0.0,6.4276,90.0,0.0714,0.0
86,1313280,train,2026-07-05 17:23:53,0.0352,6.0899,90.0,0.0677,0.0039
87,1336320,train,2026-07-05 17:24:39,0.0039,5.2132,90.0,0.0579,0.0
89,1359360,train,2026-07-05 17:25:45,0.0117,6.1281,90.0,0.0681,0.0
90,1382400,train,2026-07-05 17:26:31,0.0117,6.4491,90.0,0.0717,0.0
92,1405440,train,2026-07-05 17:27:37,0.0078,6.595,90.0,0.0733,0.0
93,1428480,train,2026-07-05 17:28:23,0.0117,6.981,90.0,0.0776,0.0
95,1451520,train,2026-07-05 17:29:30,0.0,5.8134,90.0,0.0646,0.0
96,1474560,train,2026-07-05 17:30:15,0.0117,5.9895,90.0,0.0666,0.0
97,1474560,eval,2026-07-05 17:32:19,0.0391,9.5243,90.0,0.1058,0.0078
98,1497600,train,2026-07-05 17:33:04,0.0078,6.1328,90.0,0.0681,0.0
99,1520640,train,2026-07-05 17:33:50,0.0078,5.8108,90.0,0.0646,0.0
101,1543680,train,2026-07-05 17:34:57,0.0078,5.3493,90.0,0.0594,0.0
102,1566720,train,2026-07-05 17:35:43,0.0156,6.3919,90.0,0.071,0.0
104,1589760,train,2026-07-05 17:36:49,0.0195,6.0959,90.0,0.0677,0.0039
105,1612800,train,2026-07-05 17:37:35,0.0195,7.75,90.0,0.0861,0.0
107,1635840,train,2026-07-05 17:38:42,0.0039,6.5603,90.0,0.0729,0.0
108,1658880,train,2026-07-05 17:39:28,0.0117,6.4796,90.0,0.072,0.0
110,1681920,train,2026-07-05 17:40:35,0.0195,7.4845,90.0,0.0832,0.0
111,1704960,train,2026-07-05 17:41:22,0.0117,6.6037,90.0,0.0734,0.0
113,1728000,train,2026-07-05 17:42:28,0.0117,8.4499,90.0,0.0939,0.0
114,1751040,train,2026-07-05 17:43:14,0.0117,7.228,90.0,0.0803,0.0
116,1774080,train,2026-07-05 17:44:22,0.0195,8.127,90.0,0.0903,0.0
117,1797120,train,2026-07-05 17:45:07,0.0195,8.5798,90.0,0.0953,0.0
119,1820160,train,2026-07-05 17:46:14,0.0234,8.1926,90.0,0.091,0.0
120,1843200,train,2026-07-05 17:47:00,0.0234,8.203,90.0,0.0911,0.0
121,1843200,eval,2026-07-05 17:49:04,0.0469,12.7875,90.0,0.1421,0.0312
122,1866240,train,2026-07-05 17:49:49,0.0469,8.1103,90.0,0.0901,0.0039
123,1889280,train,2026-07-05 17:50:35,0.0078,7.3199,90.0,0.0813,0.0
125,1912320,train,2026-07-05 17:51:43,0.0156,7.469,90.0,0.083,0.0
126,1935360,train,2026-07-05 17:52:28,0.0234,7.7529,90.0,0.0861,0.0039
128,1958400,train,2026-07-05 17:53:35,0.0195,6.7411,90.0,0.0749,0.0
129,1981440,train,2026-07-05 17:54:21,0.0273,9.3502,90.0,0.1039,0.0
131,2004480,train,2026-07-05 17:55:28,0.0273,7.2464,90.0,0.0805,0.0
132,2027520,train,2026-07-05 17:56:14,0.0273,7.9512,90.0,0.0883,0.0
134,2050560,train,2026-07-05 17:57:21,0.0234,7.2858,90.0,0.081,0.0
135,2073600,train,2026-07-05 17:58:07,0.0352,7.7969,90.0,0.0866,0.0
137,2096640,train,2026-07-05 17:59:13,0.0312,7.6409,90.0,0.0849,0.0
138,2119680,train,2026-07-05 17:59:59,0.0391,10.0482,90.0,0.1116,0.0
140,2142720,train,2026-07-05 18:01:06,0.0352,9.8755,90.0,0.1097,0.0
141,2165760,train,2026-07-05 18:01:52,0.0195,7.8033,90.0,0.0867,0.0
143,2188800,train,2026-07-05 18:02:59,0.0273,9.4001,90.0,0.1044,0.0039
