iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-06 13:29:06,0.0,0.053,90.0,0.0006,0.0
2,23040,train,2026-07-06 13:29:48,0.0,0.1161,90.0,0.0013,0.0
3,46080,train,2026-07-06 13:30:31,0.0,0.2693,90.0,0.003,0.0
5,69120,train,2026-07-06 13:31:33,0.0,0.6604,90.0,0.0073,0.0
6,92160,train,2026-07-06 13:32:17,0.0078,1.1395,90.0,0.0127,0.0
8,115200,train,2026-07-06 13:33:20,0.0039,1.9217,90.0,0.0214,0.0
9,138240,train,2026-07-06 13:34:05,0.0078,2.1288,90.0,0.0237,0.0
11,161280,train,2026-07-06 13:35:08,0.0039,2.7378,90.0,0.0304,0.0
12,184320,train,2026-07-06 13:35:53,0.0039,3.1341,90.0,0.0348,0.0
14,207360,train,2026-07-06 13:36:56,0.0078,3.8338,90.0,0.0426,0.0
15,230400,train,2026-07-06 13:37:41,0.0078,3.8348,90.0,0.0426,0.0
17,253440,train,2026-07-06 13:38:43,0.0039,4.0248,90.0,0.0447,0.0
18,276480,train,2026-07-06 13:39:28,0.0039,3.9455,90.0,0.0438,0.0
20,299520,train,2026-07-06 13:40:31,0.0156,3.5711,90.0,0.0397,0.0
21,322560,train,2026-07-06 13:41:16,0.0156,4.2474,90.0,0.0472,0.0
23,345600,train,2026-07-06 13:42:19,0.0195,5.6031,90.0,0.0623,0.0
24,368640,train,2026-07-06 13:43:04,0.0117,4.7711,90.0,0.053,0.0
25,368640,eval,2026-07-06 13:45:13,0.1172,10.021,90.0,0.1113,0.1016
26,391680,train,2026-07-06 13:45:58,0.0156,4.8356,90.0,0.0537,0.0
27,414720,train,2026-07-06 13:46:43,0.0156,5.4666,90.0,0.0607,0.0
29,437760,train,2026-07-06 13:47:36,0.0195,5.2252,90.0,0.0581,0.0
30,460800,train,2026-07-06 13:48:21,0.0117,5.003,90.0,0.0556,0.0
32,483840,train,2026-07-06 13:49:25,0.0117,5.0313,90.0,0.0559,0.0039
33,506880,train,2026-07-06 13:50:10,0.0,5.2398,90.0,0.0582,0.0
35,529920,train,2026-07-06 13:51:13,0.0195,5.3825,90.0,0.0598,0.0
36,552960,train,2026-07-06 13:51:57,0.0078,4.7182,90.0,0.0524,0.0
38,576000,train,2026-07-06 13:53:00,0.0,5.2489,90.0,0.0583,0.0
39,599040,train,2026-07-06 13:53:45,0.0156,5.5859,90.0,0.0621,0.0
41,622080,train,2026-07-06 13:54:49,0.0195,5.1413,90.0,0.0571,0.0
42,645120,train,2026-07-06 13:55:33,0.0078,5.6755,90.0,0.0631,0.0
44,668160,train,2026-07-06 13:56:37,0.0117,4.9779,90.0,0.0553,0.0
45,691200,train,2026-07-06 13:57:21,0.0156,6.4248,90.0,0.0714,0.0
47,714240,train,2026-07-06 13:58:25,0.0156,6.2857,90.0,0.0698,0.0
48,737280,train,2026-07-06 13:59:10,0.0234,6.7356,90.0,0.0748,0.0
49,737280,eval,2026-07-06 14:01:18,0.1016,12.2911,90.0,0.1366,0.0938
50,760320,train,2026-07-06 14:02:02,0.0273,6.6543,90.0,0.0739,0.0
51,783360,train,2026-07-06 14:02:48,0.0156,5.8909,90.0,0.0655,0.0
53,806400,train,2026-07-06 14:03:50,0.0156,6.6484,90.0,0.0739,0.0
54,829440,train,2026-07-06 14:04:36,0.0117,6.5413,90.0,0.0727,0.0
56,852480,train,2026-07-06 14:05:40,0.0234,6.1452,90.0,0.0683,0.0
57,875520,train,2026-07-06 14:06:25,0.0117,6.4683,90.0,0.0719,0.0
59,898560,train,2026-07-06 14:07:29,0.0117,6.4202,90.0,0.0713,0.0
60,921600,train,2026-07-06 14:08:13,0.0312,6.3867,90.0,0.071,0.0
62,944640,train,2026-07-06 14:09:17,0.0156,6.6967,90.0,0.0744,0.0
63,967680,train,2026-07-06 14:10:02,0.0078,5.428,90.0,0.0603,0.0
65,990720,train,2026-07-06 14:11:06,0.0117,5.981,90.0,0.0665,0.0
66,1013760,train,2026-07-06 14:11:51,0.0078,6.6062,90.0,0.0734,0.0
68,1036800,train,2026-07-06 14:12:54,0.0156,6.4524,90.0,0.0717,0.0
69,1059840,train,2026-07-06 14:13:39,0.0156,6.7383,90.0,0.0749,0.0
71,1082880,train,2026-07-06 14:14:42,0.0312,7.1548,90.0,0.0795,0.0
72,1105920,train,2026-07-06 14:15:27,0.0312,7.6786,90.0,0.0853,0.0
73,1105920,eval,2026-07-06 14:17:36,0.1016,13.4887,90.0,0.1499,0.0781
74,1128960,train,2026-07-06 14:18:21,0.0195,6.8743,90.0,0.0764,0.0
75,1152000,train,2026-07-06 14:19:05,0.0234,6.6639,90.0,0.074,0.0
77,1175040,train,2026-07-06 14:20:09,0.0117,6.964,90.0,0.0774,0.0
78,1198080,train,2026-07-06 14:20:55,0.0312,7.7654,90.0,0.0863,0.0
80,1221120,train,2026-07-06 14:21:58,0.0195,7.0653,90.0,0.0785,0.0
81,1244160,train,2026-07-06 14:22:43,0.0234,8.2873,90.0,0.0921,0.0
83,1267200,train,2026-07-06 14:23:46,0.0312,6.8359,90.0,0.076,0.0
84,1290240,train,2026-07-06 14:24:32,0.0156,6.512,90.0,0.0724,0.0
86,1313280,train,2026-07-06 14:25:34,0.0234,7.872,90.0,0.0875,0.0
87,1336320,train,2026-07-06 14:26:19,0.0391,8.1645,90.0,0.0907,0.0
89,1359360,train,2026-07-06 14:27:23,0.0312,7.0731,90.0,0.0786,0.0
90,1382400,train,2026-07-06 14:28:08,0.0156,6.6512,90.0,0.0739,0.0
92,1405440,train,2026-07-06 14:29:04,0.0117,7.088,90.0,0.0788,0.0
93,1428480,train,2026-07-06 14:29:49,0.0391,5.929,90.0,0.0659,0.0
95,1451520,train,2026-07-06 14:30:50,0.0156,6.9188,90.0,0.0769,0.0
96,1474560,train,2026-07-06 14:31:35,0.0117,6.5766,90.0,0.0731,0.0039
97,1474560,eval,2026-07-06 14:33:44,0.0859,11.467,90.0,0.1274,0.0312
98,1497600,train,2026-07-06 14:34:27,0.0117,7.8206,90.0,0.0869,0.0
99,1520640,train,2026-07-06 14:35:12,0.0156,5.7278,90.0,0.0636,0.0
101,1543680,train,2026-07-06 14:36:15,0.0273,6.2003,90.0,0.0689,0.0
102,1566720,train,2026-07-06 14:37:00,0.0234,7.2023,90.0,0.08,0.0
104,1589760,train,2026-07-06 14:38:03,0.0234,6.8142,90.0,0.0757,0.0
105,1612800,train,2026-07-06 14:38:48,0.0195,6.9729,90.0,0.0775,0.0
107,1635840,train,2026-07-06 14:39:51,0.0156,7.9862,90.0,0.0887,0.0
108,1658880,train,2026-07-06 14:40:36,0.0312,8.2371,90.0,0.0915,0.0
110,1681920,train,2026-07-06 14:41:41,0.0195,7.9913,90.0,0.0888,0.0
111,1704960,train,2026-07-06 14:42:25,0.0195,7.5916,90.0,0.0844,0.0
113,1728000,train,2026-07-06 14:43:28,0.0273,7.6331,90.0,0.0848,0.0
114,1751040,train,2026-07-06 14:44:13,0.0234,6.5588,90.0,0.0729,0.0
116,1774080,train,2026-07-06 14:45:16,0.0234,7.9798,90.0,0.0887,0.0
117,1797120,train,2026-07-06 14:46:02,0.0117,8.5954,90.0,0.0955,0.0
119,1820160,train,2026-07-06 14:46:53,0.0273,8.5695,90.0,0.0952,0.0
120,1843200,train,2026-07-06 14:47:38,0.043,8.3776,90.0,0.0931,0.0
121,1843200,eval,2026-07-06 14:49:49,0.1406,16.0863,90.0,0.1787,0.1172
122,1866240,train,2026-07-06 14:50:32,0.0391,7.9461,90.0,0.0883,0.0
123,1889280,train,2026-07-06 14:51:17,0.0312,7.7146,90.0,0.0857,0.0
125,1912320,train,2026-07-06 14:52:19,0.0391,7.4896,90.0,0.0832,0.0
126,1935360,train,2026-07-06 14:53:04,0.0312,7.94,90.0,0.0882,0.0
128,1958400,train,2026-07-06 14:54:06,0.0781,8.3975,90.0,0.0933,0.0
