iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-06 23:41:15,0.0,0.0704,90.0,0.0008,0.0
2,23040,train,2026-07-06 23:42:00,0.0,0.1361,90.0,0.0015,0.0
3,46080,train,2026-07-06 23:42:44,0.0,0.1523,90.0,0.0017,0.0
5,69120,train,2026-07-06 23:43:50,0.0,0.2969,90.0,0.0033,0.0
6,92160,train,2026-07-06 23:44:35,0.0078,0.7039,90.0,0.0078,0.0
8,115200,train,2026-07-06 23:45:41,0.0039,1.1746,90.0,0.0131,0.0
9,138240,train,2026-07-06 23:46:26,0.0195,2.4659,90.0,0.0274,0.0
11,161280,train,2026-07-06 23:47:33,0.0117,2.8828,90.0,0.032,0.0
12,184320,train,2026-07-06 23:48:19,0.0117,2.8267,90.0,0.0314,0.0
14,207360,train,2026-07-06 23:49:26,0.0039,3.621,90.0,0.0402,0.0
15,230400,train,2026-07-06 23:50:12,0.0117,3.6418,90.0,0.0405,0.0
17,253440,train,2026-07-06 23:51:19,0.0078,3.8158,90.0,0.0424,0.0
18,276480,train,2026-07-06 23:52:06,0.0273,4.5235,90.0,0.0503,0.0
20,299520,train,2026-07-06 23:53:13,0.0039,4.0368,90.0,0.0449,0.0
21,322560,train,2026-07-06 23:54:00,0.0195,5.4488,90.0,0.0605,0.0
23,345600,train,2026-07-06 23:55:07,0.0078,4.8283,90.0,0.0536,0.0
24,368640,train,2026-07-06 23:55:54,0.0234,5.8564,90.0,0.0651,0.0
25,368640,eval,2026-07-06 23:57:58,0.25,15.7619,90.0,0.1751,0.0703
26,391680,train,2026-07-06 23:58:44,0.0273,5.949,90.0,0.0661,0.0
27,414720,train,2026-07-06 23:59:31,0.0117,5.3904,90.0,0.0599,0.0
29,437760,train,2026-07-07 00:00:39,0.0078,5.2767,90.0,0.0586,0.0
30,460800,train,2026-07-07 00:01:26,0.0117,5.6558,90.0,0.0628,0.0
32,483840,train,2026-07-07 00:02:33,0.0117,5.0833,90.0,0.0565,0.0
33,506880,train,2026-07-07 00:03:19,0.0078,5.4696,90.0,0.0608,0.0
35,529920,train,2026-07-07 00:04:26,0.0039,5.007,90.0,0.0556,0.0
36,552960,train,2026-07-07 00:05:13,0.0156,5.3608,90.0,0.0596,0.0
38,576000,train,2026-07-07 00:06:20,0.0117,5.4636,90.0,0.0607,0.0
39,599040,train,2026-07-07 00:07:07,0.0078,6.1225,90.0,0.068,0.0
41,622080,train,2026-07-07 00:08:14,0.0117,5.9434,90.0,0.066,0.0
42,645120,train,2026-07-07 00:09:01,0.0156,5.7586,90.0,0.064,0.0
44,668160,train,2026-07-07 00:10:08,0.0117,5.6512,90.0,0.0628,0.0
45,691200,train,2026-07-07 00:10:55,0.0156,6.2066,90.0,0.069,0.0
47,714240,train,2026-07-07 00:12:02,0.0391,6.2438,90.0,0.0694,0.0
48,737280,train,2026-07-07 00:12:49,0.0234,5.6694,90.0,0.063,0.0
49,737280,eval,2026-07-07 00:14:52,0.2344,12.5789,90.0,0.1398,0.0547
50,760320,train,2026-07-07 00:15:39,0.0234,6.0275,90.0,0.067,0.0
51,783360,train,2026-07-07 00:16:26,0.0078,6.2919,90.0,0.0699,0.0
