iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-04 04:00:39,0.0,0.0657,90.0,0.0007,0.0
2,23040,train,2026-07-04 04:01:59,0.0,0.1542,90.0,0.0017,0.0
3,46080,train,2026-07-04 04:03:19,0.0,0.1892,90.0,0.0021,0.0
5,69120,train,2026-07-04 04:04:41,0.0,0.4657,90.0,0.0052,0.0
6,92160,train,2026-07-04 04:06:01,0.0,0.7538,90.0,0.0084,0.0
8,115200,train,2026-07-04 04:07:24,0.0078,1.8641,90.0,0.0207,0.0
9,138240,train,2026-07-04 04:08:46,0.0039,2.0104,90.0,0.0223,0.0
11,161280,train,2026-07-04 04:10:09,0.0117,2.7408,90.0,0.0305,0.0
12,184320,train,2026-07-04 04:11:30,0.0234,3.1968,90.0,0.0355,0.0
14,207360,train,2026-07-04 04:12:53,0.0117,3.4535,90.0,0.0384,0.0
15,230400,train,2026-07-04 04:14:14,0.0312,3.7399,90.0,0.0416,0.0
17,253440,train,2026-07-04 04:15:37,0.0078,3.8591,90.0,0.0429,0.0
18,276480,train,2026-07-04 04:16:58,0.0117,4.142,90.0,0.046,0.0
20,299520,train,2026-07-04 04:18:22,0.0234,4.1387,90.0,0.046,0.0
21,322560,train,2026-07-04 04:19:45,0.0234,5.0249,90.0,0.0558,0.0
23,345600,train,2026-07-04 04:21:08,0.0117,5.018,90.0,0.0558,0.0
24,368640,train,2026-07-04 04:22:30,0.0234,4.1153,90.0,0.0457,0.0
25,368640,eval,2026-07-04 04:25:00,0.2266,14.9389,90.0,0.166,0.1406
26,391680,train,2026-07-04 04:26:22,0.0156,4.6031,90.0,0.0511,0.0
27,414720,train,2026-07-04 04:27:44,0.0039,4.749,90.0,0.0528,0.0
29,437760,train,2026-07-04 04:29:07,0.0156,4.8152,90.0,0.0535,0.0
30,460800,train,2026-07-04 04:30:28,0.0195,4.739,90.0,0.0527,0.0
32,483840,train,2026-07-04 04:31:50,0.0039,5.6836,90.0,0.0632,0.0
33,506880,train,2026-07-04 04:33:11,0.0234,5.3394,90.0,0.0593,0.0
35,529920,train,2026-07-04 04:34:34,0.0195,5.775,90.0,0.0642,0.0
36,552960,train,2026-07-04 04:35:57,0.0156,5.498,90.0,0.0611,0.0
38,576000,train,2026-07-04 04:37:21,0.0078,6.3003,90.0,0.07,0.0
39,599040,train,2026-07-04 04:38:43,0.0117,6.1235,90.0,0.068,0.0
41,622080,train,2026-07-04 04:40:06,0.0273,5.8034,90.0,0.0645,0.0
42,645120,train,2026-07-04 04:41:28,0.0234,6.3589,90.0,0.0707,0.0
44,668160,train,2026-07-04 04:42:51,0.0156,6.7372,90.0,0.0749,0.0
45,691200,train,2026-07-04 04:44:13,0.0117,7.4343,90.0,0.0826,0.0
47,714240,train,2026-07-04 04:45:37,0.0156,7.4909,90.0,0.0832,0.0
48,737280,train,2026-07-04 04:47:07,0.0508,7.8495,90.0,0.0872,0.0
49,737280,eval,2026-07-04 04:49:31,0.2734,19.6248,90.0,0.2181,0.125
50,760320,train,2026-07-04 04:50:51,0.0234,7.8097,90.0,0.0868,0.0
51,783360,train,2026-07-04 04:52:12,0.0078,8.325,90.0,0.0925,0.0
53,806400,train,2026-07-04 04:53:37,0.0312,8.1367,90.0,0.0904,0.0
54,829440,train,2026-07-04 04:54:58,0.0352,9.0583,90.0,0.1006,0.0
56,852480,train,2026-07-04 04:56:21,0.0156,8.0068,90.0,0.089,0.0
57,875520,train,2026-07-04 04:57:42,0.0156,9.8864,90.0,0.1098,0.0
59,898560,train,2026-07-04 04:59:05,0.0508,11.5135,90.0,0.1279,0.0
60,921600,train,2026-07-04 05:00:26,0.0586,11.0414,90.0,0.1227,0.0
62,944640,train,2026-07-04 05:01:49,0.0312,11.1221,90.0,0.1236,0.0
63,967680,train,2026-07-04 05:03:09,0.0273,12.5562,90.0,0.1395,0.0
65,990720,train,2026-07-04 05:04:32,0.0234,11.808,90.0,0.1312,0.0
66,1013760,train,2026-07-04 05:05:54,0.0273,12.2715,90.0,0.1364,0.0039
68,1036800,train,2026-07-04 05:07:16,0.0508,12.0813,90.0,0.1342,0.0
69,1059840,train,2026-07-04 05:08:37,0.0352,12.9124,90.0,0.1435,0.0
71,1082880,train,2026-07-04 05:10:08,0.0352,12.3879,90.0,0.1376,0.0
72,1105920,train,2026-07-04 05:11:41,0.0625,13.5152,90.0,0.1502,0.0
73,1105920,eval,2026-07-04 05:13:56,0.4766,32.9744,90.0,0.3664,0.3359
74,1128960,train,2026-07-04 05:15:17,0.0312,12.3239,90.0,0.1369,0.0
75,1152000,train,2026-07-04 05:16:39,0.0508,11.8828,90.0,0.132,0.0
77,1175040,train,2026-07-04 05:18:02,0.0391,13.0503,90.0,0.145,0.0
78,1198080,train,2026-07-04 05:19:24,0.0234,13.8376,90.0,0.1538,0.0
80,1221120,train,2026-07-04 05:20:47,0.0469,14.2362,90.0,0.1582,0.0
81,1244160,train,2026-07-04 05:22:09,0.0312,14.4885,90.0,0.161,0.0
83,1267200,train,2026-07-04 05:23:32,0.0273,12.8956,90.0,0.1433,0.0
84,1290240,train,2026-07-04 05:24:54,0.0312,15.607,90.0,0.1734,0.0
86,1313280,train,2026-07-04 05:26:17,0.0586,14.7474,90.0,0.1639,0.0039
87,1336320,train,2026-07-04 05:27:39,0.0586,13.5684,90.0,0.1508,0.0039
89,1359360,train,2026-07-04 05:29:03,0.0625,16.3099,90.0,0.1812,0.0
90,1382400,train,2026-07-04 05:30:24,0.0391,15.918,90.0,0.1769,0.0
92,1405440,train,2026-07-04 05:31:46,0.0547,14.8402,90.0,0.1649,0.0
93,1428480,train,2026-07-04 05:33:09,0.0469,15.0589,90.0,0.1673,0.0
95,1451520,train,2026-07-04 05:34:45,0.0234,11.8696,90.0,0.1319,0.0
96,1474560,train,2026-07-04 05:36:18,0.0391,13.9739,90.0,0.1553,0.0
97,1474560,eval,2026-07-04 05:38:41,0.4453,37.3514,90.0,0.415,0.3672
98,1497600,train,2026-07-04 05:40:02,0.0469,14.6144,90.0,0.1624,0.0
99,1520640,train,2026-07-04 05:41:23,0.0586,15.7072,90.0,0.1745,0.0
101,1543680,train,2026-07-04 05:42:46,0.043,17.0444,90.0,0.1894,0.0
102,1566720,train,2026-07-04 05:44:09,0.0508,16.6245,90.0,0.1847,0.0
104,1589760,train,2026-07-04 05:45:33,0.043,16.6361,90.0,0.1848,0.0
105,1612800,train,2026-07-04 05:46:55,0.0508,17.1406,90.0,0.1905,0.0
107,1635840,train,2026-07-04 05:48:17,0.0547,15.2126,90.0,0.169,0.0
108,1658880,train,2026-07-04 05:49:39,0.0742,18.3586,90.0,0.204,0.0
110,1681920,train,2026-07-04 05:51:03,0.0625,15.4038,90.0,0.1712,0.0
111,1704960,train,2026-07-04 05:52:25,0.0781,17.5477,90.0,0.195,0.0
113,1728000,train,2026-07-04 05:53:48,0.0703,17.5044,90.0,0.1945,0.0
114,1751040,train,2026-07-04 05:55:11,0.0625,18.3154,90.0,0.2035,0.0
116,1774080,train,2026-07-04 05:56:34,0.0703,17.0967,90.0,0.19,0.0
117,1797120,train,2026-07-04 05:57:57,0.0859,17.9615,90.0,0.1996,0.0
119,1820160,train,2026-07-04 05:59:26,0.0703,14.9407,90.0,0.166,0.0
120,1843200,train,2026-07-04 06:01:01,0.0664,18.4936,90.0,0.2055,0.0
121,1843200,eval,2026-07-04 06:03:19,0.7188,46.6796,90.0,0.5187,0.5156
122,1866240,train,2026-07-04 06:04:40,0.0703,16.7671,90.0,0.1863,0.0
123,1889280,train,2026-07-04 06:06:03,0.082,16.845,90.0,0.1872,0.0
125,1912320,train,2026-07-04 06:07:26,0.0469,16.1383,90.0,0.1793,0.0
126,1935360,train,2026-07-04 06:08:49,0.0508,17.8559,90.0,0.1984,0.0
128,1958400,train,2026-07-04 06:10:13,0.0664,17.2331,90.0,0.1915,0.0
129,1981440,train,2026-07-04 06:11:35,0.0664,16.456,90.0,0.1828,0.0
131,2004480,train,2026-07-04 06:12:58,0.0547,13.3362,90.0,0.1482,0.0
132,2027520,train,2026-07-04 06:14:20,0.0742,17.7232,90.0,0.1969,0.0
134,2050560,train,2026-07-04 06:15:44,0.0977,16.9143,90.0,0.1879,0.0039
135,2073600,train,2026-07-04 06:17:07,0.0703,15.5342,90.0,0.1726,0.0
137,2096640,train,2026-07-04 06:18:31,0.0859,17.3294,90.0,0.1925,0.0039
138,2119680,train,2026-07-04 06:19:53,0.1211,17.4103,90.0,0.1934,0.0
140,2142720,train,2026-07-04 06:21:16,0.0547,16.0803,90.0,0.1787,0.0
141,2165760,train,2026-07-04 06:22:38,0.0898,17.1751,90.0,0.1908,0.0039
143,2188800,train,2026-07-04 06:24:14,0.0859,17.0729,90.0,0.1897,0.0
144,2211840,train,2026-07-04 06:25:40,0.0391,15.246,90.0,0.1694,0.0
145,2211840,eval,2026-07-04 06:27:52,0.4922,35.5342,90.0,0.3948,0.4297
146,2234880,train,2026-07-04 06:29:13,0.0898,16.2405,90.0,0.1804,0.0
147,2257920,train,2026-07-04 06:30:35,0.1289,19.065,90.0,0.2118,0.0
149,2280960,train,2026-07-04 06:31:59,0.0859,18.8134,90.0,0.209,0.0
150,2304000,train,2026-07-04 06:33:21,0.0664,18.1455,90.0,0.2016,0.0
152,2327040,train,2026-07-04 06:34:44,0.1055,19.4351,90.0,0.2159,0.0
153,2350080,train,2026-07-04 06:36:06,0.125,19.1775,90.0,0.2131,0.0039
155,2373120,train,2026-07-04 06:37:29,0.1328,19.8047,90.0,0.2201,0.0
156,2396160,train,2026-07-04 06:38:50,0.1016,21.084,90.0,0.2343,0.0
158,2419200,train,2026-07-04 06:40:13,0.1094,17.3882,90.0,0.1932,0.0
159,2442240,train,2026-07-04 06:41:35,0.1211,20.0871,90.0,0.2232,0.0039
161,2465280,train,2026-07-04 06:42:57,0.1758,21.5406,90.0,0.2393,0.0039
162,2488320,train,2026-07-04 06:44:19,0.0781,19.8962,90.0,0.2211,0.0039
164,2511360,train,2026-07-04 06:45:41,0.1445,21.179,90.0,0.2353,0.0
165,2534400,train,2026-07-04 06:47:11,0.1484,20.6408,90.0,0.2293,0.0039
167,2557440,train,2026-07-04 06:48:43,0.1406,21.7217,90.0,0.2414,0.0
168,2580480,train,2026-07-04 06:50:05,0.1016,21.9557,90.0,0.244,0.0
169,2580480,eval,2026-07-04 06:52:19,0.6016,45.2078,90.0,0.5023,0.3984
170,2603520,train,2026-07-04 06:53:40,0.1406,21.6137,90.0,0.2402,0.0
171,2626560,train,2026-07-04 06:55:01,0.1445,21.6955,90.0,0.2411,0.0
173,2649600,train,2026-07-04 06:56:24,0.1094,22.0147,90.0,0.2446,0.0
