iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-03 12:57:59,0.0,2.0342,90.0,0.0226,0.0
2,23040,train,2026-07-03 12:58:42,0.0,2.3416,90.0,0.026,0.0
3,46080,train,2026-07-03 12:59:25,0.0,3.6164,90.0,0.0402,0.0
5,69120,train,2026-07-03 13:00:29,0.0,4.7196,90.0,0.0524,0.0
6,92160,train,2026-07-03 13:01:13,0.0078,5.6371,90.0,0.0626,0.0
8,115200,train,2026-07-03 13:02:18,0.0,6.4917,90.0,0.0721,0.0
9,138240,train,2026-07-03 13:03:05,0.0117,6.6896,90.0,0.0743,0.0
11,161280,train,2026-07-03 13:04:11,0.0078,7.5156,90.0,0.0835,0.0039
12,184320,train,2026-07-03 13:04:56,0.0078,7.1929,90.0,0.0799,0.0
14,207360,train,2026-07-03 13:05:59,0.0039,7.5683,90.0,0.0841,0.0
15,230400,train,2026-07-03 13:06:43,0.0,7.4099,90.0,0.0823,0.0
17,253440,train,2026-07-03 13:07:47,0.0,7.3797,90.0,0.082,0.0
18,276480,train,2026-07-03 13:08:32,0.0,7.6647,90.0,0.0852,0.0
20,299520,train,2026-07-03 13:09:35,0.0,7.8637,90.0,0.0874,0.0
21,322560,train,2026-07-03 13:10:20,0.0,8.0671,90.0,0.0896,0.0
23,345600,train,2026-07-03 13:11:24,0.0039,8.6701,90.0,0.0963,0.0
24,368640,train,2026-07-03 13:12:08,0.0078,7.6409,90.0,0.0849,0.0
25,368640,eval,2026-07-03 13:14:23,0.2266,18.4771,90.0,0.2053,0.2188
26,391680,train,2026-07-03 13:15:06,0.0,8.2392,90.0,0.0915,0.0
27,414720,train,2026-07-03 13:15:51,0.0,7.7235,90.0,0.0858,0.0
29,437760,train,2026-07-03 13:16:56,0.0,7.8471,90.0,0.0872,0.0
30,460800,train,2026-07-03 13:17:41,0.0156,8.3603,90.0,0.0929,0.0
32,483840,train,2026-07-03 13:18:46,0.0156,8.4717,90.0,0.0941,0.0
33,506880,train,2026-07-03 13:19:31,0.0,8.2302,90.0,0.0914,0.0
35,529920,train,2026-07-03 13:20:35,0.0039,8.3394,90.0,0.0927,0.0
36,552960,train,2026-07-03 13:21:20,0.0117,8.5332,90.0,0.0948,0.0
38,576000,train,2026-07-03 13:22:25,0.0039,8.4877,90.0,0.0943,0.0
39,599040,train,2026-07-03 13:23:10,0.0195,8.4392,90.0,0.0938,0.0
41,622080,train,2026-07-03 13:24:14,0.0039,7.9515,90.0,0.0883,0.0
42,645120,train,2026-07-03 13:24:59,0.0156,8.5041,90.0,0.0945,0.0
44,668160,train,2026-07-03 13:26:05,0.0078,8.171,90.0,0.0908,0.0
45,691200,train,2026-07-03 13:26:53,0.0039,8.8112,90.0,0.0979,0.0
47,714240,train,2026-07-03 13:28:00,0.0039,8.8391,90.0,0.0982,0.0
48,737280,train,2026-07-03 13:28:46,0.0078,8.6467,90.0,0.0961,0.0
49,737280,eval,2026-07-03 13:31:00,0.2578,20.2459,90.0,0.225,0.2266
50,760320,train,2026-07-03 13:31:46,0.0078,8.6527,90.0,0.0961,0.0
51,783360,train,2026-07-03 13:32:32,0.0078,9.107,90.0,0.1012,0.0
53,806400,train,2026-07-03 13:33:37,0.0078,8.4562,90.0,0.094,0.0
54,829440,train,2026-07-03 13:34:22,0.0039,7.9652,90.0,0.0885,0.0
56,852480,train,2026-07-03 13:35:27,0.0039,8.8073,90.0,0.0979,0.0
57,875520,train,2026-07-03 13:36:12,0.0078,9.1375,90.0,0.1015,0.0
59,898560,train,2026-07-03 13:37:16,0.0078,8.7822,90.0,0.0976,0.0
60,921600,train,2026-07-03 13:38:02,0.0,8.2748,90.0,0.0919,0.0
62,944640,train,2026-07-03 13:39:06,0.0156,8.9076,90.0,0.099,0.0
63,967680,train,2026-07-03 13:39:51,0.0078,8.6868,90.0,0.0965,0.0
65,990720,train,2026-07-03 13:40:55,0.0039,7.9163,90.0,0.088,0.0
66,1013760,train,2026-07-03 13:41:41,0.0078,8.0966,90.0,0.09,0.0
68,1036800,train,2026-07-03 13:42:46,0.0078,8.6822,90.0,0.0965,0.0
69,1059840,train,2026-07-03 13:43:31,0.0,8.7034,90.0,0.0967,0.0
71,1082880,train,2026-07-03 13:44:36,0.0117,8.3738,90.0,0.093,0.0
72,1105920,train,2026-07-03 13:45:20,0.0195,8.7429,90.0,0.0971,0.0
73,1105920,eval,2026-07-03 13:47:34,0.2891,21.7575,90.0,0.2418,0.2422
74,1128960,train,2026-07-03 13:48:20,0.0039,8.2736,90.0,0.0919,0.0
75,1152000,train,2026-07-03 13:49:05,0.0078,8.7294,90.0,0.097,0.0
77,1175040,train,2026-07-03 13:50:12,0.0078,8.2769,90.0,0.092,0.0
78,1198080,train,2026-07-03 13:50:59,0.0,9.0123,90.0,0.1001,0.0
80,1221120,train,2026-07-03 13:52:06,0.0195,8.6937,90.0,0.0966,0.0
81,1244160,train,2026-07-03 13:52:51,0.0039,8.2416,90.0,0.0916,0.0
83,1267200,train,2026-07-03 13:53:55,0.0078,8.6895,90.0,0.0965,0.0
