iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-04 05:26:30,0.0,2.0365,90.0,0.0226,0.0
2,23040,train,2026-07-04 05:27:13,0.0,2.0514,90.0,0.0228,0.0
3,46080,train,2026-07-04 05:27:56,0.0,2.9975,90.0,0.0333,0.0
5,69120,train,2026-07-04 05:29:01,0.0,4.1171,90.0,0.0457,0.0
6,92160,train,2026-07-04 05:29:45,0.0,5.5203,90.0,0.0613,0.0
8,115200,train,2026-07-04 05:30:50,0.0117,6.5345,90.0,0.0726,0.0
9,138240,train,2026-07-04 05:31:35,0.0117,7.8215,90.0,0.0869,0.0
11,161280,train,2026-07-04 05:32:41,0.0078,7.7808,90.0,0.0865,0.0
12,184320,train,2026-07-04 05:33:27,0.0078,8.0486,90.0,0.0894,0.0
14,207360,train,2026-07-04 05:34:36,0.0078,8.2133,90.0,0.0913,0.0
15,230400,train,2026-07-04 05:35:23,0.0156,7.9937,90.0,0.0888,0.0
17,253440,train,2026-07-04 05:36:31,0.0195,8.3147,90.0,0.0924,0.0039
18,276480,train,2026-07-04 05:37:18,0.0,8.3338,90.0,0.0926,0.0
20,299520,train,2026-07-04 05:38:25,0.0117,7.8836,90.0,0.0876,0.0
21,322560,train,2026-07-04 05:39:10,0.0117,8.7465,90.0,0.0972,0.0
23,345600,train,2026-07-04 05:40:16,0.0039,8.4084,90.0,0.0934,0.0
24,368640,train,2026-07-04 05:41:01,0.0039,8.6964,90.0,0.0966,0.0
25,368640,eval,2026-07-04 05:43:00,0.3594,26.1734,90.0,0.2908,0.3359
26,391680,train,2026-07-04 05:43:45,0.0117,8.9141,90.0,0.099,0.0
27,414720,train,2026-07-04 05:44:30,0.0,9.0301,90.0,0.1003,0.0
29,437760,train,2026-07-04 05:45:36,0.0078,8.4385,90.0,0.0938,0.0
30,460800,train,2026-07-04 05:46:22,0.0117,8.6296,90.0,0.0959,0.0
32,483840,train,2026-07-04 05:47:28,0.0078,8.5415,90.0,0.0949,0.0
33,506880,train,2026-07-04 05:48:13,0.0117,8.9817,90.0,0.0998,0.0
35,529920,train,2026-07-04 05:49:19,0.0156,8.9246,90.0,0.0992,0.0
36,552960,train,2026-07-04 05:50:04,0.0039,8.3533,90.0,0.0928,0.0
38,576000,train,2026-07-04 05:51:10,0.0078,8.7818,90.0,0.0976,0.0
39,599040,train,2026-07-04 05:51:56,0.0078,8.8301,90.0,0.0981,0.0
41,622080,train,2026-07-04 05:53:02,0.0,8.8807,90.0,0.0987,0.0
42,645120,train,2026-07-04 05:53:47,0.0117,8.829,90.0,0.0981,0.0
44,668160,train,2026-07-04 05:54:53,0.0078,8.9687,90.0,0.0997,0.0
45,691200,train,2026-07-04 05:55:39,0.0078,9.1316,90.0,0.1015,0.0
47,714240,train,2026-07-04 05:56:44,0.0195,8.5763,90.0,0.0953,0.0
48,737280,train,2026-07-04 05:57:30,0.0156,8.9899,90.0,0.0999,0.0
49,737280,eval,2026-07-04 05:59:33,0.3828,22.8389,90.0,0.2538,0.1719
50,760320,train,2026-07-04 06:00:20,0.0039,8.97,90.0,0.0997,0.0
51,783360,train,2026-07-04 06:01:07,0.0234,9.2985,90.0,0.1033,0.0
53,806400,train,2026-07-04 06:02:14,0.0078,8.4684,90.0,0.0941,0.0
54,829440,train,2026-07-04 06:02:59,0.0039,8.8935,90.0,0.0988,0.0
56,852480,train,2026-07-04 06:04:06,0.0078,8.6874,90.0,0.0965,0.0
57,875520,train,2026-07-04 06:04:52,0.0195,8.6269,90.0,0.0959,0.0
59,898560,train,2026-07-04 06:05:58,0.0039,9.0445,90.0,0.1005,0.0
60,921600,train,2026-07-04 06:06:43,0.0039,9.0153,90.0,0.1002,0.0
62,944640,train,2026-07-04 06:07:49,0.0117,8.9237,90.0,0.0992,0.0
63,967680,train,2026-07-04 06:08:34,0.0039,9.2812,90.0,0.1031,0.0
65,990720,train,2026-07-04 06:09:40,0.0078,8.9454,90.0,0.0994,0.0
66,1013760,train,2026-07-04 06:10:25,0.0117,8.9539,90.0,0.0995,0.0
68,1036800,train,2026-07-04 06:11:31,0.0039,8.7656,90.0,0.0974,0.0
69,1059840,train,2026-07-04 06:12:16,0.0,9.052,90.0,0.1006,0.0
71,1082880,train,2026-07-04 06:13:22,0.0039,9.0254,90.0,0.1003,0.0
72,1105920,train,2026-07-04 06:14:07,0.0117,8.6434,90.0,0.096,0.0
73,1105920,eval,2026-07-04 06:16:04,0.3281,20.5139,90.0,0.2279,0.2344
74,1128960,train,2026-07-04 06:16:49,0.0078,7.9161,90.0,0.088,0.0
75,1152000,train,2026-07-04 06:17:34,0.0078,8.3042,90.0,0.0923,0.0
77,1175040,train,2026-07-04 06:18:40,0.0078,8.7496,90.0,0.0972,0.0
78,1198080,train,2026-07-04 06:19:26,0.0195,8.7942,90.0,0.0977,0.0
80,1221120,train,2026-07-04 06:20:32,0.0117,8.8478,90.0,0.0983,0.0
81,1244160,train,2026-07-04 06:21:18,0.0117,8.75,90.0,0.0972,0.0
83,1267200,train,2026-07-04 06:22:24,0.0078,8.6651,90.0,0.0963,0.0
84,1290240,train,2026-07-04 06:23:11,0.0039,8.8787,90.0,0.0987,0.0
86,1313280,train,2026-07-04 06:24:21,0.0117,9.1267,90.0,0.1014,0.0
87,1336320,train,2026-07-04 06:25:07,0.0039,8.3161,90.0,0.0924,0.0
89,1359360,train,2026-07-04 06:26:14,0.0156,9.269,90.0,0.103,0.0
90,1382400,train,2026-07-04 06:27:00,0.0156,9.9274,90.0,0.1103,0.0
92,1405440,train,2026-07-04 06:28:06,0.0117,9.327,90.0,0.1036,0.0
93,1428480,train,2026-07-04 06:28:52,0.0078,8.9051,90.0,0.0989,0.0
95,1451520,train,2026-07-04 06:29:58,0.0078,9.0298,90.0,0.1003,0.0
96,1474560,train,2026-07-04 06:30:44,0.0195,9.175,90.0,0.1019,0.0
97,1474560,eval,2026-07-04 06:32:43,0.3516,27.6884,90.0,0.3076,0.3125
98,1497600,train,2026-07-04 06:33:28,0.0039,8.8134,90.0,0.0979,0.0
99,1520640,train,2026-07-04 06:34:13,0.0117,9.1757,90.0,0.102,0.0
101,1543680,train,2026-07-04 06:35:20,0.0234,9.3198,90.0,0.1036,0.0
102,1566720,train,2026-07-04 06:36:05,0.0195,9.6131,90.0,0.1068,0.0
104,1589760,train,2026-07-04 06:37:12,0.0078,8.8956,90.0,0.0988,0.0
105,1612800,train,2026-07-04 06:37:58,0.0078,9.0721,90.0,0.1008,0.0
107,1635840,train,2026-07-04 06:39:04,0.0078,8.9248,90.0,0.0992,0.0
108,1658880,train,2026-07-04 06:39:50,0.0156,8.662,90.0,0.0962,0.0
110,1681920,train,2026-07-04 06:40:57,0.0078,8.8351,90.0,0.0982,0.0
111,1704960,train,2026-07-04 06:41:43,0.0234,9.0157,90.0,0.1002,0.0
113,1728000,train,2026-07-04 06:42:50,0.0156,9.5222,90.0,0.1058,0.0
114,1751040,train,2026-07-04 06:43:36,0.0078,9.0857,90.0,0.101,0.0
116,1774080,train,2026-07-04 06:44:42,0.0195,9.4848,90.0,0.1054,0.0039
117,1797120,train,2026-07-04 06:45:28,0.0078,9.8906,90.0,0.1099,0.0
119,1820160,train,2026-07-04 06:46:35,0.0078,9.3286,90.0,0.1037,0.0
120,1843200,train,2026-07-04 06:47:23,0.0117,9.3827,90.0,0.1043,0.0
121,1843200,eval,2026-07-04 06:49:28,0.3984,29.6133,90.0,0.329,0.3125
122,1866240,train,2026-07-04 06:50:14,0.043,9.4833,90.0,0.1054,0.0
123,1889280,train,2026-07-04 06:50:59,0.0391,8.973,90.0,0.0997,0.0
125,1912320,train,2026-07-04 06:52:06,0.0117,8.9551,90.0,0.0995,0.0
126,1935360,train,2026-07-04 06:52:52,0.0117,9.5715,90.0,0.1064,0.0
128,1958400,train,2026-07-04 06:53:59,0.0195,8.9572,90.0,0.0995,0.0
129,1981440,train,2026-07-04 06:54:44,0.0117,8.9955,90.0,0.0999,0.0
131,2004480,train,2026-07-04 06:55:51,0.0195,9.2205,90.0,0.1025,0.0
132,2027520,train,2026-07-04 06:56:37,0.0312,9.3644,90.0,0.104,0.0
134,2050560,train,2026-07-04 06:57:43,0.0195,9.1278,90.0,0.1014,0.0
135,2073600,train,2026-07-04 06:58:29,0.0273,8.8089,90.0,0.0979,0.0
137,2096640,train,2026-07-04 06:59:36,0.0273,8.9435,90.0,0.0994,0.0
138,2119680,train,2026-07-04 07:00:21,0.0195,9.5392,90.0,0.106,0.0
140,2142720,train,2026-07-04 07:01:28,0.0352,9.3799,90.0,0.1042,0.0
