iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-02 03:40:30,0.0,0.983,180.0,0.0055,0.0
3,46080,train,2026-07-02 03:43:00,0.0,1.0153,180.0,0.0056,0.0
6,92160,train,2026-07-02 03:45:35,0.0,3.0008,180.0,0.0167,0.0
9,138240,train,2026-07-02 03:48:10,0.0,4.358,180.0,0.0242,0.0
12,184320,train,2026-07-02 03:50:44,0.0,4.8447,180.0,0.0269,0.0
15,230400,train,2026-07-02 03:53:20,0.0,5.2177,180.0,0.029,0.0
18,276480,train,2026-07-02 03:55:57,0.0,5.5523,180.0,0.0308,0.0
21,322560,train,2026-07-02 03:58:32,0.0,5.8296,180.0,0.0324,0.0
24,368640,train,2026-07-02 04:01:08,0.0,6.2786,180.0,0.0349,0.0
25,368640,eval,2026-07-02 04:03:10,0.0,8.7688,180.0,0.0487,0.0
27,414720,train,2026-07-02 04:05:44,0.0,6.6348,180.0,0.0369,0.0
30,460800,train,2026-07-02 04:08:19,0.0,6.6142,180.0,0.0367,0.0
33,506880,train,2026-07-02 04:10:54,0.0,6.767,180.0,0.0376,0.0
36,552960,train,2026-07-02 04:13:28,0.0,6.7248,180.0,0.0374,0.0
39,599040,train,2026-07-02 04:16:04,0.0,6.7931,180.0,0.0377,0.0
42,645120,train,2026-07-02 04:18:40,0.0,7.0917,180.0,0.0394,0.0
45,691200,train,2026-07-02 04:21:15,0.0,6.5761,180.0,0.0365,0.0
48,737280,train,2026-07-02 04:23:50,0.0,6.7347,180.0,0.0374,0.0
49,737280,eval,2026-07-02 04:25:50,0.0,9.15,180.0,0.0508,0.0
51,783360,train,2026-07-02 04:28:24,0.0,6.9201,180.0,0.0384,0.0
54,829440,train,2026-07-02 04:30:59,0.0,6.8812,180.0,0.0382,0.0
57,875520,train,2026-07-02 04:33:34,0.0,6.9972,180.0,0.0389,0.0
60,921600,train,2026-07-02 04:36:08,0.0,7.0419,180.0,0.0391,0.0
63,967680,train,2026-07-02 04:38:45,0.0,7.171,180.0,0.0398,0.0
66,1013760,train,2026-07-02 04:41:21,0.0,7.0108,180.0,0.0389,0.0
69,1059840,train,2026-07-02 04:43:57,0.0,7.1474,180.0,0.0397,0.0
72,1105920,train,2026-07-02 04:46:32,0.0,7.1682,180.0,0.0398,0.0
73,1105920,eval,2026-07-02 04:48:31,0.0,9.1302,180.0,0.0507,0.0
75,1152000,train,2026-07-02 04:51:06,0.0,7.3532,180.0,0.0409,0.0
78,1198080,train,2026-07-02 04:53:41,0.0,7.438,180.0,0.0413,0.0
81,1244160,train,2026-07-02 04:56:17,0.0,7.4442,180.0,0.0414,0.0
84,1290240,train,2026-07-02 04:58:52,0.0,7.5038,180.0,0.0417,0.0
87,1336320,train,2026-07-02 05:01:28,0.0,7.4267,180.0,0.0413,0.0
90,1382400,train,2026-07-02 05:04:03,0.0,7.6129,180.0,0.0423,0.0
93,1428480,train,2026-07-02 05:06:38,0.0,7.7273,180.0,0.0429,0.0
96,1474560,train,2026-07-02 05:09:13,0.0,7.7802,180.0,0.0432,0.0
97,1474560,eval,2026-07-02 05:11:12,0.0,9.1738,180.0,0.051,0.0
99,1520640,train,2026-07-02 05:13:49,0.0,7.4485,180.0,0.0414,0.0
102,1566720,train,2026-07-02 05:16:25,0.0,7.2399,180.0,0.0402,0.0
105,1612800,train,2026-07-02 05:19:01,0.0,7.0518,180.0,0.0392,0.0
108,1658880,train,2026-07-02 05:21:37,0.0,7.3652,180.0,0.0409,0.0
111,1704960,train,2026-07-02 05:24:14,0.0,7.5545,180.0,0.042,0.0
114,1751040,train,2026-07-02 05:26:51,0.0,7.5118,180.0,0.0417,0.0
117,1797120,train,2026-07-02 05:29:27,0.0,7.4767,180.0,0.0415,0.0
120,1843200,train,2026-07-02 05:32:02,0.0,7.6529,180.0,0.0425,0.0
121,1843200,eval,2026-07-02 05:34:00,0.0,9.1248,180.0,0.0507,0.0
123,1889280,train,2026-07-02 05:36:33,0.0,7.6978,180.0,0.0428,0.0
126,1935360,train,2026-07-02 05:39:10,0.0,7.8695,180.0,0.0437,0.0
129,1981440,train,2026-07-02 05:41:44,0.0,7.6505,180.0,0.0425,0.0
132,2027520,train,2026-07-02 05:44:18,0.0,7.6196,180.0,0.0423,0.0
135,2073600,train,2026-07-02 05:46:55,0.0,7.4898,180.0,0.0416,0.0
138,2119680,train,2026-07-02 05:49:31,0.0,7.7134,180.0,0.0429,0.0
141,2165760,train,2026-07-02 05:52:06,0.0,7.564,180.0,0.042,0.0
144,2211840,train,2026-07-02 05:54:42,0.0,7.65,180.0,0.0425,0.0
145,2211840,eval,2026-07-02 05:56:41,0.0,9.4886,180.0,0.0527,0.0
147,2257920,train,2026-07-02 05:59:16,0.0,7.6871,180.0,0.0427,0.0
150,2304000,train,2026-07-02 06:01:55,0.0,7.8872,180.0,0.0438,0.0
153,2350080,train,2026-07-02 06:04:31,0.0,7.9048,180.0,0.0439,0.0
156,2396160,train,2026-07-02 06:07:07,0.0,7.8575,180.0,0.0437,0.0
159,2442240,train,2026-07-02 06:09:45,0.0,7.9686,180.0,0.0443,0.0
162,2488320,train,2026-07-02 06:12:21,0.0,7.9132,180.0,0.044,0.0
165,2534400,train,2026-07-02 06:14:57,0.0,7.7556,180.0,0.0431,0.0
168,2580480,train,2026-07-02 06:17:34,0.0,7.7753,180.0,0.0432,0.0
169,2580480,eval,2026-07-02 06:19:33,0.0,9.08,180.0,0.0504,0.0
171,2626560,train,2026-07-02 06:22:06,0.0,8.1806,180.0,0.0454,0.0
174,2672640,train,2026-07-02 06:24:42,0.0,8.0452,180.0,0.0447,0.0
177,2718720,train,2026-07-02 06:27:19,0.0,8.1266,180.0,0.0451,0.0
