iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-07-02 06:33:42,0.0,0.8973,180.0,0.005,0.0
3,46080,train,2026-07-02 06:36:14,0.0,1.1724,180.0,0.0065,0.0
6,92160,train,2026-07-02 06:38:48,0.0,2.7128,180.0,0.0151,0.0
9,138240,train,2026-07-02 06:41:23,0.0,4.4819,180.0,0.0249,0.0
12,184320,train,2026-07-02 06:43:58,0.0,4.7182,180.0,0.0262,0.0
15,230400,train,2026-07-02 06:46:33,0.0,4.9489,180.0,0.0275,0.0
18,276480,train,2026-07-02 06:49:09,0.0,5.5988,180.0,0.0311,0.0
21,322560,train,2026-07-02 06:51:44,0.0,5.9315,180.0,0.033,0.0
24,368640,train,2026-07-02 06:54:19,0.0,6.0923,180.0,0.0338,0.0
25,368640,eval,2026-07-02 06:56:18,0.0,8.4685,180.0,0.047,0.0
27,414720,train,2026-07-02 06:58:51,0.0,6.6574,180.0,0.037,0.0
30,460800,train,2026-07-02 07:01:27,0.0,7.0486,180.0,0.0392,0.0
33,506880,train,2026-07-02 07:04:01,0.0,7.2467,180.0,0.0403,0.0
36,552960,train,2026-07-02 07:06:36,0.0,7.673,180.0,0.0426,0.0
39,599040,train,2026-07-02 07:09:12,0.0,7.8672,180.0,0.0437,0.0
42,645120,train,2026-07-02 07:11:46,0.0,7.9406,180.0,0.0441,0.0
45,691200,train,2026-07-02 07:14:23,0.0,8.0446,180.0,0.0447,0.0
48,737280,train,2026-07-02 07:16:58,0.0,8.3628,180.0,0.0465,0.0
49,737280,eval,2026-07-02 07:18:55,0.0,9.3778,180.0,0.0521,0.0
51,783360,train,2026-07-02 07:21:28,0.0,8.5042,180.0,0.0472,0.0
54,829440,train,2026-07-02 07:24:04,0.0,8.6248,180.0,0.0479,0.0
57,875520,train,2026-07-02 07:26:41,0.0,8.6977,180.0,0.0483,0.0
60,921600,train,2026-07-02 07:29:15,0.0,8.8098,180.0,0.0489,0.0
63,967680,train,2026-07-02 07:31:49,0.0,8.785,180.0,0.0488,0.0
66,1013760,train,2026-07-02 07:34:23,0.0,8.5865,180.0,0.0477,0.0
