iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-21 22:55:19,0.0,0.7348,90.0,0.0082,0.0
1,23040,train,2026-04-21 22:55:40,0.0,0.7838,90.0,0.0087,0.0
2,46080,train,2026-04-21 22:56:04,0.0,0.8306,90.0,0.0092,0.0
3,69120,train,2026-04-21 22:56:28,0.0,0.8637,90.0,0.0096,0.0
4,92160,train,2026-04-21 22:56:51,0.0,0.8738,90.0,0.0097,0.0
5,115200,train,2026-04-21 22:57:15,0.0,0.9617,90.0,0.0107,0.0
6,138240,train,2026-04-21 22:57:39,0.0,1.1031,90.0,0.0123,0.0
7,161280,train,2026-04-21 22:58:02,0.0,1.106,90.0,0.0123,0.0
8,184320,train,2026-04-21 22:58:26,0.0,1.1145,90.0,0.0124,0.0
9,207360,train,2026-04-21 22:58:50,0.0,1.2267,90.0,0.0136,0.0
10,230400,train,2026-04-21 22:59:14,0.0,1.249,90.0,0.0139,0.0
11,253440,train,2026-04-21 22:59:38,0.0195,1.556,90.0,0.0173,0.0
12,276480,train,2026-04-21 23:00:02,0.0039,1.48,90.0,0.0164,0.0
13,299520,train,2026-04-21 23:00:26,0.0156,1.901,90.0,0.0211,0.0039
14,322560,train,2026-04-21 23:00:50,0.0156,2.023,90.0,0.0225,0.0039
15,345600,train,2026-04-21 23:01:14,0.0117,1.9452,90.0,0.0216,0.0039
16,368640,train,2026-04-21 23:01:38,0.0312,2.6284,90.0,0.0292,0.0039
17,391680,train,2026-04-21 23:02:02,0.0273,2.5377,90.0,0.0282,0.0039
18,414720,train,2026-04-21 23:02:26,0.0195,2.2477,90.0,0.025,0.0
19,437760,train,2026-04-21 23:02:50,0.0195,2.5315,90.0,0.0281,0.0
20,460800,train,2026-04-21 23:03:14,0.0469,2.7785,90.0,0.0309,0.0
21,483840,train,2026-04-21 23:03:38,0.0547,3.5605,90.0,0.0396,0.0
22,506880,train,2026-04-21 23:04:02,0.0547,3.1745,90.0,0.0353,0.0039
23,529920,train,2026-04-21 23:04:26,0.0664,3.5395,90.0,0.0393,0.0
24,552960,train,2026-04-21 23:04:49,0.0586,3.2959,90.0,0.0366,0.0039
25,576000,train,2026-04-21 23:05:13,0.0742,3.3681,90.0,0.0374,0.0078
26,576000,eval,2026-04-21 23:07:03,0.1562,6.1413,90.0,0.0682,0.0156
26,599040,train,2026-04-21 23:07:25,0.0781,3.4086,90.0,0.0379,0.0039
27,622080,train,2026-04-21 23:07:49,0.0859,3.5427,90.0,0.0394,0.0
28,645120,train,2026-04-21 23:08:13,0.1055,3.6199,90.0,0.0402,0.0039
29,668160,train,2026-04-21 23:08:37,0.1172,4.5567,90.0,0.0506,0.0078
30,691200,train,2026-04-21 23:09:01,0.1094,4.0554,90.0,0.0451,0.0039
31,714240,train,2026-04-21 23:09:24,0.1133,4.6901,90.0,0.0521,0.0078
32,737280,train,2026-04-21 23:09:48,0.1172,4.4547,90.0,0.0495,0.0039
33,760320,train,2026-04-21 23:10:12,0.1172,4.7812,90.0,0.0531,0.0039
34,783360,train,2026-04-21 23:10:36,0.0977,4.6749,90.0,0.0519,0.0078
35,806400,train,2026-04-21 23:11:00,0.1719,5.5866,90.0,0.0621,0.0078
36,829440,train,2026-04-21 23:11:24,0.1797,5.4921,90.0,0.061,0.0156
37,852480,train,2026-04-21 23:11:48,0.1172,4.7686,90.0,0.053,0.0156
38,875520,train,2026-04-21 23:12:12,0.1914,5.1183,90.0,0.0569,0.0039
39,898560,train,2026-04-21 23:12:36,0.1641,4.8211,90.0,0.0536,0.0117
40,921600,train,2026-04-21 23:13:00,0.1602,4.7324,90.0,0.0526,0.0078
41,944640,train,2026-04-21 23:13:24,0.1875,5.4908,90.0,0.061,0.0039
42,967680,train,2026-04-21 23:13:48,0.1523,5.3734,90.0,0.0597,0.0039
43,990720,train,2026-04-21 23:14:12,0.1602,5.3544,90.0,0.0595,0.0078
