iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-23 02:22:50,0.0,0.7435,90.0,0.0083,0.0
1,23040,train,2026-04-23 02:23:11,0.0,0.7108,90.0,0.0079,0.0
2,46080,train,2026-04-23 02:23:35,0.0,0.7797,90.0,0.0087,0.0
3,69120,train,2026-04-23 02:23:58,0.0,0.806,90.0,0.009,0.0
4,92160,train,2026-04-23 02:24:21,0.0,0.8953,90.0,0.0099,0.0
5,115200,train,2026-04-23 02:24:44,0.0,0.9308,90.0,0.0103,0.0
6,138240,train,2026-04-23 02:25:08,0.0,0.947,90.0,0.0105,0.0
7,161280,train,2026-04-23 02:25:31,0.0,1.0514,90.0,0.0117,0.0
8,184320,train,2026-04-23 02:25:55,0.0,1.1009,90.0,0.0122,0.0
9,207360,train,2026-04-23 02:26:19,0.0,1.1337,90.0,0.0126,0.0
10,230400,train,2026-04-23 02:26:44,0.0039,1.1958,90.0,0.0133,0.0
11,253440,train,2026-04-23 02:27:08,0.0117,1.6096,90.0,0.0179,0.0
12,276480,train,2026-04-23 02:27:32,0.0039,1.5239,90.0,0.0169,0.0039
13,299520,train,2026-04-23 02:27:57,0.0078,1.53,90.0,0.017,0.0
14,322560,train,2026-04-23 02:28:21,0.0352,2.1047,90.0,0.0234,0.0
15,345600,train,2026-04-23 02:28:45,0.0156,1.7416,90.0,0.0194,0.0
16,368640,train,2026-04-23 02:29:09,0.0195,2.0211,90.0,0.0225,0.0078
17,391680,train,2026-04-23 02:29:33,0.0234,2.2414,90.0,0.0249,0.0
18,414720,train,2026-04-23 02:29:58,0.0312,2.1891,90.0,0.0243,0.0
19,437760,train,2026-04-23 02:30:22,0.043,2.4434,90.0,0.0271,0.0078
20,460800,train,2026-04-23 02:30:46,0.0391,2.5558,90.0,0.0284,0.0
21,483840,train,2026-04-23 02:31:10,0.0352,2.4453,90.0,0.0272,0.0
22,506880,train,2026-04-23 02:31:34,0.0117,2.1547,90.0,0.0239,0.0
23,529920,train,2026-04-23 02:31:58,0.0664,3.4143,90.0,0.0379,0.0
24,552960,train,2026-04-23 02:32:22,0.0469,2.845,90.0,0.0316,0.0
25,576000,train,2026-04-23 02:32:46,0.0586,3.4694,90.0,0.0385,0.0078
26,576000,eval,2026-04-23 02:34:36,0.0208,2.6825,90.0,0.0298,0.0
26,599040,train,2026-04-23 02:34:58,0.082,3.9151,90.0,0.0435,0.0117
