iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-23 10:42:09,0.0,0.7442,90.0,0.0083,0.0
1,23040,train,2026-04-23 10:42:30,0.0,0.7114,90.0,0.0079,0.0
2,46080,train,2026-04-23 10:42:53,0.0,0.811,90.0,0.009,0.0
3,69120,train,2026-04-23 10:43:16,0.0,0.8485,90.0,0.0094,0.0
4,92160,train,2026-04-23 10:43:39,0.0,0.9554,90.0,0.0106,0.0
5,115200,train,2026-04-23 10:44:02,0.0,1.0214,90.0,0.0113,0.0
6,138240,train,2026-04-23 10:44:25,0.0,1.0498,90.0,0.0117,0.0
7,161280,train,2026-04-23 10:44:48,0.0,1.1668,90.0,0.013,0.0
8,184320,train,2026-04-23 10:45:11,0.0,1.2003,90.0,0.0133,0.0
9,207360,train,2026-04-23 10:45:35,0.0039,1.3822,90.0,0.0154,0.0
10,230400,train,2026-04-23 10:45:58,0.0,1.3495,90.0,0.015,0.0
11,253440,train,2026-04-23 10:46:22,0.0195,1.9479,90.0,0.0216,0.0
12,276480,train,2026-04-23 10:46:46,0.0156,1.6433,90.0,0.0183,0.0
13,299520,train,2026-04-23 10:47:10,0.0234,1.9236,90.0,0.0214,0.0
14,322560,train,2026-04-23 10:47:34,0.0273,1.9947,90.0,0.0222,0.0
15,345600,train,2026-04-23 10:47:57,0.0234,2.0053,90.0,0.0223,0.0039
16,368640,train,2026-04-23 10:48:21,0.0195,1.8639,90.0,0.0207,0.0
17,391680,train,2026-04-23 10:48:45,0.0352,2.1278,90.0,0.0236,0.0039
18,414720,train,2026-04-23 10:49:09,0.0234,2.0533,90.0,0.0228,0.0
19,437760,train,2026-04-23 10:49:32,0.0117,1.9369,90.0,0.0215,0.0
20,460800,train,2026-04-23 10:49:56,0.0273,2.4172,90.0,0.0269,0.0039
21,483840,train,2026-04-23 10:50:19,0.0273,2.4446,90.0,0.0272,0.0039
22,506880,train,2026-04-23 10:50:43,0.0195,2.2131,90.0,0.0246,0.0039
23,529920,train,2026-04-23 10:51:06,0.0234,2.4922,90.0,0.0277,0.0
24,552960,train,2026-04-23 10:51:29,0.0352,2.3032,90.0,0.0256,0.0
25,576000,train,2026-04-23 10:51:52,0.0391,2.7317,90.0,0.0304,0.0
26,576000,eval,2026-04-23 10:53:40,0.0104,2.8948,90.0,0.0322,0.0052
26,599040,train,2026-04-23 10:54:01,0.0391,2.6785,90.0,0.0298,0.0039
27,622080,train,2026-04-23 10:54:25,0.0391,2.8898,90.0,0.0321,0.0039
28,645120,train,2026-04-23 10:54:48,0.0352,2.6606,90.0,0.0296,0.0
29,668160,train,2026-04-23 10:55:11,0.043,2.9111,90.0,0.0323,0.0
30,691200,train,2026-04-23 10:55:35,0.0234,2.6577,90.0,0.0295,0.0078
31,714240,train,2026-04-23 10:55:58,0.0586,3.1164,90.0,0.0346,0.0
32,737280,train,2026-04-23 10:56:22,0.0547,3.3544,90.0,0.0373,0.0039
33,760320,train,2026-04-23 10:56:45,0.0469,2.8744,90.0,0.0319,0.0
34,783360,train,2026-04-23 10:57:08,0.0391,3.1048,90.0,0.0345,0.0039
35,806400,train,2026-04-23 10:57:32,0.0547,3.2324,90.0,0.0359,0.0
36,829440,train,2026-04-23 10:57:56,0.0703,3.5972,90.0,0.04,0.0156
37,852480,train,2026-04-23 10:58:19,0.0781,3.7409,90.0,0.0416,0.0
38,875520,train,2026-04-23 10:58:42,0.0977,3.6972,90.0,0.0411,0.0039
39,898560,train,2026-04-23 10:59:06,0.1133,4.037,90.0,0.0449,0.0078
40,921600,train,2026-04-23 10:59:29,0.1367,4.7074,90.0,0.0523,0.0195
41,944640,train,2026-04-23 10:59:52,0.0898,3.9833,90.0,0.0443,0.0039
42,967680,train,2026-04-23 11:00:16,0.1172,4.2632,90.0,0.0474,0.0039
43,990720,train,2026-04-23 11:00:40,0.1094,4.0893,90.0,0.0454,0.0
44,1013760,train,2026-04-23 11:01:04,0.1328,4.5226,90.0,0.0503,0.0078
45,1036800,train,2026-04-23 11:01:27,0.1289,4.2948,90.0,0.0477,0.0
46,1059840,train,2026-04-23 11:01:50,0.1016,4.6236,90.0,0.0514,0.0078
47,1082880,train,2026-04-23 11:02:13,0.125,4.7773,90.0,0.0531,0.0156
48,1105920,train,2026-04-23 11:02:37,0.1328,4.5068,90.0,0.0501,0.0039
49,1128960,train,2026-04-23 11:03:00,0.1445,5.2556,90.0,0.0584,0.0039
50,1152000,train,2026-04-23 11:03:24,0.1172,4.6772,90.0,0.052,0.0039
51,1152000,eval,2026-04-23 11:05:13,0.125,5.9045,90.0,0.0656,0.0312
51,1175040,train,2026-04-23 11:05:35,0.1133,4.4392,90.0,0.0493,0.0078
52,1198080,train,2026-04-23 11:05:58,0.1211,4.5208,90.0,0.0502,0.0039
53,1221120,train,2026-04-23 11:06:21,0.1641,5.7298,90.0,0.0637,0.0039
54,1244160,train,2026-04-23 11:06:45,0.1367,5.0228,90.0,0.0558,0.0039
55,1267200,train,2026-04-23 11:07:08,0.1484,4.9167,90.0,0.0546,0.0195
56,1290240,train,2026-04-23 11:07:32,0.1445,5.2175,90.0,0.058,0.0078
57,1313280,train,2026-04-23 11:07:55,0.1211,4.4735,90.0,0.0497,0.0117
58,1336320,train,2026-04-23 11:08:18,0.125,5.0193,90.0,0.0558,0.0117
59,1359360,train,2026-04-23 11:08:42,0.0859,4.1922,90.0,0.0466,0.0039
60,1382400,train,2026-04-23 11:09:05,0.1016,4.8184,90.0,0.0535,0.0117
61,1405440,train,2026-04-23 11:09:29,0.1133,4.5598,90.0,0.0507,0.0039
62,1428480,train,2026-04-23 11:09:52,0.1328,5.7197,90.0,0.0636,0.0195
63,1451520,train,2026-04-23 11:10:15,0.1211,4.693,90.0,0.0521,0.0039
64,1474560,train,2026-04-23 11:10:39,0.1523,5.6789,90.0,0.0631,0.0078
65,1497600,train,2026-04-23 11:11:02,0.1328,5.137,90.0,0.0571,0.0078
66,1520640,train,2026-04-23 11:11:26,0.1797,6.0864,90.0,0.0676,0.0156
67,1543680,train,2026-04-23 11:11:49,0.1055,4.1401,90.0,0.046,0.0039
68,1566720,train,2026-04-23 11:12:13,0.168,6.068,90.0,0.0674,0.0117
69,1589760,train,2026-04-23 11:12:36,0.1445,5.3539,90.0,0.0595,0.0039
70,1612800,train,2026-04-23 11:12:59,0.1055,4.8344,90.0,0.0537,0.0117
71,1635840,train,2026-04-23 11:13:23,0.1289,5.2829,90.0,0.0587,0.0039
72,1658880,train,2026-04-23 11:13:46,0.1406,4.7378,90.0,0.0526,0.0
73,1681920,train,2026-04-23 11:14:10,0.0898,4.3212,90.0,0.048,0.0
74,1704960,train,2026-04-23 11:14:33,0.1719,5.8066,90.0,0.0645,0.0234
75,1728000,train,2026-04-23 11:14:56,0.1641,6.0969,90.0,0.0677,0.0156
76,1728000,eval,2026-04-23 11:16:46,0.2344,8.4863,90.0,0.0943,0.0521
76,1751040,train,2026-04-23 11:17:08,0.1836,6.2538,90.0,0.0695,0.0312
77,1774080,train,2026-04-23 11:17:31,0.1719,6.446,90.0,0.0716,0.0195
78,1797120,train,2026-04-23 11:17:54,0.1758,6.8273,90.0,0.0759,0.0352
79,1820160,train,2026-04-23 11:18:20,0.1328,5.168,90.0,0.0574,0.0039
80,1843200,train,2026-04-23 11:18:44,0.1914,5.9886,90.0,0.0665,0.0195
81,1866240,train,2026-04-23 11:19:07,0.1719,5.9921,90.0,0.0666,0.0117
82,1889280,train,2026-04-23 11:19:31,0.1797,6.1995,90.0,0.0689,0.0195
83,1912320,train,2026-04-23 11:19:54,0.1992,6.9039,90.0,0.0767,0.0273
84,1935360,train,2026-04-23 11:20:17,0.1797,6.4029,90.0,0.0711,0.0078
85,1958400,train,2026-04-23 11:20:41,0.1992,6.8282,90.0,0.0759,0.0195
86,1981440,train,2026-04-23 11:21:04,0.1992,6.6887,90.0,0.0743,0.0273
