iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-22 02:02:59,0.0,1.0428,90.0,0.0116,0.0
1,23040,train,2026-04-22 02:03:20,0.0,1.1092,90.0,0.0123,0.0
2,46080,train,2026-04-22 02:03:44,0.0039,1.3177,90.0,0.0146,0.0
3,69120,train,2026-04-22 02:04:08,0.0039,1.3711,90.0,0.0152,0.0
4,92160,train,2026-04-22 02:04:31,0.0,1.3757,90.0,0.0153,0.0
5,115200,train,2026-04-22 02:04:55,0.0,1.5603,90.0,0.0173,0.0
6,138240,train,2026-04-22 02:05:18,0.0234,2.1809,90.0,0.0242,0.0
7,161280,train,2026-04-22 02:05:42,0.0195,2.1092,90.0,0.0234,0.0
8,184320,train,2026-04-22 02:06:06,0.0156,2.0382,90.0,0.0226,0.0039
9,207360,train,2026-04-22 02:06:30,0.0273,2.4683,90.0,0.0274,0.0
10,230400,train,2026-04-22 02:06:55,0.0234,2.5545,90.0,0.0284,0.0
11,253440,train,2026-04-22 02:07:19,0.0508,2.8144,90.0,0.0313,0.0039
12,276480,train,2026-04-22 02:07:43,0.0469,2.772,90.0,0.0308,0.0078
13,299520,train,2026-04-22 02:08:06,0.0625,3.3633,90.0,0.0374,0.0078
14,322560,train,2026-04-22 02:08:30,0.0703,3.904,90.0,0.0434,0.0156
15,345600,train,2026-04-22 02:08:54,0.0469,3.1405,90.0,0.0349,0.0039
16,368640,train,2026-04-22 02:09:18,0.0547,3.6775,90.0,0.0409,0.0039
17,391680,train,2026-04-22 02:09:42,0.0547,3.6224,90.0,0.0402,0.0039
18,414720,train,2026-04-22 02:10:05,0.0703,3.591,90.0,0.0399,0.0
19,437760,train,2026-04-22 02:10:29,0.0703,3.9851,90.0,0.0443,0.0078
20,460800,train,2026-04-22 02:10:53,0.082,4.2062,90.0,0.0467,0.0078
21,483840,train,2026-04-22 02:11:16,0.1211,4.9321,90.0,0.0548,0.0156
22,506880,train,2026-04-22 02:11:40,0.1016,4.167,90.0,0.0463,0.0039
23,529920,train,2026-04-22 02:12:04,0.1172,4.677,90.0,0.052,0.0195
24,552960,train,2026-04-22 02:12:28,0.1641,5.4005,90.0,0.06,0.0078
25,576000,train,2026-04-22 02:12:52,0.1094,4.6268,90.0,0.0514,0.0078
26,576000,eval,2026-04-22 02:14:44,0.0677,5.7782,90.0,0.0642,0.0208
26,599040,train,2026-04-22 02:15:06,0.1172,5.0682,90.0,0.0563,0.0156
27,622080,train,2026-04-22 02:15:30,0.1289,5.5011,90.0,0.0611,0.0195
28,645120,train,2026-04-22 02:15:54,0.168,5.8766,90.0,0.0653,0.0117
29,668160,train,2026-04-22 02:16:17,0.1406,5.5201,90.0,0.0613,0.0078
30,691200,train,2026-04-22 02:16:41,0.1797,5.8829,90.0,0.0654,0.0234
31,714240,train,2026-04-22 02:17:05,0.1602,5.769,90.0,0.0641,0.0117
32,737280,train,2026-04-22 02:17:29,0.1875,6.326,90.0,0.0703,0.0234
33,760320,train,2026-04-22 02:17:53,0.1953,7.4839,90.0,0.0832,0.0352
34,783360,train,2026-04-22 02:18:16,0.1914,6.4741,90.0,0.0719,0.0195
35,806400,train,2026-04-22 02:18:40,0.1641,6.3688,90.0,0.0708,0.0273
36,829440,train,2026-04-22 02:19:04,0.207,6.8196,90.0,0.0758,0.0273
37,852480,train,2026-04-22 02:19:28,0.2109,7.59,90.0,0.0843,0.0312
38,875520,train,2026-04-22 02:19:52,0.168,5.9852,90.0,0.0665,0.0195
39,898560,train,2026-04-22 02:20:16,0.1836,6.8157,90.0,0.0757,0.0312
40,921600,train,2026-04-22 02:20:40,0.2148,7.1819,90.0,0.0798,0.0156
41,944640,train,2026-04-22 02:21:04,0.1953,7.1699,90.0,0.0797,0.0352
42,967680,train,2026-04-22 02:21:27,0.2266,7.7979,90.0,0.0866,0.0352
43,990720,train,2026-04-22 02:21:51,0.2188,7.7031,90.0,0.0856,0.0508
44,1013760,train,2026-04-22 02:22:15,0.2148,7.6225,90.0,0.0847,0.0195
45,1036800,train,2026-04-22 02:22:39,0.2461,7.9534,90.0,0.0884,0.043
46,1059840,train,2026-04-22 02:23:03,0.2656,8.3174,90.0,0.0924,0.0508
47,1082880,train,2026-04-22 02:23:27,0.2031,7.5362,90.0,0.0837,0.0273
48,1105920,train,2026-04-22 02:23:51,0.1914,7.4668,90.0,0.083,0.0273
49,1128960,train,2026-04-22 02:24:15,0.2227,7.903,90.0,0.0878,0.0508
50,1152000,train,2026-04-22 02:24:39,0.1953,7.4439,90.0,0.0827,0.0234
51,1152000,eval,2026-04-22 02:26:33,0.224,10.6142,90.0,0.1179,0.099
51,1175040,train,2026-04-22 02:26:55,0.2422,8.7846,90.0,0.0976,0.0469
52,1198080,train,2026-04-22 02:27:19,0.2344,7.7587,90.0,0.0862,0.0273
53,1221120,train,2026-04-22 02:27:43,0.2305,7.8527,90.0,0.0873,0.0352
54,1244160,train,2026-04-22 02:28:07,0.2227,7.627,90.0,0.0847,0.0312
55,1267200,train,2026-04-22 02:28:31,0.2695,8.6886,90.0,0.0965,0.0586
56,1290240,train,2026-04-22 02:28:54,0.2617,8.3166,90.0,0.0924,0.0234
57,1313280,train,2026-04-22 02:29:18,0.2656,8.2711,90.0,0.0919,0.0391
58,1336320,train,2026-04-22 02:29:42,0.1992,7.5448,90.0,0.0838,0.0234
59,1359360,train,2026-04-22 02:30:06,0.3359,9.3881,90.0,0.1043,0.0469
60,1382400,train,2026-04-22 02:30:30,0.2617,8.4798,90.0,0.0942,0.0195
61,1405440,train,2026-04-22 02:30:54,0.2656,7.4932,90.0,0.0833,0.0156
62,1428480,train,2026-04-22 02:31:17,0.2852,8.9377,90.0,0.0993,0.0234
63,1451520,train,2026-04-22 02:31:42,0.2812,8.9522,90.0,0.0995,0.0273
64,1474560,train,2026-04-22 02:32:05,0.2539,8.3057,90.0,0.0923,0.0391
