iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-23 04:18:50,0.0,1.0555,90.0,0.0117,0.0
1,23040,train,2026-04-23 04:19:12,0.0,0.9978,90.0,0.0111,0.0
2,46080,train,2026-04-23 04:19:36,0.0,1.1417,90.0,0.0127,0.0
3,69120,train,2026-04-23 04:19:59,0.0,1.2054,90.0,0.0134,0.0
4,92160,train,2026-04-23 04:20:22,0.0,1.3681,90.0,0.0152,0.0
5,115200,train,2026-04-23 04:20:46,0.0,1.4444,90.0,0.016,0.0
6,138240,train,2026-04-23 04:21:10,0.0,1.4326,90.0,0.0159,0.0
7,161280,train,2026-04-23 04:21:34,0.0039,1.6276,90.0,0.0181,0.0
8,184320,train,2026-04-23 04:21:58,0.0039,1.7346,90.0,0.0193,0.0039
9,207360,train,2026-04-23 04:22:22,0.0,1.6951,90.0,0.0188,0.0
10,230400,train,2026-04-23 04:22:46,0.0156,2.2071,90.0,0.0245,0.0
11,253440,train,2026-04-23 04:23:11,0.0117,1.8025,90.0,0.02,0.0
12,276480,train,2026-04-23 04:23:35,0.0195,2.5094,90.0,0.0279,0.0039
13,299520,train,2026-04-23 04:23:59,0.0312,2.6085,90.0,0.029,0.0039
14,322560,train,2026-04-23 04:24:23,0.0312,2.7578,90.0,0.0306,0.0
15,345600,train,2026-04-23 04:24:47,0.043,3.3034,90.0,0.0367,0.0117
16,368640,train,2026-04-23 04:25:11,0.0703,3.4898,90.0,0.0388,0.0039
17,391680,train,2026-04-23 04:25:35,0.0664,4.0064,90.0,0.0445,0.0
18,414720,train,2026-04-23 04:25:59,0.0703,3.6574,90.0,0.0406,0.0039
19,437760,train,2026-04-23 04:26:22,0.0742,3.8578,90.0,0.0429,0.0039
20,460800,train,2026-04-23 04:26:46,0.0625,3.7803,90.0,0.042,0.0039
21,483840,train,2026-04-23 04:27:10,0.1055,4.1794,90.0,0.0464,0.0
22,506880,train,2026-04-23 04:27:34,0.0781,3.5707,90.0,0.0397,0.0
23,529920,train,2026-04-23 04:27:58,0.082,3.6805,90.0,0.0409,0.0039
24,552960,train,2026-04-23 04:28:21,0.0898,4.2825,90.0,0.0476,0.0156
25,576000,train,2026-04-23 04:28:45,0.0703,3.6272,90.0,0.0403,0.0039
26,576000,eval,2026-04-23 04:30:37,0.125,6.2722,90.0,0.0697,0.0573
26,599040,train,2026-04-23 04:31:00,0.0781,3.6656,90.0,0.0407,0.0039
27,622080,train,2026-04-23 04:31:23,0.0898,4.1088,90.0,0.0457,0.0
28,645120,train,2026-04-23 04:31:47,0.0781,3.8514,90.0,0.0428,0.0039
29,668160,train,2026-04-23 04:32:11,0.1367,4.6997,90.0,0.0522,0.0117
30,691200,train,2026-04-23 04:32:35,0.0977,4.6509,90.0,0.0517,0.0156
31,714240,train,2026-04-23 04:32:58,0.1367,5.0951,90.0,0.0566,0.0078
32,737280,train,2026-04-23 04:33:22,0.0938,4.6339,90.0,0.0515,0.0078
33,760320,train,2026-04-23 04:33:46,0.0781,4.1779,90.0,0.0464,0.0234
34,783360,train,2026-04-23 04:34:10,0.1016,4.739,90.0,0.0527,0.0195
35,806400,train,2026-04-23 04:34:34,0.0938,4.1972,90.0,0.0466,0.0117
36,829440,train,2026-04-23 04:34:58,0.1055,4.1692,90.0,0.0463,0.0
37,852480,train,2026-04-23 04:35:22,0.1445,5.1511,90.0,0.0572,0.0078
38,875520,train,2026-04-23 04:35:46,0.0742,3.8097,90.0,0.0423,0.0
39,898560,train,2026-04-23 04:36:10,0.0938,4.1411,90.0,0.046,0.0039
40,921600,train,2026-04-23 04:36:34,0.082,4.4302,90.0,0.0492,0.0078
41,944640,train,2026-04-23 04:36:58,0.0859,4.5107,90.0,0.0501,0.0039
42,967680,train,2026-04-23 04:37:21,0.0938,4.903,90.0,0.0545,0.0078
43,990720,train,2026-04-23 04:37:46,0.082,4.1696,90.0,0.0463,0.0039
44,1013760,train,2026-04-23 04:38:09,0.1367,5.2545,90.0,0.0584,0.0273
45,1036800,train,2026-04-23 04:38:33,0.1133,4.8167,90.0,0.0535,0.0117
46,1059840,train,2026-04-23 04:38:57,0.1562,5.4347,90.0,0.0604,0.0156
47,1082880,train,2026-04-23 04:39:21,0.1172,4.9721,90.0,0.0552,0.0117
48,1105920,train,2026-04-23 04:39:45,0.1094,4.5532,90.0,0.0506,0.0
49,1128960,train,2026-04-23 04:40:09,0.1289,4.9725,90.0,0.0553,0.0117
50,1152000,train,2026-04-23 04:40:33,0.1094,5.2957,90.0,0.0588,0.0078
51,1152000,eval,2026-04-23 04:42:28,0.0781,5.8903,90.0,0.0654,0.0312
51,1175040,train,2026-04-23 04:42:50,0.0977,4.708,90.0,0.0523,0.0
52,1198080,train,2026-04-23 04:43:14,0.1094,4.9041,90.0,0.0545,0.0039
53,1221120,train,2026-04-23 04:43:38,0.1445,5.2906,90.0,0.0588,0.0078
54,1244160,train,2026-04-23 04:44:02,0.125,5.4297,90.0,0.0603,0.0234
55,1267200,train,2026-04-23 04:44:26,0.1172,5.101,90.0,0.0567,0.0117
56,1290240,train,2026-04-23 04:44:49,0.1211,5.3055,90.0,0.059,0.0234
57,1313280,train,2026-04-23 04:45:13,0.125,5.1195,90.0,0.0569,0.0156
