iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-22 09:13:30,0.0,1.0491,90.0,0.0117,0.0
1,23040,train,2026-04-22 09:13:52,0.0,1.017,90.0,0.0113,0.0
2,46080,train,2026-04-22 09:14:15,0.0,1.0428,90.0,0.0116,0.0
3,69120,train,2026-04-22 09:14:37,0.0,1.182,90.0,0.0131,0.0
4,92160,train,2026-04-22 09:15:01,0.0,1.2775,90.0,0.0142,0.0
5,115200,train,2026-04-22 09:15:24,0.0,1.517,90.0,0.0169,0.0
6,138240,train,2026-04-22 09:15:47,0.0156,1.8815,90.0,0.0209,0.0
7,161280,train,2026-04-22 09:16:11,0.0078,1.8963,90.0,0.0211,0.0
8,184320,train,2026-04-22 09:16:35,0.0312,2.4662,90.0,0.0274,0.0
9,207360,train,2026-04-22 09:16:58,0.0391,2.3326,90.0,0.0259,0.0039
10,230400,train,2026-04-22 09:17:22,0.0234,2.2874,90.0,0.0254,0.0
11,253440,train,2026-04-22 09:17:46,0.0742,3.2002,90.0,0.0356,0.0039
12,276480,train,2026-04-22 09:18:09,0.043,2.7378,90.0,0.0304,0.0078
13,299520,train,2026-04-22 09:18:33,0.0664,3.2649,90.0,0.0363,0.0078
14,322560,train,2026-04-22 09:18:56,0.0625,3.5651,90.0,0.0396,0.0117
15,345600,train,2026-04-22 09:19:20,0.0703,3.6791,90.0,0.0409,0.0078
16,368640,train,2026-04-22 09:19:43,0.0586,3.5668,90.0,0.0396,0.0039
17,391680,train,2026-04-22 09:20:07,0.0625,3.616,90.0,0.0402,0.0
18,414720,train,2026-04-22 09:20:30,0.0742,3.821,90.0,0.0425,0.0039
19,437760,train,2026-04-22 09:20:53,0.0703,3.9401,90.0,0.0438,0.0039
20,460800,train,2026-04-22 09:21:17,0.1094,4.6295,90.0,0.0514,0.0078
21,483840,train,2026-04-22 09:21:40,0.0508,3.5649,90.0,0.0396,0.0039
22,506880,train,2026-04-22 09:22:04,0.1133,4.542,90.0,0.0505,0.0078
23,529920,train,2026-04-22 09:22:27,0.1016,4.4072,90.0,0.049,0.0039
24,552960,train,2026-04-22 09:22:51,0.1016,4.2011,90.0,0.0467,0.0039
25,576000,train,2026-04-22 09:23:14,0.0898,4.2545,90.0,0.0473,0.0
26,576000,eval,2026-04-22 09:25:02,0.0833,6.2442,90.0,0.0694,0.0469
26,599040,train,2026-04-22 09:25:24,0.1094,4.4195,90.0,0.0491,0.0078
27,622080,train,2026-04-22 09:25:47,0.0898,4.1732,90.0,0.0464,0.0
28,645120,train,2026-04-22 09:26:11,0.1133,4.7484,90.0,0.0528,0.0039
29,668160,train,2026-04-22 09:26:34,0.1094,5.0313,90.0,0.0559,0.0156
30,691200,train,2026-04-22 09:26:57,0.1914,5.9387,90.0,0.066,0.0078
31,714240,train,2026-04-22 09:27:21,0.1641,5.4251,90.0,0.0603,0.0078
32,737280,train,2026-04-22 09:27:44,0.1562,5.1387,90.0,0.0571,0.0117
33,760320,train,2026-04-22 09:28:07,0.1641,5.6101,90.0,0.0623,0.0234
34,783360,train,2026-04-22 09:28:31,0.1562,5.1138,90.0,0.0568,0.0117
35,806400,train,2026-04-22 09:28:54,0.1367,4.9357,90.0,0.0548,0.0039
36,829440,train,2026-04-22 09:29:18,0.1328,4.7714,90.0,0.053,0.0117
37,852480,train,2026-04-22 09:29:41,0.1484,4.7987,90.0,0.0533,0.0039
38,875520,train,2026-04-22 09:30:05,0.1797,5.7844,90.0,0.0643,0.0117
39,898560,train,2026-04-22 09:30:28,0.1758,5.9286,90.0,0.0659,0.0
40,921600,train,2026-04-22 09:30:51,0.1484,4.8727,90.0,0.0541,0.0117
41,944640,train,2026-04-22 09:31:15,0.1836,5.9135,90.0,0.0657,0.0195
42,967680,train,2026-04-22 09:31:38,0.1719,5.53,90.0,0.0614,0.0078
43,990720,train,2026-04-22 09:32:02,0.1562,5.3468,90.0,0.0594,0.0039
44,1013760,train,2026-04-22 09:32:25,0.1641,5.4736,90.0,0.0608,0.0078
45,1036800,train,2026-04-22 09:32:48,0.1836,6.0513,90.0,0.0672,0.0039
46,1059840,train,2026-04-22 09:33:12,0.1992,6.2434,90.0,0.0694,0.0078
