iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-23 11:31:13,0.0,1.0568,90.0,0.0117,0.0
1,23040,train,2026-04-23 11:31:35,0.0,0.9989,90.0,0.0111,0.0
2,46080,train,2026-04-23 11:31:58,0.0,1.2086,90.0,0.0134,0.0
3,69120,train,2026-04-23 11:32:21,0.0,1.3117,90.0,0.0146,0.0
4,92160,train,2026-04-23 11:32:45,0.0,1.5081,90.0,0.0168,0.0
5,115200,train,2026-04-23 11:33:08,0.0,1.6221,90.0,0.018,0.0
6,138240,train,2026-04-23 11:33:32,0.0,1.6071,90.0,0.0179,0.0
7,161280,train,2026-04-23 11:33:55,0.0039,1.7855,90.0,0.0198,0.0
8,184320,train,2026-04-23 11:34:19,0.0156,2.0031,90.0,0.0223,0.0
9,207360,train,2026-04-23 11:34:43,0.0352,2.1808,90.0,0.0242,0.0
10,230400,train,2026-04-23 11:35:07,0.0312,2.4558,90.0,0.0273,0.0
11,253440,train,2026-04-23 11:35:31,0.0117,2.2953,90.0,0.0255,0.0
12,276480,train,2026-04-23 11:35:55,0.0391,2.7131,90.0,0.0301,0.0039
13,299520,train,2026-04-23 11:36:20,0.0156,2.4704,90.0,0.0274,0.0039
14,322560,train,2026-04-23 11:36:44,0.0391,2.8074,90.0,0.0312,0.0
15,345600,train,2026-04-23 11:37:07,0.0586,3.2794,90.0,0.0364,0.0
16,368640,train,2026-04-23 11:37:31,0.0312,2.9046,90.0,0.0323,0.0
17,391680,train,2026-04-23 11:37:56,0.0586,3.399,90.0,0.0378,0.0039
18,414720,train,2026-04-23 11:38:19,0.0273,2.8546,90.0,0.0317,0.0039
19,437760,train,2026-04-23 11:38:43,0.082,3.4588,90.0,0.0384,0.0039
20,460800,train,2026-04-23 11:39:08,0.0664,3.4016,90.0,0.0378,0.0078
21,483840,train,2026-04-23 11:39:31,0.0781,3.7934,90.0,0.0421,0.0039
22,506880,train,2026-04-23 11:39:55,0.043,2.9981,90.0,0.0333,0.0
23,529920,train,2026-04-23 11:40:18,0.0508,3.5358,90.0,0.0393,0.0039
24,552960,train,2026-04-23 11:42:33,0.0664,3.8769,90.0,0.0431,0.0
25,576000,train,2026-04-23 11:42:57,0.0977,4.4246,90.0,0.0492,0.0039
26,576000,eval,2026-04-23 11:44:45,0.1042,5.0673,90.0,0.0563,0.0208
26,599040,train,2026-04-23 11:45:07,0.0781,4.0797,90.0,0.0453,0.0117
27,622080,train,2026-04-23 11:45:30,0.0898,4.1931,90.0,0.0466,0.0039
28,645120,train,2026-04-23 11:45:54,0.0781,4.0782,90.0,0.0453,0.0039
29,668160,train,2026-04-23 11:46:18,0.1016,4.3322,90.0,0.0481,0.0078
30,691200,train,2026-04-23 11:46:41,0.1016,4.3148,90.0,0.0479,0.0117
31,714240,train,2026-04-23 11:47:05,0.0938,4.4412,90.0,0.0493,0.0078
32,737280,train,2026-04-23 11:47:29,0.1328,5.0417,90.0,0.056,0.0078
33,760320,train,2026-04-23 11:47:53,0.1055,4.1936,90.0,0.0466,0.0
34,783360,train,2026-04-23 11:48:17,0.1172,4.5176,90.0,0.0502,0.0117
35,806400,train,2026-04-23 11:48:40,0.1094,4.1675,90.0,0.0463,0.0078
36,829440,train,2026-04-23 11:49:04,0.1602,5.6337,90.0,0.0626,0.0234
37,852480,train,2026-04-23 11:49:28,0.1172,4.9257,90.0,0.0547,0.0117
38,875520,train,2026-04-23 11:49:51,0.1211,4.9814,90.0,0.0553,0.0117
39,898560,train,2026-04-23 11:50:15,0.1172,5.1768,90.0,0.0575,0.0117
40,921600,train,2026-04-23 11:50:39,0.1562,5.3161,90.0,0.0591,0.0
41,944640,train,2026-04-23 11:51:02,0.1016,4.8858,90.0,0.0543,0.0078
42,967680,train,2026-04-23 11:51:26,0.125,5.4539,90.0,0.0606,0.0156
43,990720,train,2026-04-23 11:51:49,0.1367,5.1564,90.0,0.0573,0.0078
44,1013760,train,2026-04-23 11:52:13,0.1289,5.2893,90.0,0.0588,0.0039
45,1036800,train,2026-04-23 11:52:37,0.1758,6.1217,90.0,0.068,0.0117
46,1059840,train,2026-04-23 11:53:00,0.1289,5.4134,90.0,0.0601,0.0078
47,1082880,train,2026-04-23 11:53:24,0.125,5.2043,90.0,0.0578,0.0078
48,1105920,train,2026-04-23 11:53:48,0.1406,5.3126,90.0,0.059,0.0
49,1128960,train,2026-04-23 11:54:11,0.1562,5.9275,90.0,0.0659,0.0156
50,1152000,train,2026-04-23 11:54:35,0.082,4.6077,90.0,0.0512,0.0156
51,1152000,eval,2026-04-23 11:56:24,0.1146,7.5141,90.0,0.0835,0.0365
51,1175040,train,2026-04-23 11:56:47,0.1406,5.5676,90.0,0.0619,0.0117
52,1198080,train,2026-04-23 11:57:10,0.1562,5.8334,90.0,0.0648,0.0195
53,1221120,train,2026-04-23 11:57:34,0.1094,5.0214,90.0,0.0558,0.0
54,1244160,train,2026-04-23 11:57:58,0.1406,5.5703,90.0,0.0619,0.0
55,1267200,train,2026-04-23 11:58:21,0.1367,5.5158,90.0,0.0613,0.0117
56,1290240,train,2026-04-23 11:58:45,0.1602,5.4207,90.0,0.0602,0.0117
57,1313280,train,2026-04-23 11:59:15,0.1641,5.5192,90.0,0.0613,0.0039
58,1336320,train,2026-04-23 11:59:39,0.2422,6.8929,90.0,0.0766,0.0117
59,1359360,train,2026-04-23 12:00:03,0.207,6.4437,90.0,0.0716,0.0156
60,1382400,train,2026-04-23 12:00:26,0.1602,6.2733,90.0,0.0697,0.0156
61,1405440,train,2026-04-23 12:00:50,0.2031,6.3559,90.0,0.0706,0.0117
62,1428480,train,2026-04-23 12:01:14,0.1953,6.1015,90.0,0.0678,0.0039
63,1451520,train,2026-04-23 12:01:38,0.207,6.3831,90.0,0.0709,0.0234
64,1474560,train,2026-04-23 12:02:02,0.2188,6.9214,90.0,0.0769,0.0195
65,1497600,train,2026-04-23 12:02:26,0.207,6.1935,90.0,0.0688,0.0234
66,1520640,train,2026-04-23 12:02:49,0.2109,6.2396,90.0,0.0693,0.0117
67,1543680,train,2026-04-23 12:03:14,0.1953,6.056,90.0,0.0673,0.0117
68,1566720,train,2026-04-23 12:03:37,0.2109,5.8491,90.0,0.065,0.0156
69,1589760,train,2026-04-23 12:04:01,0.2422,6.5901,90.0,0.0732,0.0078
70,1612800,train,2026-04-23 12:04:25,0.207,6.0651,90.0,0.0674,0.0117
71,1635840,train,2026-04-23 12:04:49,0.2383,6.5836,90.0,0.0732,0.0156
72,1658880,train,2026-04-23 12:05:13,0.1641,5.1191,90.0,0.0569,0.0078
73,1681920,train,2026-04-23 12:05:37,0.1836,5.9694,90.0,0.0663,0.0156
74,1704960,train,2026-04-23 12:06:01,0.2383,6.5899,90.0,0.0732,0.0078
75,1728000,train,2026-04-23 12:06:25,0.2031,6.3118,90.0,0.0701,0.0195
76,1728000,eval,2026-04-23 12:08:17,0.2396,9.116,90.0,0.1013,0.0573
76,1751040,train,2026-04-23 12:08:39,0.2422,6.6583,90.0,0.074,0.0117
77,1774080,train,2026-04-23 12:09:03,0.2422,7.5414,90.0,0.0838,0.0234
78,1797120,train,2026-04-23 12:09:27,0.2148,5.9498,90.0,0.0661,0.0156
79,1820160,train,2026-04-23 12:09:51,0.2266,6.0955,90.0,0.0677,0.0273
80,1843200,train,2026-04-23 12:10:14,0.2656,7.2853,90.0,0.0809,0.0352
81,1866240,train,2026-04-23 12:10:38,0.2344,6.4269,90.0,0.0714,0.0234
82,1889280,train,2026-04-23 12:11:02,0.2969,7.8665,90.0,0.0874,0.0117
