iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-22 19:58:51,0.0,9.8684,60.0,0.1645,0.0
1,15360,train,2026-04-22 19:59:07,0.0,0.074,60.0,0.0012,0.0
2,30720,train,2026-04-22 19:59:24,0.0,0.0879,60.0,0.0015,0.0
3,46080,train,2026-04-22 19:59:41,0.0,0.1472,60.0,0.0025,0.0
4,61440,train,2026-04-22 19:59:59,0.0,0.1967,60.0,0.0033,0.0
5,76800,train,2026-04-22 20:00:16,0.0,0.1878,60.0,0.0031,0.0
6,92160,train,2026-04-22 20:00:33,0.0,0.2367,60.0,0.0039,0.0
7,107520,train,2026-04-22 20:00:51,0.0,0.2093,60.0,0.0035,0.0
8,122880,train,2026-04-22 20:01:09,0.0,0.3233,60.0,0.0054,0.0
9,138240,train,2026-04-22 20:01:26,0.0,0.3541,60.0,0.0059,0.0
10,153600,train,2026-04-22 20:01:44,0.0,0.5407,60.0,0.009,0.0
11,168960,train,2026-04-22 20:02:02,0.0,0.64,60.0,0.0107,0.0
12,184320,train,2026-04-22 20:02:19,0.0,0.7322,60.0,0.0122,0.0
13,199680,train,2026-04-22 20:02:37,0.0,1.089,60.0,0.0182,0.0
14,215040,train,2026-04-22 20:02:55,0.0,1.107,60.0,0.0184,0.0
15,230400,train,2026-04-22 20:03:12,0.0,1.222,60.0,0.0204,0.0
16,245760,train,2026-04-22 20:03:30,0.0,1.3551,60.0,0.0226,0.0
17,261120,train,2026-04-22 20:03:48,0.0039,1.2862,60.0,0.0214,0.0
18,276480,train,2026-04-22 20:04:05,0.0039,1.422,60.0,0.0237,0.0
19,291840,train,2026-04-22 20:04:23,0.0,1.7248,60.0,0.0287,0.0
20,307200,train,2026-04-22 20:04:41,0.0078,1.7512,60.0,0.0292,0.0
21,322560,train,2026-04-22 20:04:59,0.0,1.7144,60.0,0.0286,0.0
22,337920,train,2026-04-22 20:05:16,0.0,1.6327,60.0,0.0272,0.0
23,353280,train,2026-04-22 20:05:34,0.0,1.8649,60.0,0.0311,0.0
24,368640,train,2026-04-22 20:05:52,0.0,1.9504,60.0,0.0325,0.0
25,384000,train,2026-04-22 20:06:09,0.0039,1.8395,60.0,0.0307,0.0
26,399360,train,2026-04-22 20:06:27,0.0,1.866,60.0,0.0311,0.0
27,414720,train,2026-04-22 20:06:45,0.0078,1.9934,60.0,0.0332,0.0
28,430080,train,2026-04-22 20:07:03,0.0039,2.0859,60.0,0.0348,0.0
29,445440,train,2026-04-22 20:07:20,0.0,1.9638,60.0,0.0327,0.0
30,460800,train,2026-04-22 20:07:38,0.0,2.2242,60.0,0.0371,0.0
31,476160,train,2026-04-22 20:07:56,0.0,2.0535,60.0,0.0342,0.0
32,491520,train,2026-04-22 20:08:13,0.0039,2.1686,60.0,0.0361,0.0
33,506880,train,2026-04-22 20:08:31,0.0039,2.196,60.0,0.0366,0.0
34,522240,train,2026-04-22 20:08:49,0.0078,2.2559,60.0,0.0376,0.0039
35,537600,train,2026-04-22 20:09:06,0.0,2.1525,60.0,0.0359,0.0
36,552960,train,2026-04-22 20:09:24,0.0,2.3178,60.0,0.0386,0.0
37,568320,train,2026-04-22 20:09:42,0.0039,2.3375,60.0,0.039,0.0
38,583680,train,2026-04-22 20:10:00,0.0039,2.1986,60.0,0.0366,0.0
39,599040,train,2026-04-22 20:10:17,0.0,2.3035,60.0,0.0384,0.0
40,614400,train,2026-04-22 20:10:35,0.0,2.3021,60.0,0.0384,0.0
41,629760,train,2026-04-22 20:10:53,0.0,2.1599,60.0,0.036,0.0
42,645120,train,2026-04-22 20:11:11,0.0,2.5174,60.0,0.042,0.0
43,660480,train,2026-04-22 20:11:28,0.0039,2.3681,60.0,0.0395,0.0
44,675840,train,2026-04-22 20:11:46,0.0,2.3427,60.0,0.039,0.0
45,691200,train,2026-04-22 20:12:04,0.0,2.4714,60.0,0.0412,0.0
46,706560,train,2026-04-22 20:12:21,0.0039,2.3579,60.0,0.0393,0.0
47,721920,train,2026-04-22 20:12:39,0.0078,2.3892,60.0,0.0398,0.0
48,737280,train,2026-04-22 20:12:57,0.0117,2.0987,60.0,0.035,0.0
49,737280,eval,2026-04-22 20:14:26,0.1042,5.5183,60.0,0.092,0.0521
49,752640,train,2026-04-22 20:14:42,0.0039,2.4815,60.0,0.0414,0.0039
50,768000,train,2026-04-22 20:15:00,0.0039,2.4342,60.0,0.0406,0.0
51,783360,train,2026-04-22 20:15:18,0.0,2.4392,60.0,0.0407,0.0
52,798720,train,2026-04-22 20:15:35,0.0039,2.267,60.0,0.0378,0.0
53,814080,train,2026-04-22 20:15:53,0.0,2.2646,60.0,0.0377,0.0
54,829440,train,2026-04-22 20:16:11,0.0,2.5893,60.0,0.0432,0.0
55,844800,train,2026-04-22 20:16:29,0.0078,2.2441,60.0,0.0374,0.0
56,860160,train,2026-04-22 20:16:46,0.0039,2.3473,60.0,0.0391,0.0
57,875520,train,2026-04-22 20:17:04,0.0078,2.3422,60.0,0.039,0.0
58,890880,train,2026-04-22 20:17:22,0.0,2.2962,60.0,0.0383,0.0
59,906240,train,2026-04-22 20:17:40,0.0039,2.5206,60.0,0.042,0.0
60,921600,train,2026-04-22 20:17:57,0.0039,2.5874,60.0,0.0431,0.0
61,936960,train,2026-04-22 20:18:15,0.0117,2.6623,60.0,0.0444,0.0
62,952320,train,2026-04-22 20:18:33,0.0,2.2902,60.0,0.0382,0.0
63,967680,train,2026-04-22 20:18:51,0.0039,2.5384,60.0,0.0423,0.0
64,983040,train,2026-04-22 20:19:09,0.0,2.5487,60.0,0.0425,0.0
65,998400,train,2026-04-22 20:19:26,0.0,2.2131,60.0,0.0369,0.0
66,1013760,train,2026-04-22 20:19:44,0.0039,2.6741,60.0,0.0446,0.0
67,1029120,train,2026-04-22 20:20:02,0.0,2.358,60.0,0.0393,0.0
68,1044480,train,2026-04-22 20:20:20,0.0039,2.5581,60.0,0.0426,0.0
69,1059840,train,2026-04-22 20:20:37,0.0039,2.5818,60.0,0.043,0.0
70,1075200,train,2026-04-22 20:20:55,0.0117,2.5939,60.0,0.0432,0.0
71,1090560,train,2026-04-22 20:21:13,0.0078,2.4948,60.0,0.0416,0.0
72,1105920,train,2026-04-22 20:21:31,0.0,2.5525,60.0,0.0425,0.0
73,1121280,train,2026-04-22 20:21:48,0.0,2.5185,60.0,0.042,0.0
74,1136640,train,2026-04-22 20:22:06,0.0039,2.5179,60.0,0.042,0.0039
75,1152000,train,2026-04-22 20:22:24,0.0078,2.6861,60.0,0.0448,0.0
76,1167360,train,2026-04-22 20:22:42,0.0,2.5217,60.0,0.042,0.0
77,1182720,train,2026-04-22 20:23:00,0.0156,2.6663,60.0,0.0444,0.0
78,1198080,train,2026-04-22 20:23:17,0.0,2.5815,60.0,0.043,0.0
79,1213440,train,2026-04-22 20:23:35,0.0039,2.6673,60.0,0.0445,0.0
80,1228800,train,2026-04-22 20:23:53,0.0078,2.5156,60.0,0.0419,0.0
81,1244160,train,2026-04-22 20:24:11,0.0078,2.6869,60.0,0.0448,0.0
82,1259520,train,2026-04-22 20:24:28,0.0078,2.6878,60.0,0.0448,0.0
83,1274880,train,2026-04-22 20:24:46,0.0039,2.4295,60.0,0.0405,0.0
84,1290240,train,2026-04-22 20:25:04,0.0195,2.5331,60.0,0.0422,0.0
85,1305600,train,2026-04-22 20:25:22,0.0039,2.4092,60.0,0.0402,0.0
