iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-22 03:45:17,0.0,9.9454,60.0,0.1658,0.0
1,15360,train,2026-04-22 03:45:33,0.0,0.0743,60.0,0.0012,0.0
2,30720,train,2026-04-22 03:45:49,0.0,0.0874,60.0,0.0015,0.0
3,46080,train,2026-04-22 03:46:07,0.0,0.1505,60.0,0.0025,0.0
4,61440,train,2026-04-22 03:46:24,0.0,0.2897,60.0,0.0048,0.0
5,76800,train,2026-04-22 03:46:41,0.0,0.3526,60.0,0.0059,0.0
6,92160,train,2026-04-22 03:46:58,0.0,0.4836,60.0,0.0081,0.0
7,107520,train,2026-04-22 03:47:16,0.0,0.5191,60.0,0.0087,0.0
8,122880,train,2026-04-22 03:47:33,0.0039,0.7635,60.0,0.0127,0.0
9,138240,train,2026-04-22 03:47:50,0.0,0.7731,60.0,0.0129,0.0
10,153600,train,2026-04-22 03:48:08,0.0,0.9058,60.0,0.0151,0.0
11,168960,train,2026-04-22 03:48:25,0.0039,1.0309,60.0,0.0172,0.0
12,184320,train,2026-04-22 03:48:43,0.0,1.1266,60.0,0.0188,0.0
13,199680,train,2026-04-22 03:49:00,0.0,1.1491,60.0,0.0192,0.0
14,215040,train,2026-04-22 03:49:17,0.0,1.4084,60.0,0.0235,0.0
15,230400,train,2026-04-22 03:49:35,0.0,1.4765,60.0,0.0246,0.0
16,245760,train,2026-04-22 03:49:53,0.0,1.5617,60.0,0.026,0.0
17,261120,train,2026-04-22 03:50:10,0.0,1.656,60.0,0.0276,0.0
18,276480,train,2026-04-22 03:50:28,0.0039,1.7966,60.0,0.0299,0.0
19,291840,train,2026-04-22 03:50:45,0.0039,1.872,60.0,0.0312,0.0
20,307200,train,2026-04-22 03:51:02,0.0039,1.8367,60.0,0.0306,0.0
21,322560,train,2026-04-22 03:51:20,0.0,1.8394,60.0,0.0307,0.0
22,337920,train,2026-04-22 03:51:37,0.0,1.7979,60.0,0.03,0.0
23,353280,train,2026-04-22 03:51:55,0.0078,1.8102,60.0,0.0302,0.0
24,368640,train,2026-04-22 03:52:12,0.0,2.051,60.0,0.0342,0.0
25,384000,train,2026-04-22 03:52:30,0.0,1.9479,60.0,0.0325,0.0
26,399360,train,2026-04-22 03:52:47,0.0,1.9281,60.0,0.0321,0.0
27,414720,train,2026-04-22 03:53:05,0.0039,1.978,60.0,0.033,0.0
28,430080,train,2026-04-22 03:53:22,0.0039,1.9902,60.0,0.0332,0.0039
29,445440,train,2026-04-22 03:53:40,0.0117,1.8913,60.0,0.0315,0.0
30,460800,train,2026-04-22 03:53:57,0.0039,2.1046,60.0,0.0351,0.0
31,476160,train,2026-04-22 03:54:15,0.0,2.0793,60.0,0.0347,0.0
32,491520,train,2026-04-22 03:54:32,0.0,2.1052,60.0,0.0351,0.0
33,506880,train,2026-04-22 03:54:49,0.0,2.1629,60.0,0.036,0.0
34,522240,train,2026-04-22 03:55:07,0.0078,2.1821,60.0,0.0364,0.0
35,537600,train,2026-04-22 03:55:24,0.0,2.2121,60.0,0.0369,0.0
36,552960,train,2026-04-22 03:55:42,0.0156,2.3265,60.0,0.0388,0.0
37,568320,train,2026-04-22 03:55:59,0.0,2.2596,60.0,0.0377,0.0
38,583680,train,2026-04-22 03:56:17,0.0,2.4822,60.0,0.0414,0.0
39,599040,train,2026-04-22 03:56:34,0.0039,2.1578,60.0,0.036,0.0
40,614400,train,2026-04-22 03:56:52,0.0,2.2559,60.0,0.0376,0.0
41,629760,train,2026-04-22 03:57:09,0.0,2.158,60.0,0.036,0.0
42,645120,train,2026-04-22 03:57:27,0.0039,2.6052,60.0,0.0434,0.0
43,660480,train,2026-04-22 03:57:44,0.0039,2.3604,60.0,0.0393,0.0
44,675840,train,2026-04-22 03:58:02,0.0,2.367,60.0,0.0394,0.0
45,691200,train,2026-04-22 03:58:19,0.0,2.3411,60.0,0.039,0.0
46,706560,train,2026-04-22 03:58:37,0.0,2.3269,60.0,0.0388,0.0
47,721920,train,2026-04-22 03:58:54,0.0039,2.3138,60.0,0.0386,0.0
48,737280,train,2026-04-22 03:59:12,0.0039,2.3076,60.0,0.0385,0.0
49,737280,eval,2026-04-22 04:00:41,0.0781,5.3832,60.0,0.0897,0.0365
49,752640,train,2026-04-22 04:00:57,0.0,2.5196,60.0,0.042,0.0
50,768000,train,2026-04-22 04:01:15,0.0,2.2492,60.0,0.0375,0.0
51,783360,train,2026-04-22 04:01:32,0.0,2.2283,60.0,0.0371,0.0
52,798720,train,2026-04-22 04:01:50,0.0078,2.1378,60.0,0.0356,0.0
53,814080,train,2026-04-22 04:02:07,0.0039,2.2945,60.0,0.0382,0.0
54,829440,train,2026-04-22 04:02:25,0.0039,2.627,60.0,0.0438,0.0
55,844800,train,2026-04-22 04:02:42,0.0039,2.3695,60.0,0.0395,0.0
56,860160,train,2026-04-22 04:03:00,0.0039,2.7929,60.0,0.0465,0.0
57,875520,train,2026-04-22 04:03:17,0.0078,2.5489,60.0,0.0425,0.0
58,890880,train,2026-04-22 04:03:35,0.0,2.4183,60.0,0.0403,0.0
59,906240,train,2026-04-22 04:03:53,0.0039,2.6066,60.0,0.0434,0.0
60,921600,train,2026-04-22 04:04:10,0.0039,2.5131,60.0,0.0419,0.0
