iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-21 19:06:08,0.0,9.8714,60.0,0.1645,0.0
1,15360,train,2026-04-21 19:06:25,0.0,0.0855,60.0,0.0014,0.0
2,30720,train,2026-04-21 19:06:43,0.0,0.1142,60.0,0.0019,0.0
3,46080,train,2026-04-21 19:07:01,0.0,0.2783,60.0,0.0046,0.0
4,61440,train,2026-04-21 19:07:19,0.0,0.3709,60.0,0.0062,0.0
5,76800,train,2026-04-21 19:07:37,0.0,0.5049,60.0,0.0084,0.0
6,92160,train,2026-04-21 19:07:55,0.0039,0.6002,60.0,0.01,0.0
7,107520,train,2026-04-21 19:08:14,0.0,0.7426,60.0,0.0124,0.0
8,122880,train,2026-04-21 19:08:32,0.0,0.7429,60.0,0.0124,0.0
9,138240,train,2026-04-21 19:08:51,0.0039,0.9593,60.0,0.016,0.0
10,153600,train,2026-04-21 19:09:09,0.0,1.1252,60.0,0.0188,0.0
11,168960,train,2026-04-21 19:09:28,0.0,1.3461,60.0,0.0224,0.0
12,184320,train,2026-04-21 19:09:46,0.0,1.2728,60.0,0.0212,0.0
13,199680,train,2026-04-21 19:10:05,0.0,1.2904,60.0,0.0215,0.0
14,215040,train,2026-04-21 19:10:23,0.0,1.4416,60.0,0.024,0.0
15,230400,train,2026-04-21 19:10:42,0.0078,1.5443,60.0,0.0257,0.0
16,245760,train,2026-04-21 19:11:00,0.0,1.505,60.0,0.0251,0.0
17,261120,train,2026-04-21 19:11:19,0.0,1.4822,60.0,0.0247,0.0
18,276480,train,2026-04-21 19:11:37,0.0078,1.4266,60.0,0.0238,0.0
19,291840,train,2026-04-21 19:11:56,0.0039,1.6416,60.0,0.0274,0.0
20,307200,train,2026-04-21 19:12:14,0.0,1.6785,60.0,0.028,0.0
21,322560,train,2026-04-21 19:12:33,0.0,1.8478,60.0,0.0308,0.0
22,337920,train,2026-04-21 19:12:51,0.0039,1.5678,60.0,0.0261,0.0
23,353280,train,2026-04-21 19:13:10,0.0039,1.6905,60.0,0.0282,0.0
24,368640,train,2026-04-21 19:13:29,0.0039,1.793,60.0,0.0299,0.0
25,384000,train,2026-04-21 19:13:48,0.0,1.7712,60.0,0.0295,0.0
26,399360,train,2026-04-21 19:14:06,0.0,1.7288,60.0,0.0288,0.0
27,414720,train,2026-04-21 19:14:25,0.0,1.8455,60.0,0.0308,0.0
28,430080,train,2026-04-21 19:14:43,0.0,1.9574,60.0,0.0326,0.0
29,445440,train,2026-04-21 19:15:02,0.0,1.8385,60.0,0.0306,0.0
30,460800,train,2026-04-21 19:15:21,0.0,1.996,60.0,0.0333,0.0
31,476160,train,2026-04-21 19:15:39,0.0039,1.6015,60.0,0.0267,0.0
32,491520,train,2026-04-21 19:15:58,0.0,1.805,60.0,0.0301,0.0
33,506880,train,2026-04-21 19:16:17,0.0,1.9465,60.0,0.0324,0.0
34,522240,train,2026-04-21 19:16:35,0.0039,1.9758,60.0,0.0329,0.0
35,537600,train,2026-04-21 19:16:54,0.0,1.8833,60.0,0.0314,0.0
36,552960,train,2026-04-21 19:17:12,0.0,1.8727,60.0,0.0312,0.0
37,568320,train,2026-04-21 19:17:31,0.0,1.9736,60.0,0.0329,0.0
38,583680,train,2026-04-21 19:17:50,0.0117,2.066,60.0,0.0344,0.0039
39,599040,train,2026-04-21 19:18:08,0.0039,1.7708,60.0,0.0295,0.0
40,614400,train,2026-04-21 19:18:27,0.0039,1.7584,60.0,0.0293,0.0
41,629760,train,2026-04-21 19:18:45,0.0,1.7753,60.0,0.0296,0.0
42,645120,train,2026-04-21 19:19:04,0.0039,1.9905,60.0,0.0332,0.0
43,660480,train,2026-04-21 19:19:23,0.0,1.8259,60.0,0.0304,0.0
44,675840,train,2026-04-21 19:19:41,0.0,1.8073,60.0,0.0301,0.0
45,691200,train,2026-04-21 19:20:00,0.0039,1.9754,60.0,0.0329,0.0
46,706560,train,2026-04-21 19:20:18,0.0039,1.8755,60.0,0.0313,0.0
47,721920,train,2026-04-21 19:20:37,0.0,2.1871,60.0,0.0365,0.0
48,737280,train,2026-04-21 19:20:56,0.0,1.8215,60.0,0.0304,0.0
49,737280,eval,2026-04-21 19:22:36,0.026,6.2065,60.0,0.1034,0.0208
49,752640,train,2026-04-21 19:22:53,0.0,2.1167,60.0,0.0353,0.0
50,768000,train,2026-04-21 19:23:12,0.0,1.8741,60.0,0.0312,0.0
51,783360,train,2026-04-21 19:23:31,0.0,1.9255,60.0,0.0321,0.0
52,798720,train,2026-04-21 19:23:49,0.0,2.1231,60.0,0.0354,0.0
53,814080,train,2026-04-21 19:24:08,0.0,2.1056,60.0,0.0351,0.0
54,829440,train,2026-04-21 19:24:27,0.0,2.0019,60.0,0.0334,0.0
55,844800,train,2026-04-21 19:24:45,0.0039,2.1712,60.0,0.0362,0.0
56,860160,train,2026-04-21 19:25:04,0.0,1.9846,60.0,0.0331,0.0
57,875520,train,2026-04-21 19:25:23,0.0,2.1753,60.0,0.0363,0.0
58,890880,train,2026-04-21 19:25:42,0.0039,1.9088,60.0,0.0318,0.0
59,906240,train,2026-04-21 19:26:00,0.0,2.1245,60.0,0.0354,0.0
60,921600,train,2026-04-21 19:26:19,0.0,2.2681,60.0,0.0378,0.0
61,936960,train,2026-04-21 19:26:38,0.0,2.0616,60.0,0.0344,0.0
62,952320,train,2026-04-21 19:26:56,0.0039,2.0793,60.0,0.0347,0.0
63,967680,train,2026-04-21 19:27:15,0.0,2.1683,60.0,0.0361,0.0
64,983040,train,2026-04-21 19:27:34,0.0039,2.0035,60.0,0.0334,0.0
65,998400,train,2026-04-21 19:27:52,0.0,2.1623,60.0,0.036,0.0
66,1013760,train,2026-04-21 19:28:11,0.0,2.0142,60.0,0.0336,0.0
67,1029120,train,2026-04-21 19:28:30,0.0,1.9597,60.0,0.0327,0.0
68,1044480,train,2026-04-21 19:28:48,0.0,2.0273,60.0,0.0338,0.0
69,1059840,train,2026-04-21 19:29:07,0.0039,2.1442,60.0,0.0357,0.0
70,1075200,train,2026-04-21 19:29:26,0.0039,2.0255,60.0,0.0338,0.0
71,1090560,train,2026-04-21 19:29:44,0.0039,2.1458,60.0,0.0358,0.0
72,1105920,train,2026-04-21 19:30:03,0.0,2.1004,60.0,0.035,0.0
73,1121280,train,2026-04-21 19:30:22,0.0,2.2044,60.0,0.0367,0.0
74,1136640,train,2026-04-21 19:30:40,0.0,2.2334,60.0,0.0372,0.0
75,1152000,train,2026-04-21 19:30:59,0.0,2.0318,60.0,0.0339,0.0
76,1167360,train,2026-04-21 19:31:18,0.0,1.9942,60.0,0.0332,0.0
77,1182720,train,2026-04-21 19:31:36,0.0,2.1199,60.0,0.0353,0.0
78,1198080,train,2026-04-21 19:31:55,0.0,2.3563,60.0,0.0393,0.0
79,1213440,train,2026-04-21 19:32:14,0.0078,2.2155,60.0,0.0369,0.0
80,1228800,train,2026-04-21 19:32:32,0.0039,2.0377,60.0,0.034,0.0
81,1244160,train,2026-04-21 19:32:51,0.0,2.0867,60.0,0.0348,0.0
82,1259520,train,2026-04-21 19:33:10,0.0,2.044,60.0,0.0341,0.0
83,1274880,train,2026-04-21 19:33:28,0.0,2.051,60.0,0.0342,0.0
84,1290240,train,2026-04-21 19:33:47,0.0,2.2017,60.0,0.0367,0.0
85,1305600,train,2026-04-21 19:34:05,0.0,2.036,60.0,0.0339,0.0
86,1320960,train,2026-04-21 19:34:24,0.0078,2.432,60.0,0.0405,0.0
87,1336320,train,2026-04-21 19:34:42,0.0,2.2804,60.0,0.038,0.0
88,1351680,train,2026-04-21 19:35:01,0.0,2.3161,60.0,0.0386,0.0
89,1367040,train,2026-04-21 19:35:20,0.0,1.9253,60.0,0.0321,0.0
90,1382400,train,2026-04-21 19:35:38,0.0078,2.1077,60.0,0.0351,0.0039
91,1397760,train,2026-04-21 19:35:57,0.0039,2.0805,60.0,0.0347,0.0
92,1413120,train,2026-04-21 19:36:15,0.0039,1.9996,60.0,0.0333,0.0
93,1428480,train,2026-04-21 19:36:34,0.0039,2.2418,60.0,0.0374,0.0
94,1443840,train,2026-04-21 19:36:53,0.0,2.0709,60.0,0.0345,0.0
95,1459200,train,2026-04-21 19:37:11,0.0,2.0409,60.0,0.034,0.0
96,1474560,train,2026-04-21 19:37:30,0.0,2.2946,60.0,0.0382,0.0
97,1474560,eval,2026-04-21 19:39:11,0.0365,6.6966,60.0,0.1116,0.0156
97,1489920,train,2026-04-21 19:39:28,0.0,2.0983,60.0,0.035,0.0
98,1505280,train,2026-04-21 19:39:47,0.0039,2.3668,60.0,0.0394,0.0
99,1520640,train,2026-04-21 19:40:06,0.0078,2.3521,60.0,0.0392,0.0039
100,1536000,train,2026-04-21 19:40:24,0.0,2.2943,60.0,0.0382,0.0
101,1551360,train,2026-04-21 19:40:43,0.0,2.1306,60.0,0.0355,0.0
102,1566720,train,2026-04-21 19:41:02,0.0039,2.0822,60.0,0.0347,0.0
103,1582080,train,2026-04-21 19:41:20,0.0039,2.2778,60.0,0.038,0.0
104,1597440,train,2026-04-21 19:41:39,0.0039,2.3359,60.0,0.0389,0.0
105,1612800,train,2026-04-21 19:41:58,0.0039,2.1954,60.0,0.0366,0.0039
106,1628160,train,2026-04-21 19:42:17,0.0,2.0755,60.0,0.0346,0.0
107,1643520,train,2026-04-21 19:42:35,0.0,2.3933,60.0,0.0399,0.0
108,1658880,train,2026-04-21 19:42:54,0.0039,2.2073,60.0,0.0368,0.0
109,1674240,train,2026-04-21 19:43:13,0.0,2.1948,60.0,0.0366,0.0
110,1689600,train,2026-04-21 19:43:31,0.0039,2.2557,60.0,0.0376,0.0
111,1704960,train,2026-04-21 19:43:50,0.0,2.2372,60.0,0.0373,0.0
112,1720320,train,2026-04-21 19:44:09,0.0,2.1477,60.0,0.0358,0.0
113,1735680,train,2026-04-21 19:44:27,0.0,2.0782,60.0,0.0346,0.0
114,1751040,train,2026-04-21 19:44:46,0.0,1.9936,60.0,0.0332,0.0
115,1766400,train,2026-04-21 19:45:05,0.0039,2.0585,60.0,0.0343,0.0
116,1781760,train,2026-04-21 19:45:23,0.0,2.3476,60.0,0.0391,0.0
117,1797120,train,2026-04-21 19:45:42,0.0,2.0679,60.0,0.0345,0.0
118,1812480,train,2026-04-21 19:46:00,0.0078,2.3374,60.0,0.039,0.0
119,1827840,train,2026-04-21 19:46:19,0.0039,2.2186,60.0,0.037,0.0
120,1843200,train,2026-04-21 19:46:38,0.0,2.2612,60.0,0.0377,0.0
121,1858560,train,2026-04-21 19:46:56,0.0039,2.1103,60.0,0.0352,0.0
122,1873920,train,2026-04-21 19:47:15,0.0078,2.0802,60.0,0.0347,0.0
123,1889280,train,2026-04-21 19:47:34,0.0,2.1661,60.0,0.0361,0.0
124,1904640,train,2026-04-21 19:47:53,0.0,2.2248,60.0,0.0371,0.0
125,1920000,train,2026-04-21 19:48:11,0.0039,2.2588,60.0,0.0376,0.0
126,1935360,train,2026-04-21 19:48:30,0.0,2.2688,60.0,0.0378,0.0
127,1950720,train,2026-04-21 19:48:49,0.0,2.2729,60.0,0.0379,0.0
