iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-23 00:14:37,0.0,9.8715,60.0,0.1645,0.0
1,15360,train,2026-04-23 00:14:54,0.0,0.0855,60.0,0.0014,0.0
2,30720,train,2026-04-23 00:15:17,0.0,0.115,60.0,0.0019,0.0
3,46080,train,2026-04-23 00:15:35,0.0,0.279,60.0,0.0046,0.0
4,61440,train,2026-04-23 00:15:53,0.0,0.3706,60.0,0.0062,0.0
5,76800,train,2026-04-23 00:16:11,0.0,0.5013,60.0,0.0084,0.0
6,92160,train,2026-04-23 00:16:29,0.0039,0.6065,60.0,0.0101,0.0
7,107520,train,2026-04-23 00:16:48,0.0,0.7563,60.0,0.0126,0.0
8,122880,train,2026-04-23 00:17:06,0.0,0.7751,60.0,0.0129,0.0
9,138240,train,2026-04-23 00:17:24,0.0,0.9642,60.0,0.0161,0.0
10,153600,train,2026-04-23 00:17:43,0.0,1.1192,60.0,0.0187,0.0
11,168960,train,2026-04-23 00:18:01,0.0,1.3438,60.0,0.0224,0.0
12,184320,train,2026-04-23 00:18:20,0.0039,1.3091,60.0,0.0218,0.0
13,199680,train,2026-04-23 00:18:38,0.0,1.4163,60.0,0.0236,0.0
14,215040,train,2026-04-23 00:18:57,0.0,1.4837,60.0,0.0247,0.0
15,230400,train,2026-04-23 00:19:15,0.0039,1.5927,60.0,0.0265,0.0
16,245760,train,2026-04-23 00:19:34,0.0039,1.526,60.0,0.0254,0.0
17,261120,train,2026-04-23 00:19:53,0.0,1.5004,60.0,0.025,0.0
18,276480,train,2026-04-23 00:20:11,0.0,1.4202,60.0,0.0237,0.0
19,291840,train,2026-04-23 00:20:30,0.0039,1.6592,60.0,0.0277,0.0
20,307200,train,2026-04-23 00:20:48,0.0078,1.7475,60.0,0.0291,0.0
21,322560,train,2026-04-23 00:21:07,0.0,1.8833,60.0,0.0314,0.0
22,337920,train,2026-04-23 00:21:26,0.0,1.6705,60.0,0.0278,0.0
23,353280,train,2026-04-23 00:21:44,0.0039,1.709,60.0,0.0285,0.0
24,368640,train,2026-04-23 00:22:03,0.0,1.7607,60.0,0.0293,0.0
25,384000,train,2026-04-23 00:22:21,0.0,1.811,60.0,0.0302,0.0
26,399360,train,2026-04-23 00:22:40,0.0,1.686,60.0,0.0281,0.0
27,414720,train,2026-04-23 00:22:59,0.0,1.8503,60.0,0.0308,0.0
28,430080,train,2026-04-23 00:23:17,0.0,1.8879,60.0,0.0315,0.0
29,445440,train,2026-04-23 00:23:36,0.0039,1.7465,60.0,0.0291,0.0
30,460800,train,2026-04-23 00:23:55,0.0,1.8118,60.0,0.0302,0.0
31,476160,train,2026-04-23 00:24:13,0.0,1.6958,60.0,0.0283,0.0
32,491520,train,2026-04-23 00:24:32,0.0,1.8329,60.0,0.0305,0.0
33,506880,train,2026-04-23 00:24:51,0.0039,2.0252,60.0,0.0338,0.0
34,522240,train,2026-04-23 00:25:09,0.0,1.7744,60.0,0.0296,0.0
35,537600,train,2026-04-23 00:25:28,0.0,1.8412,60.0,0.0307,0.0
36,552960,train,2026-04-23 00:25:46,0.0039,1.9284,60.0,0.0321,0.0
37,568320,train,2026-04-23 00:26:05,0.0,1.8216,60.0,0.0304,0.0
38,583680,train,2026-04-23 00:26:24,0.0,2.057,60.0,0.0343,0.0
39,599040,train,2026-04-23 00:26:42,0.0039,1.7982,60.0,0.03,0.0
40,614400,train,2026-04-23 00:27:01,0.0039,1.8472,60.0,0.0308,0.0
41,629760,train,2026-04-23 00:27:20,0.0039,1.8629,60.0,0.031,0.0
42,645120,train,2026-04-23 00:27:38,0.0078,2.0327,60.0,0.0339,0.0
43,660480,train,2026-04-23 00:27:57,0.0,1.8554,60.0,0.0309,0.0
44,675840,train,2026-04-23 00:28:15,0.0,1.7665,60.0,0.0294,0.0
45,691200,train,2026-04-23 00:28:34,0.0,1.9157,60.0,0.0319,0.0
46,706560,train,2026-04-23 00:28:53,0.0,1.9736,60.0,0.0329,0.0
47,721920,train,2026-04-23 00:29:11,0.0,2.1311,60.0,0.0355,0.0
48,737280,train,2026-04-23 00:29:30,0.0039,1.779,60.0,0.0296,0.0
49,737280,eval,2026-04-23 00:31:12,0.0208,5.447,60.0,0.0908,0.0
49,752640,train,2026-04-23 00:31:30,0.0,2.0373,60.0,0.034,0.0
50,768000,train,2026-04-23 00:31:49,0.0,1.9091,60.0,0.0318,0.0
51,783360,train,2026-04-23 00:32:07,0.0,1.8867,60.0,0.0314,0.0
52,798720,train,2026-04-23 00:32:26,0.0,2.1079,60.0,0.0351,0.0
53,814080,train,2026-04-23 00:32:44,0.0039,2.0164,60.0,0.0336,0.0
54,829440,train,2026-04-23 00:33:03,0.0,1.9597,60.0,0.0327,0.0
55,844800,train,2026-04-23 00:33:22,0.0039,2.2576,60.0,0.0376,0.0
56,860160,train,2026-04-23 00:33:40,0.0,1.905,60.0,0.0318,0.0
57,875520,train,2026-04-23 00:33:59,0.0039,2.1823,60.0,0.0364,0.0
58,890880,train,2026-04-23 00:34:17,0.0,1.8496,60.0,0.0308,0.0
59,906240,train,2026-04-23 00:34:36,0.0,2.1527,60.0,0.0359,0.0
60,921600,train,2026-04-23 00:34:55,0.0039,2.3336,60.0,0.0389,0.0
61,936960,train,2026-04-23 00:35:14,0.0078,1.9736,60.0,0.0329,0.0
62,952320,train,2026-04-23 00:35:32,0.0,2.1691,60.0,0.0362,0.0
63,967680,train,2026-04-23 00:35:51,0.0,2.1812,60.0,0.0364,0.0
64,983040,train,2026-04-23 00:36:10,0.0,2.0559,60.0,0.0343,0.0
65,998400,train,2026-04-23 00:36:28,0.0039,2.0499,60.0,0.0342,0.0
66,1013760,train,2026-04-23 00:36:47,0.0,2.0509,60.0,0.0342,0.0
67,1029120,train,2026-04-23 00:37:06,0.0,2.0486,60.0,0.0341,0.0
68,1044480,train,2026-04-23 00:37:24,0.0,1.9832,60.0,0.0331,0.0
69,1059840,train,2026-04-23 00:37:43,0.0156,2.0604,60.0,0.0343,0.0
70,1075200,train,2026-04-23 00:38:02,0.0117,2.0549,60.0,0.0342,0.0
71,1090560,train,2026-04-23 00:38:20,0.0,2.0611,60.0,0.0344,0.0
72,1105920,train,2026-04-23 00:38:39,0.0,2.1273,60.0,0.0355,0.0
73,1121280,train,2026-04-23 00:38:58,0.0,2.3733,60.0,0.0396,0.0
74,1136640,train,2026-04-23 00:39:16,0.0,2.2235,60.0,0.0371,0.0
75,1152000,train,2026-04-23 00:39:36,0.0,2.0091,60.0,0.0335,0.0
76,1167360,train,2026-04-23 00:39:54,0.0039,1.9258,60.0,0.0321,0.0
77,1182720,train,2026-04-23 00:40:13,0.0,2.1339,60.0,0.0356,0.0
78,1198080,train,2026-04-23 00:40:32,0.0,2.3916,60.0,0.0399,0.0
79,1213440,train,2026-04-23 00:40:50,0.0,2.1546,60.0,0.0359,0.0
80,1228800,train,2026-04-23 00:41:09,0.0,2.0066,60.0,0.0334,0.0
81,1244160,train,2026-04-23 00:41:28,0.0,2.2593,60.0,0.0377,0.0
82,1259520,train,2026-04-23 00:41:46,0.0,2.2602,60.0,0.0377,0.0
83,1274880,train,2026-04-23 00:42:06,0.0078,2.1538,60.0,0.0359,0.0
84,1290240,train,2026-04-23 00:42:24,0.0,2.1323,60.0,0.0355,0.0
85,1305600,train,2026-04-23 00:42:43,0.0,2.1615,60.0,0.036,0.0
86,1320960,train,2026-04-23 00:43:02,0.0,2.4177,60.0,0.0403,0.0
87,1336320,train,2026-04-23 00:43:21,0.0,2.3279,60.0,0.0388,0.0
88,1351680,train,2026-04-23 00:43:39,0.0039,2.3493,60.0,0.0392,0.0
89,1367040,train,2026-04-23 00:43:58,0.0,2.2062,60.0,0.0368,0.0
90,1382400,train,2026-04-23 00:44:17,0.0117,2.3938,60.0,0.0399,0.0
91,1397760,train,2026-04-23 00:44:35,0.0039,2.2772,60.0,0.038,0.0
92,1413120,train,2026-04-23 00:44:54,0.0,2.1227,60.0,0.0354,0.0
93,1428480,train,2026-04-23 00:45:13,0.0,2.3346,60.0,0.0389,0.0
94,1443840,train,2026-04-23 00:45:32,0.0039,2.1569,60.0,0.0359,0.0
95,1459200,train,2026-04-23 00:45:50,0.0,2.0971,60.0,0.035,0.0
96,1474560,train,2026-04-23 00:46:09,0.0,2.1187,60.0,0.0353,0.0
97,1474560,eval,2026-04-23 00:47:51,0.0677,4.6014,60.0,0.0767,0.0417
97,1489920,train,2026-04-23 00:48:09,0.0039,2.1569,60.0,0.0359,0.0
98,1505280,train,2026-04-23 00:48:28,0.0039,2.2564,60.0,0.0376,0.0
99,1520640,train,2026-04-23 00:48:46,0.0039,2.3409,60.0,0.039,0.0
100,1536000,train,2026-04-23 00:49:06,0.0117,2.3014,60.0,0.0384,0.0
101,1551360,train,2026-04-23 00:49:24,0.0,2.1473,60.0,0.0358,0.0
102,1566720,train,2026-04-23 00:49:43,0.0039,2.2803,60.0,0.038,0.0
103,1582080,train,2026-04-23 00:50:01,0.0039,2.288,60.0,0.0381,0.0
104,1597440,train,2026-04-23 00:50:20,0.0,2.1312,60.0,0.0355,0.0
105,1612800,train,2026-04-23 00:50:39,0.0,1.887,60.0,0.0315,0.0
106,1628160,train,2026-04-23 00:50:58,0.0,2.2984,60.0,0.0383,0.0
107,1643520,train,2026-04-23 00:51:16,0.0,2.3788,60.0,0.0396,0.0
108,1658880,train,2026-04-23 00:51:35,0.0039,2.1483,60.0,0.0358,0.0
109,1674240,train,2026-04-23 00:51:54,0.0,2.2546,60.0,0.0376,0.0
110,1689600,train,2026-04-23 00:52:13,0.0039,2.2809,60.0,0.038,0.0
111,1704960,train,2026-04-23 00:52:31,0.0,2.0332,60.0,0.0339,0.0
112,1720320,train,2026-04-23 00:52:50,0.0,2.2411,60.0,0.0374,0.0
113,1735680,train,2026-04-23 00:53:08,0.0,2.0521,60.0,0.0342,0.0
114,1751040,train,2026-04-23 00:53:27,0.0039,2.1401,60.0,0.0357,0.0
115,1766400,train,2026-04-23 00:53:46,0.0,2.174,60.0,0.0362,0.0
116,1781760,train,2026-04-23 00:54:04,0.0,2.4082,60.0,0.0401,0.0
117,1797120,train,2026-04-23 00:54:23,0.0,2.0223,60.0,0.0337,0.0
118,1812480,train,2026-04-23 00:54:41,0.0,2.408,60.0,0.0401,0.0
119,1827840,train,2026-04-23 00:55:00,0.0039,2.1788,60.0,0.0363,0.0
120,1843200,train,2026-04-23 00:55:19,0.0039,2.2577,60.0,0.0376,0.0
121,1858560,train,2026-04-23 00:55:37,0.0,2.0608,60.0,0.0343,0.0
122,1873920,train,2026-04-23 00:55:56,0.0039,2.1792,60.0,0.0363,0.0
123,1889280,train,2026-04-23 00:56:14,0.0078,2.1631,60.0,0.0361,0.0
124,1904640,train,2026-04-23 00:56:33,0.0,2.3002,60.0,0.0383,0.0
125,1920000,train,2026-04-23 00:56:52,0.0078,2.3508,60.0,0.0392,0.0
126,1935360,train,2026-04-23 00:57:10,0.0,2.195,60.0,0.0366,0.0
127,1950720,train,2026-04-23 00:57:29,0.0,2.2145,60.0,0.0369,0.0
128,1966080,train,2026-04-23 00:57:48,0.0078,2.1207,60.0,0.0353,0.0
129,1981440,train,2026-04-23 00:58:06,0.0039,2.3352,60.0,0.0389,0.0
130,1996800,train,2026-04-23 00:58:25,0.0039,2.3151,60.0,0.0386,0.0
131,2012160,train,2026-04-23 00:58:44,0.0,2.0796,60.0,0.0347,0.0
132,2027520,train,2026-04-23 00:59:02,0.0039,2.0848,60.0,0.0347,0.0
133,2042880,train,2026-04-23 00:59:21,0.0,2.0111,60.0,0.0335,0.0
134,2058240,train,2026-04-23 00:59:40,0.0039,2.3109,60.0,0.0385,0.0
135,2073600,train,2026-04-23 00:59:58,0.0078,2.2286,60.0,0.0371,0.0
136,2088960,train,2026-04-23 01:00:17,0.0039,2.2853,60.0,0.0381,0.0
137,2104320,train,2026-04-23 01:00:36,0.0,2.1512,60.0,0.0359,0.0
138,2119680,train,2026-04-23 01:00:55,0.0039,2.3172,60.0,0.0386,0.0
139,2135040,train,2026-04-23 01:01:13,0.0039,2.5107,60.0,0.0418,0.0
140,2150400,train,2026-04-23 01:01:32,0.0039,2.1242,60.0,0.0354,0.0
