iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-22 05:29:53,0.0,9.8574,60.0,0.1643,0.0
1,15360,train,2026-04-22 05:30:10,0.0,0.083,60.0,0.0014,0.0
2,30720,train,2026-04-22 05:30:27,0.0,0.1485,60.0,0.0025,0.0
3,46080,train,2026-04-22 05:30:45,0.0,0.1808,60.0,0.003,0.0
4,61440,train,2026-04-22 05:31:02,0.0,0.2008,60.0,0.0033,0.0
5,76800,train,2026-04-22 05:31:20,0.0,0.2529,60.0,0.0042,0.0
6,92160,train,2026-04-22 05:31:38,0.0,0.2663,60.0,0.0044,0.0
7,107520,train,2026-04-22 05:31:56,0.0,0.3232,60.0,0.0054,0.0
8,122880,train,2026-04-22 05:32:14,0.0039,0.377,60.0,0.0063,0.0
9,138240,train,2026-04-22 05:32:32,0.0,0.6262,60.0,0.0104,0.0
10,153600,train,2026-04-22 05:32:50,0.0039,0.7375,60.0,0.0123,0.0
11,168960,train,2026-04-22 05:33:08,0.0,0.956,60.0,0.0159,0.0
12,184320,train,2026-04-22 05:33:26,0.0,0.9242,60.0,0.0154,0.0
13,199680,train,2026-04-22 05:33:44,0.0,1.0306,60.0,0.0172,0.0
14,215040,train,2026-04-22 05:34:02,0.0,1.2459,60.0,0.0208,0.0
15,230400,train,2026-04-22 05:34:20,0.0039,1.2692,60.0,0.0212,0.0
16,245760,train,2026-04-22 05:34:39,0.0,1.3557,60.0,0.0226,0.0
17,261120,train,2026-04-22 05:34:57,0.0,1.4901,60.0,0.0248,0.0
18,276480,train,2026-04-22 05:35:15,0.0,1.6399,60.0,0.0273,0.0
19,291840,train,2026-04-22 05:35:33,0.0078,1.614,60.0,0.0269,0.0
20,307200,train,2026-04-22 05:35:52,0.0,1.5113,60.0,0.0252,0.0
21,322560,train,2026-04-22 05:36:10,0.0039,1.662,60.0,0.0277,0.0
22,337920,train,2026-04-22 05:36:28,0.0,1.7288,60.0,0.0288,0.0
23,353280,train,2026-04-22 05:36:46,0.0,1.8348,60.0,0.0306,0.0
24,368640,train,2026-04-22 05:37:05,0.0039,1.6815,60.0,0.028,0.0
