iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-23 07:34:58,0.0,9.8573,60.0,0.1643,0.0
1,15360,train,2026-04-23 07:35:15,0.0,0.083,60.0,0.0014,0.0
2,30720,train,2026-04-23 07:35:32,0.0,0.1485,60.0,0.0025,0.0
3,46080,train,2026-04-23 07:35:50,0.0,0.182,60.0,0.003,0.0
4,61440,train,2026-04-23 07:36:08,0.0,0.2016,60.0,0.0034,0.0
5,76800,train,2026-04-23 07:36:26,0.0,0.2539,60.0,0.0042,0.0
6,92160,train,2026-04-23 07:36:44,0.0,0.2701,60.0,0.0045,0.0
7,107520,train,2026-04-23 07:37:02,0.0,0.3362,60.0,0.0056,0.0
8,122880,train,2026-04-23 07:37:20,0.0039,0.3944,60.0,0.0066,0.0
9,138240,train,2026-04-23 07:37:38,0.0,0.6821,60.0,0.0114,0.0
10,153600,train,2026-04-23 07:37:56,0.0039,0.7675,60.0,0.0128,0.0
11,168960,train,2026-04-23 07:38:14,0.0,0.978,60.0,0.0163,0.0
12,184320,train,2026-04-23 07:38:33,0.0,0.9466,60.0,0.0158,0.0
13,199680,train,2026-04-23 07:38:51,0.0,1.0817,60.0,0.018,0.0
14,215040,train,2026-04-23 07:39:09,0.0,1.1964,60.0,0.0199,0.0
15,230400,train,2026-04-23 07:39:27,0.0039,1.2322,60.0,0.0205,0.0
16,245760,train,2026-04-23 07:39:46,0.0,1.3476,60.0,0.0225,0.0
17,261120,train,2026-04-23 07:40:04,0.0,1.5266,60.0,0.0254,0.0
18,276480,train,2026-04-23 07:40:22,0.0,1.6666,60.0,0.0278,0.0
19,291840,train,2026-04-23 07:40:40,0.0,1.5643,60.0,0.0261,0.0
20,307200,train,2026-04-23 07:40:59,0.0,1.542,60.0,0.0257,0.0
21,322560,train,2026-04-23 07:41:17,0.0,1.6634,60.0,0.0277,0.0
22,337920,train,2026-04-23 07:41:35,0.0039,1.7287,60.0,0.0288,0.0
23,353280,train,2026-04-23 07:41:54,0.0,1.7979,60.0,0.03,0.0
24,368640,train,2026-04-23 07:42:12,0.0,1.6758,60.0,0.0279,0.0
25,384000,train,2026-04-23 07:42:30,0.0,1.6125,60.0,0.0269,0.0
26,399360,train,2026-04-23 07:42:49,0.0,1.6771,60.0,0.028,0.0
