iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-22 19:49:21,0.0,9.866,60.0,0.1644,0.0
1,15360,train,2026-04-22 19:49:37,0.0,0.0666,60.0,0.0011,0.0
2,30720,train,2026-04-22 19:49:58,0.0,0.0833,60.0,0.0014,0.0
3,46080,train,2026-04-22 19:50:14,0.0,0.1827,60.0,0.003,0.0
4,61440,train,2026-04-22 19:50:31,0.0,0.1824,60.0,0.003,0.0
5,76800,train,2026-04-22 19:50:47,0.0,0.3124,60.0,0.0052,0.0
6,92160,train,2026-04-22 19:51:03,0.0,0.4085,60.0,0.0068,0.0
7,107520,train,2026-04-22 19:51:20,0.0,0.5977,60.0,0.01,0.0
8,122880,train,2026-04-22 19:51:36,0.0,0.7576,60.0,0.0126,0.0
9,138240,train,2026-04-22 19:51:53,0.0,0.9599,60.0,0.016,0.0
10,153600,train,2026-04-22 19:52:09,0.0078,1.1032,60.0,0.0184,0.0
11,168960,train,2026-04-22 19:52:26,0.0,1.2532,60.0,0.0209,0.0
12,184320,train,2026-04-22 19:52:43,0.0039,1.4244,60.0,0.0237,0.0
13,199680,train,2026-04-22 19:52:59,0.0,1.4233,60.0,0.0237,0.0
14,215040,train,2026-04-22 19:53:16,0.0,1.4434,60.0,0.0241,0.0
15,230400,train,2026-04-22 19:53:32,0.0,1.4761,60.0,0.0246,0.0
16,245760,train,2026-04-22 19:53:49,0.0,1.6052,60.0,0.0268,0.0
17,261120,train,2026-04-22 19:54:05,0.0039,2.0019,60.0,0.0334,0.0
18,276480,train,2026-04-22 19:54:22,0.0,1.8851,60.0,0.0314,0.0
19,291840,train,2026-04-22 19:54:39,0.0,1.9815,60.0,0.033,0.0
20,307200,train,2026-04-22 19:54:55,0.0039,1.7755,60.0,0.0296,0.0
21,322560,train,2026-04-22 19:55:12,0.0,2.1544,60.0,0.0359,0.0
22,337920,train,2026-04-22 19:55:29,0.0039,1.9672,60.0,0.0328,0.0
23,353280,train,2026-04-22 19:55:45,0.0039,2.2756,60.0,0.0379,0.0
24,368640,train,2026-04-22 19:56:02,0.0078,2.1295,60.0,0.0355,0.0
25,384000,train,2026-04-22 19:56:18,0.0,2.2985,60.0,0.0383,0.0
26,399360,train,2026-04-22 19:56:35,0.0039,2.2103,60.0,0.0368,0.0
27,414720,train,2026-04-22 19:56:52,0.0,2.42,60.0,0.0403,0.0
28,430080,train,2026-04-22 19:57:08,0.0,2.4862,60.0,0.0414,0.0
29,445440,train,2026-04-22 19:57:25,0.0039,2.4363,60.0,0.0406,0.0
30,460800,train,2026-04-22 19:57:41,0.0039,2.5378,60.0,0.0423,0.0
31,476160,train,2026-04-22 19:57:58,0.0,2.6691,60.0,0.0445,0.0
32,491520,train,2026-04-22 19:58:15,0.0,2.8157,60.0,0.0469,0.0
33,506880,train,2026-04-22 19:58:31,0.0,2.6564,60.0,0.0443,0.0
34,522240,train,2026-04-22 19:58:48,0.0,2.7746,60.0,0.0462,0.0
35,537600,train,2026-04-22 19:59:04,0.0,2.8782,60.0,0.048,0.0
36,552960,train,2026-04-22 19:59:21,0.0,2.7761,60.0,0.0463,0.0
37,568320,train,2026-04-22 19:59:38,0.0039,2.9057,60.0,0.0484,0.0
38,583680,train,2026-04-22 19:59:54,0.0,2.6686,60.0,0.0445,0.0
39,599040,train,2026-04-22 20:00:11,0.0,2.8047,60.0,0.0467,0.0
40,614400,train,2026-04-22 20:00:27,0.0117,2.8346,60.0,0.0472,0.0
41,629760,train,2026-04-22 20:00:44,0.0,2.6944,60.0,0.0449,0.0
42,645120,train,2026-04-22 20:01:01,0.0117,3.0511,60.0,0.0509,0.0
43,660480,train,2026-04-22 20:01:17,0.0039,3.0773,60.0,0.0513,0.0
44,675840,train,2026-04-22 20:01:34,0.0039,2.7484,60.0,0.0458,0.0
45,691200,train,2026-04-22 20:01:50,0.0117,2.7346,60.0,0.0456,0.0
46,706560,train,2026-04-22 20:02:07,0.0,2.9687,60.0,0.0495,0.0
47,721920,train,2026-04-22 20:02:24,0.0078,3.1172,60.0,0.052,0.0
48,737280,train,2026-04-22 20:02:40,0.0039,2.9402,60.0,0.049,0.0
49,737280,eval,2026-04-22 20:04:09,0.1198,7.3848,60.0,0.1231,0.0781
49,752640,train,2026-04-22 20:04:25,0.0,3.2967,60.0,0.0549,0.0
50,768000,train,2026-04-22 20:04:41,0.0039,3.1507,60.0,0.0525,0.0
51,783360,train,2026-04-22 20:04:58,0.0039,3.0938,60.0,0.0516,0.0
52,798720,train,2026-04-22 20:05:15,0.0039,3.1666,60.0,0.0528,0.0
53,814080,train,2026-04-22 20:05:31,0.0078,3.0863,60.0,0.0514,0.0
54,829440,train,2026-04-22 20:05:48,0.0,2.9728,60.0,0.0495,0.0
