iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-21 22:37:02,0.0,9.8653,60.0,0.1644,0.0
1,15360,train,2026-04-21 22:37:17,0.0,0.0838,60.0,0.0014,0.0
2,30720,train,2026-04-21 22:37:34,0.0,0.0821,60.0,0.0014,0.0
3,46080,train,2026-04-21 22:37:50,0.0,0.1357,60.0,0.0023,0.0
4,61440,train,2026-04-21 22:38:07,0.0,0.2045,60.0,0.0034,0.0
5,76800,train,2026-04-21 22:38:24,0.0,0.2179,60.0,0.0036,0.0
6,92160,train,2026-04-21 22:38:40,0.0,0.2915,60.0,0.0049,0.0
7,107520,train,2026-04-21 22:38:57,0.0,0.2505,60.0,0.0042,0.0
8,122880,train,2026-04-21 22:39:14,0.0,0.4048,60.0,0.0067,0.0
9,138240,train,2026-04-21 22:39:31,0.0,0.4261,60.0,0.0071,0.0
10,153600,train,2026-04-21 22:39:48,0.0,0.6496,60.0,0.0108,0.0
11,168960,train,2026-04-21 22:40:05,0.0,0.7579,60.0,0.0126,0.0
12,184320,train,2026-04-21 22:40:22,0.0039,0.8116,60.0,0.0135,0.0
13,199680,train,2026-04-21 22:40:39,0.0,0.9819,60.0,0.0164,0.0
14,215040,train,2026-04-21 22:40:56,0.0,1.0695,60.0,0.0178,0.0
15,230400,train,2026-04-21 22:41:13,0.0,1.2535,60.0,0.0209,0.0
16,245760,train,2026-04-21 22:41:30,0.0,1.4711,60.0,0.0245,0.0
17,261120,train,2026-04-21 22:41:47,0.0,1.5962,60.0,0.0266,0.0
18,276480,train,2026-04-21 22:42:04,0.0039,1.5324,60.0,0.0255,0.0
19,291840,train,2026-04-21 22:42:21,0.0039,1.5227,60.0,0.0254,0.0
20,307200,train,2026-04-21 22:42:38,0.0078,1.4972,60.0,0.025,0.0
21,322560,train,2026-04-21 22:42:55,0.0039,1.7799,60.0,0.0297,0.0
22,337920,train,2026-04-21 22:43:12,0.0039,1.8542,60.0,0.0309,0.0
23,353280,train,2026-04-21 22:43:29,0.0039,1.7284,60.0,0.0288,0.0
24,368640,train,2026-04-21 22:43:50,0.0039,1.7202,60.0,0.0287,0.0
25,384000,train,2026-04-21 22:44:07,0.0078,1.6344,60.0,0.0272,0.0039
26,399360,train,2026-04-21 22:44:24,0.0,1.8227,60.0,0.0304,0.0
27,414720,train,2026-04-21 22:44:41,0.0,1.7787,60.0,0.0296,0.0
28,430080,train,2026-04-21 22:44:58,0.0,1.8476,60.0,0.0308,0.0
29,445440,train,2026-04-21 22:45:15,0.0,1.8193,60.0,0.0303,0.0
30,460800,train,2026-04-21 22:45:32,0.0,1.8887,60.0,0.0315,0.0
31,476160,train,2026-04-21 22:45:49,0.0,1.834,60.0,0.0306,0.0
32,491520,train,2026-04-21 22:46:06,0.0,1.9123,60.0,0.0319,0.0
33,506880,train,2026-04-21 22:46:23,0.0039,2.0695,60.0,0.0345,0.0
34,522240,train,2026-04-21 22:46:40,0.0,2.0375,60.0,0.034,0.0
35,537600,train,2026-04-21 22:46:57,0.0039,2.0978,60.0,0.035,0.0
36,552960,train,2026-04-21 22:47:14,0.0117,1.9455,60.0,0.0324,0.0
37,568320,train,2026-04-21 22:47:31,0.0,2.2083,60.0,0.0368,0.0
38,583680,train,2026-04-21 22:47:48,0.0039,2.1233,60.0,0.0354,0.0
39,599040,train,2026-04-21 22:48:05,0.0,2.1425,60.0,0.0357,0.0
40,614400,train,2026-04-21 22:48:22,0.0039,2.1727,60.0,0.0362,0.0
41,629760,train,2026-04-21 22:48:39,0.0,2.0165,60.0,0.0336,0.0
42,645120,train,2026-04-21 22:48:56,0.0078,2.3246,60.0,0.0387,0.0
43,660480,train,2026-04-21 22:49:13,0.0,2.0386,60.0,0.034,0.0
44,675840,train,2026-04-21 22:49:30,0.0,1.9672,60.0,0.0328,0.0
45,691200,train,2026-04-21 22:49:47,0.0039,2.1442,60.0,0.0357,0.0
46,706560,train,2026-04-21 22:50:04,0.0,2.0783,60.0,0.0346,0.0
47,721920,train,2026-04-21 22:50:21,0.0039,2.165,60.0,0.0361,0.0
48,737280,train,2026-04-21 22:50:38,0.0,2.2465,60.0,0.0374,0.0
49,737280,eval,2026-04-21 22:52:11,0.026,4.3591,60.0,0.0727,0.0104
49,752640,train,2026-04-21 22:52:26,0.0039,2.1794,60.0,0.0363,0.0
50,768000,train,2026-04-21 22:52:43,0.0,2.2105,60.0,0.0368,0.0
51,783360,train,2026-04-21 22:53:01,0.0039,2.277,60.0,0.038,0.0
52,798720,train,2026-04-21 22:53:18,0.0,2.1096,60.0,0.0352,0.0
53,814080,train,2026-04-21 22:53:35,0.0039,2.0848,60.0,0.0347,0.0
54,829440,train,2026-04-21 22:53:52,0.0,2.1425,60.0,0.0357,0.0
55,844800,train,2026-04-21 22:54:09,0.0,2.3958,60.0,0.0399,0.0
56,860160,train,2026-04-21 22:54:26,0.0,2.3145,60.0,0.0386,0.0
57,875520,train,2026-04-21 22:54:43,0.0,2.2188,60.0,0.037,0.0
58,890880,train,2026-04-21 22:55:00,0.0,2.4027,60.0,0.04,0.0
59,906240,train,2026-04-21 22:55:17,0.0,1.9996,60.0,0.0333,0.0
60,921600,train,2026-04-21 22:55:34,0.0039,2.13,60.0,0.0355,0.0
61,936960,train,2026-04-21 22:55:51,0.0078,2.4232,60.0,0.0404,0.0
62,952320,train,2026-04-21 22:56:08,0.0,2.2706,60.0,0.0378,0.0
63,967680,train,2026-04-21 22:56:25,0.0078,2.2754,60.0,0.0379,0.0
64,983040,train,2026-04-21 22:56:42,0.0078,2.2989,60.0,0.0383,0.0
65,998400,train,2026-04-21 22:56:59,0.0078,2.1835,60.0,0.0364,0.0
66,1013760,train,2026-04-21 22:57:16,0.0,2.4357,60.0,0.0406,0.0
67,1029120,train,2026-04-21 22:57:33,0.0,2.1322,60.0,0.0355,0.0
68,1044480,train,2026-04-21 22:57:50,0.0,2.2075,60.0,0.0368,0.0
69,1059840,train,2026-04-21 22:58:07,0.0039,2.5238,60.0,0.0421,0.0
70,1075200,train,2026-04-21 22:58:24,0.0039,2.3903,60.0,0.0398,0.0
71,1090560,train,2026-04-21 22:58:41,0.0,2.3764,60.0,0.0396,0.0
72,1105920,train,2026-04-21 22:58:58,0.0039,2.0651,60.0,0.0344,0.0
73,1121280,train,2026-04-21 22:59:15,0.0078,1.919,60.0,0.032,0.0
74,1136640,train,2026-04-21 22:59:33,0.0,2.2708,60.0,0.0378,0.0
75,1152000,train,2026-04-21 22:59:50,0.0,2.4441,60.0,0.0407,0.0
76,1167360,train,2026-04-21 23:00:07,0.0,2.2872,60.0,0.0381,0.0
77,1182720,train,2026-04-21 23:00:24,0.0,2.177,60.0,0.0363,0.0
78,1198080,train,2026-04-21 23:00:41,0.0039,2.3248,60.0,0.0387,0.0
79,1213440,train,2026-04-21 23:00:58,0.0039,2.3455,60.0,0.0391,0.0
80,1228800,train,2026-04-21 23:01:15,0.0039,2.3472,60.0,0.0391,0.0
81,1244160,train,2026-04-21 23:01:32,0.0039,2.393,60.0,0.0399,0.0
82,1259520,train,2026-04-21 23:01:49,0.0039,2.4035,60.0,0.0401,0.0
83,1274880,train,2026-04-21 23:02:06,0.0039,2.2926,60.0,0.0382,0.0
