iteration,total_env_steps,mode,timestamp,success_once,return,episode_len,reward,success_at_end
1,0,eval,2026-04-22 07:13:13,0.0,9.9407,60.0,0.1657,0.0
1,15360,train,2026-04-22 07:13:28,0.0,0.0842,60.0,0.0014,0.0
2,30720,train,2026-04-22 07:13:45,0.0,0.0725,60.0,0.0012,0.0
3,46080,train,2026-04-22 07:14:01,0.0,0.1286,60.0,0.0021,0.0
4,61440,train,2026-04-22 07:14:17,0.0,0.2959,60.0,0.0049,0.0
5,76800,train,2026-04-22 07:14:34,0.0,0.4699,60.0,0.0078,0.0
6,92160,train,2026-04-22 07:14:51,0.0,0.5872,60.0,0.0098,0.0
7,107520,train,2026-04-22 07:15:08,0.0,0.5675,60.0,0.0095,0.0
8,122880,train,2026-04-22 07:15:24,0.0039,0.8604,60.0,0.0143,0.0
9,138240,train,2026-04-22 07:15:41,0.0,0.9479,60.0,0.0158,0.0
10,153600,train,2026-04-22 07:15:58,0.0,1.052,60.0,0.0175,0.0
11,168960,train,2026-04-22 07:16:15,0.0,1.1207,60.0,0.0187,0.0
12,184320,train,2026-04-22 07:16:32,0.0,1.1956,60.0,0.0199,0.0
13,199680,train,2026-04-22 07:16:48,0.0078,1.4046,60.0,0.0234,0.0
14,215040,train,2026-04-22 07:17:05,0.0,1.4667,60.0,0.0244,0.0
15,230400,train,2026-04-22 07:17:22,0.0,1.4533,60.0,0.0242,0.0
16,245760,train,2026-04-22 07:17:39,0.0039,1.6631,60.0,0.0277,0.0
17,261120,train,2026-04-22 07:17:56,0.0,1.7441,60.0,0.0291,0.0
18,276480,train,2026-04-22 07:18:13,0.0,1.6594,60.0,0.0277,0.0
19,291840,train,2026-04-22 07:18:30,0.0078,1.9083,60.0,0.0318,0.0
20,307200,train,2026-04-22 07:18:47,0.0,1.6976,60.0,0.0283,0.0
21,322560,train,2026-04-22 07:19:03,0.0,2.0146,60.0,0.0336,0.0
22,337920,train,2026-04-22 07:19:20,0.0039,1.923,60.0,0.032,0.0
23,353280,train,2026-04-22 07:19:37,0.0039,1.7428,60.0,0.029,0.0
24,368640,train,2026-04-22 07:19:54,0.0,2.0255,60.0,0.0338,0.0
25,384000,train,2026-04-22 07:20:11,0.0039,1.916,60.0,0.0319,0.0
26,399360,train,2026-04-22 07:20:28,0.0,1.9422,60.0,0.0324,0.0
27,414720,train,2026-04-22 07:20:45,0.0039,2.0806,60.0,0.0347,0.0
28,430080,train,2026-04-22 07:21:02,0.0,1.8498,60.0,0.0308,0.0
29,445440,train,2026-04-22 07:21:18,0.0039,2.1468,60.0,0.0358,0.0
30,460800,train,2026-04-22 07:21:35,0.0,2.2653,60.0,0.0378,0.0
31,476160,train,2026-04-22 07:21:52,0.0078,2.0237,60.0,0.0337,0.0
32,491520,train,2026-04-22 07:22:09,0.0039,2.1009,60.0,0.035,0.0
33,506880,train,2026-04-22 07:22:26,0.0039,2.3768,60.0,0.0396,0.0
34,522240,train,2026-04-22 07:22:43,0.0039,2.4568,60.0,0.0409,0.0
35,537600,train,2026-04-22 07:23:00,0.0,2.4071,60.0,0.0401,0.0
36,552960,train,2026-04-22 07:23:16,0.0039,2.3707,60.0,0.0395,0.0
37,568320,train,2026-04-22 07:23:33,0.0,2.2793,60.0,0.038,0.0
38,583680,train,2026-04-22 07:23:50,0.0,2.2862,60.0,0.0381,0.0
39,599040,train,2026-04-22 07:24:07,0.0117,2.2793,60.0,0.038,0.0
40,614400,train,2026-04-22 07:24:24,0.0039,2.4393,60.0,0.0407,0.0
41,629760,train,2026-04-22 07:24:41,0.0039,2.4882,60.0,0.0415,0.0
42,645120,train,2026-04-22 07:24:58,0.0039,2.6886,60.0,0.0448,0.0
43,660480,train,2026-04-22 07:25:14,0.0078,2.4005,60.0,0.04,0.0
44,675840,train,2026-04-22 07:25:31,0.0039,2.4938,60.0,0.0416,0.0039
45,691200,train,2026-04-22 07:25:48,0.0039,2.3646,60.0,0.0394,0.0
46,706560,train,2026-04-22 07:26:05,0.0117,2.3564,60.0,0.0393,0.0
47,721920,train,2026-04-22 07:26:22,0.0039,2.4531,60.0,0.0409,0.0
48,737280,train,2026-04-22 07:26:39,0.0,2.3317,60.0,0.0389,0.0
49,737280,eval,2026-04-22 07:28:08,0.0417,4.4604,60.0,0.0743,0.0052
49,752640,train,2026-04-22 07:28:24,0.0,2.2634,60.0,0.0377,0.0
50,768000,train,2026-04-22 07:28:40,0.0,2.3897,60.0,0.0398,0.0
51,783360,train,2026-04-22 07:28:57,0.0039,2.5642,60.0,0.0427,0.0
52,798720,train,2026-04-22 07:29:14,0.0078,2.4965,60.0,0.0416,0.0
53,814080,train,2026-04-22 07:29:31,0.0039,2.3812,60.0,0.0397,0.0
54,829440,train,2026-04-22 07:29:48,0.0039,2.5477,60.0,0.0425,0.0
55,844800,train,2026-04-22 07:30:04,0.0,2.3426,60.0,0.039,0.0
56,860160,train,2026-04-22 07:30:21,0.0,2.5838,60.0,0.0431,0.0
57,875520,train,2026-04-22 07:30:38,0.0117,2.6048,60.0,0.0434,0.0
58,890880,train,2026-04-22 07:30:55,0.0078,2.4998,60.0,0.0417,0.0
59,906240,train,2026-04-22 07:31:12,0.0,2.4643,60.0,0.0411,0.0
60,921600,train,2026-04-22 07:31:29,0.0117,2.3825,60.0,0.0397,0.0
61,936960,train,2026-04-22 07:31:46,0.0117,2.7815,60.0,0.0464,0.0
62,952320,train,2026-04-22 07:32:03,0.0,2.5761,60.0,0.0429,0.0
63,967680,train,2026-04-22 07:32:19,0.0039,2.7333,60.0,0.0456,0.0
64,983040,train,2026-04-22 07:32:36,0.0039,2.8406,60.0,0.0473,0.0
65,998400,train,2026-04-22 07:32:53,0.0078,2.7218,60.0,0.0454,0.0
66,1013760,train,2026-04-22 07:33:10,0.0078,2.7263,60.0,0.0454,0.0
67,1029120,train,2026-04-22 07:33:27,0.0,2.6107,60.0,0.0435,0.0
68,1044480,train,2026-04-22 07:33:44,0.0078,2.8884,60.0,0.0481,0.0
69,1059840,train,2026-04-22 07:34:01,0.0039,2.4285,60.0,0.0405,0.0
70,1075200,train,2026-04-22 07:34:18,0.0,2.8501,60.0,0.0475,0.0
71,1090560,train,2026-04-22 07:34:34,0.0039,2.8886,60.0,0.0481,0.0
72,1105920,train,2026-04-22 07:34:51,0.0,2.4162,60.0,0.0403,0.0
73,1121280,train,2026-04-22 07:35:08,0.0,2.3464,60.0,0.0391,0.0
74,1136640,train,2026-04-22 07:35:25,0.0078,2.7929,60.0,0.0465,0.0
75,1152000,train,2026-04-22 07:35:42,0.0039,2.6741,60.0,0.0446,0.0
76,1167360,train,2026-04-22 07:35:59,0.0117,2.7156,60.0,0.0453,0.0
77,1182720,train,2026-04-22 07:36:16,0.0,2.7523,60.0,0.0459,0.0
78,1198080,train,2026-04-22 07:36:33,0.0,2.753,60.0,0.0459,0.0
79,1213440,train,2026-04-22 07:36:50,0.0117,2.7692,60.0,0.0462,0.0
80,1228800,train,2026-04-22 07:37:06,0.0,2.7606,60.0,0.046,0.0
